condition,metric,image_key,F,p,df1,df2,df2_reason,eta_p2,N_subjects_complete
bright,RT,sun_empty,2.1380084705889955,0.18035576610326765,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.3483228282974062,5
bright,RT,sun_busy,0.4144510158319424,0.6741137054041816,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.09388506392880099,5
bright,RT,rain_empty,0.10510364142225923,0.9014537723121511,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.025603163915697117,5
bright,RT,rain_busy,0.36099852680930433,0.7077766085515128,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.0827788692406247,5
bright,RT,ALL,1.743334590971865,0.23527917789420874,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.30354048912843584,5
bright,miosis_rate,sun_empty,7.972272941679218,0.012460444304556556,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.6658946868748079,5
bright,miosis_rate,sun_busy,12.734408304989943,0.0032643635552919797,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.7609715308065442,5
bright,miosis_rate,rain_empty,2.0614540159965733,0.18964120491783837,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.34009232942397344,5
bright,miosis_rate,rain_busy,25.81929601330332,0.00032378029945796935,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.8658586709017049,5
bright,miosis_rate,ALL,66.33383677775116,1.0461229464999799e-05,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.9431283691711622,5
bright,diopter,sun_empty,0.23038960190844313,0.7993159907016392,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.05446061086300613,5
bright,diopter,sun_busy,0.10297547659653837,0.9033255215802681,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.02509775580768463,5
bright,diopter,rain_empty,12.234101082211318,0.0036857594028662753,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.7536050823052322,5
bright,diopter,rain_busy,1.334048440818945,0.3162366085103629,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.25010054850835334,5
bright,diopter,ALL,3.0249634731463937,0.1051147552849863,2.0,8.0,(N-1)×(k-1)=(5-1)×(3-1)=8,0.4306020215919429,5
