condition,metric,image_key,F,p,df1,df2,df2_reason,eta_sq,N_total,n_original,n_brightonly,n_model
dark,RT,sun_empty,0.09357168388602885,0.910692812923386,2.0,397.0,Ntotal-k=400-3=397,0.00047117176599740856,400,130,160,110
dark,RT,sun_busy,0.009054357939288493,0.9909867149951348,2.0,395.0,Ntotal-k=398-3=395,4.584274867155906e-05,398,129,90,179
dark,RT,rain_empty,0.12732033011353422,0.8804875285891665,2.0,397.0,Ntotal-k=400-3=397,0.0006410010964349316,400,100,130,170
dark,RT,rain_busy,0.09451256366743868,0.909836872399618,2.0,395.0,Ntotal-k=398-3=395,0.0004783157307416943,398,139,119,140
dark,RT,ALL,0.14182444557349771,0.8677845404070044,2.0,1593.0,Ntotal-k=1596-3=1593,0.00017802786800981732,1596,498,499,599
dark,miosis_rate,sun_empty,110.0404053541542,1.1895612561878146e-36,2.0,303.0,Ntotal-k=306-3=303,0.4207395993179241,306,95,124,87
dark,miosis_rate,sun_busy,153.98790174901404,5.348550037941238e-47,2.0,306.0,Ntotal-k=309-3=306,0.5016090239116684,309,101,69,139
dark,miosis_rate,rain_empty,64.46865243317454,5.266361306920485e-24,2.0,299.0,Ntotal-k=302-3=299,0.30129952074783023,302,74,101,127
dark,miosis_rate,rain_busy,93.90589491743222,9.821176019255682e-33,2.0,316.0,Ntotal-k=319-3=316,0.37278164906864125,319,109,98,112
dark,miosis_rate,ALL,398.27254115996396,3.693486152450874e-134,2.0,1233.0,Ntotal-k=1236-3=1233,0.3924746926091511,1236,379,392,465
dark,diopter,sun_empty,0.5815616185705212,0.559627591069876,2.0,313.0,Ntotal-k=316-3=313,0.0037022907881619003,316,100,128,88
dark,diopter,sun_busy,0.21188643239629898,0.8091707058233137,2.0,318.0,Ntotal-k=321-3=318,0.001330845561498121,321,104,72,145
dark,diopter,rain_empty,0.7773452796790472,0.46050421762231164,2.0,315.0,Ntotal-k=318-3=315,0.00491128580849943,318,78,107,133
dark,diopter,rain_busy,1.004385951541709,0.3673762775251983,2.0,333.0,Ntotal-k=336-3=333,0.005996177030446676,336,117,101,118
dark,diopter,ALL,1.9070478365206551,0.14893731420619896,2.0,1288.0,Ntotal-k=1291-3=1288,0.0029525112675397413,1291,399,408,484
