特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_sh_grad_entropy,-0.3264679750424716,-0.3358724020696311,3.024954364656154e-32,1170
parafovea_sh_grad_entropy,-0.31856559236758303,-0.32781200471733324,1.0371434250691472e-30,1170
center_sh_grad_entropy,-0.2603906727901492,-0.27411195128486615,1.3027120303077717e-21,1170
periphery_sh_sharpness_factor,-0.24225281706030313,-0.27040186486637713,4.72102964420564e-21,1170
periphery_sh_edge_density,-0.2118014771617035,-0.20515361664241416,1.3871725245282583e-12,1170
parafovea_sh_sharpness_factor,-0.21168666075939907,-0.24640127984781154,1.2161096885156072e-17,1170
periphery_sh_tenengrad,-0.2085324835799941,-0.27105063080345093,3.774672591864715e-21,1170
periphery_sh_laplacian_var,-0.20213812690259386,-0.22605499792353959,5.055719960340206e-15,1170
parafovea_sh_tenengrad,-0.2006200240751087,-0.2545000976899718,9.408391813313202e-19,1170
parafovea_sh_edge_density,-0.19409303949976606,-0.18088058571696466,4.6073183293184785e-10,1170
parafovea_sh_laplacian_var,-0.19275946824632384,-0.1997620966799289,5.378047107567694e-12,1170
center_sh_edge_density,-0.13530239178945883,-0.05412674433532102,0.06419871160490634,1170
center_sh_sharpness_factor,-0.10423824279536063,-0.1308218698608489,7.145108836826689e-06,1170
center_sh_laplacian_var,-0.10167662025663242,-0.06528519584366561,0.025542818773348137,1170
center_sh_tenengrad,-0.09713405420487456,-0.04925493271718791,0.09218182021773923,1170
