特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_bnL_median,-0.39428169962033327,-0.41580134123423884,4.0197659164985487e-50,1170
periphery_bnL_mean,-0.3926499232493468,-0.41665104766748073,2.434044016804167e-50,1170
parafovea_bnL_mean,-0.38764805039800265,-0.4112866377047305,5.6408478426976566e-49,1170
parafovea_bnL_median,-0.3863121080597489,-0.4118357479180825,4.0997524251835814e-49,1170
parafovea_bL_median,-0.3799326019867124,-0.41452581770869185,8.512976248371136e-50,1170
parafovea_bL_mean,-0.3731110822797845,-0.40408614424128725,3.506521266626352e-47,1170
periphery_bL_median,-0.36870427796140726,-0.4178321424819794,1.209044630216074e-50,1170
periphery_bL_entropy,-0.3686409575987431,-0.3941840065695031,8.716799314158854e-45,1170
periphery_bL_mean,-0.3605712111733218,-0.4073554858047904,5.4448274703608496e-48,1170
parafovea_bL_entropy,-0.35272294524506353,-0.38149260019164644,7.82472739553173e-42,1170
center_bL_median,-0.3361250107137304,-0.36840539917313925,6.381590583519957e-39,1170
periphery_bnL_skewness,0.3340190756638187,0.3588882969475855,6.906998425739727e-37,1170
center_bnL_median,-0.33287876219076173,-0.3670394948197805,1.262240766804151e-38,1170
parafovea_bL_std,-0.317211093679401,-0.3396832772648183,5.4807411754287544e-33,1170
center_bnL_mean,-0.31264070888537043,-0.3505910624534925,3.6084509112695243e-35,1170
periphery_bL_skewness,0.3020036246498183,0.377707536573602,5.614192457717174e-41,1170
parafovea_bnL_skewness,0.3004787946249736,0.32735364505309833,1.2640312519883479e-30,1170
periphery_bnL_entropy,-0.298148581251773,-0.31326918523447755,4.685869971249639e-28,1170
parafovea_bL_skewness,0.2966128737581798,0.3358007590215499,3.122959787229396e-32,1170
periphery_bL_std,-0.29630816562429724,-0.336583932471647,2.2028828821431614e-32,1170
center_bL_mean,-0.2883073085340914,-0.31220502897857205,7.233681514097699e-28,1170
center_bL_entropy,-0.28273478841962996,-0.3133303463097219,4.57013516755669e-28,1170
parafovea_bnL_entropy,-0.2652290639828272,-0.28249431528244157,6.596606667463358e-23,1170
periphery_bnL_kurtosis,0.26493466103314633,0.3146428031945136,2.6683600500846437e-28,1170
periphery_bnL_std,-0.260908669068409,-0.2762994019036113,6.040591182990459e-22,1170
parafovea_bnL_std,-0.24772035286892624,-0.26988591803757916,5.63786681008382e-21,1170
parafovea_bnL_kurtosis,0.2292444681360703,0.26315939106426006,5.505173729671246e-20,1170
center_bnL_std,0.22871438904389643,0.23301972566914453,6.838425701009548e-16,1170
periphery_bL_kurtosis,0.2125748185500551,0.3706709559906097,2.0438672670661267e-39,1170
parafovea_bL_kurtosis,0.20820476585969477,0.3369351797100955,1.8830804687269153e-32,1170
center_bnL_skewness,0.20376957646813731,0.2244737859525032,7.889958247485618e-15,1170
center_bL_skewness,0.18537077101013616,0.20811728546987088,6.480828879108392e-13,1170
center_bL_min,-0.17869445996171027,-0.09754393628857733,0.0008350147164819478,1170
parafovea_bnL_min,-0.16768618961525214,-0.12606910247019698,1.52612631377701e-05,1170
parafovea_bL_min,-0.16622526201447008,-0.10648568225556859,0.0002634103426642711,1170
center_bnL_min,-0.15830798039635974,-0.08958148557457293,0.0021618195278809114,1170
center_bL_kurtosis,0.14677787901857448,0.16804674126801628,7.333139882969919e-09,1170
periphery_bL_min,-0.14380736579798825,-0.08677061326752049,0.00297370524745284,1170
periphery_bnL_min,-0.13672499995922158,-0.11173067215523655,0.00012830542526383933,1170
center_bnL_kurtosis,0.12039952191235483,0.12128877332103066,3.187424070804962e-05,1170
parafovea_bL_max,-0.11291016815770016,-0.13040308388113533,7.64742498222297e-06,1170
parafovea_bnL_max,-0.11133178009691981,-0.12283715834965046,2.5183283207573264e-05,1170
center_bnL_max,-0.09979858619072401,-0.14090897606299804,1.3060034852453553e-06,1170
center_bL_max,-0.09786896710808897,-0.13776491557953574,2.247219897954814e-06,1170
center_bnL_entropy,-0.08212518909503742,-0.09297650764782488,0.0014536291441525193,1170
center_bL_std,-0.03939901274058647,-0.0029497125704951847,0.9197187011828895,1170
periphery_bnL_max,-0.03416618704611697,-0.046954424908848026,0.10843723413735575,1170
periphery_bL_max,-0.025036701790625508,-0.042137314563174426,0.1497494425337653,1170
