特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
parafovea_bnL_mean,-0.38764805039800265,-0.4112866377047305,5.6408478426976566e-49,1170
parafovea_bnL_median,-0.3863121080597489,-0.4118357479180825,4.0997524251835814e-49,1170
parafovea_bL_median,-0.3799326019867124,-0.41452581770869185,8.512976248371136e-50,1170
parafovea_bL_mean,-0.3731110822797845,-0.40408614424128725,3.506521266626352e-47,1170
parafovea_bL_entropy,-0.35272294524506353,-0.38149260019164644,7.82472739553173e-42,1170
parafovea_bL_std,-0.317211093679401,-0.3396832772648183,5.4807411754287544e-33,1170
parafovea_bnL_skewness,0.3004787946249736,0.32735364505309833,1.2640312519883479e-30,1170
parafovea_bL_skewness,0.2966128737581798,0.3358007590215499,3.122959787229396e-32,1170
parafovea_bnL_entropy,-0.2652290639828272,-0.28249431528244157,6.596606667463358e-23,1170
parafovea_bnL_std,-0.24772035286892624,-0.26988591803757916,5.63786681008382e-21,1170
parafovea_bnL_kurtosis,0.2292444681360703,0.26315939106426006,5.505173729671246e-20,1170
parafovea_bL_kurtosis,0.20820476585969477,0.3369351797100955,1.8830804687269153e-32,1170
parafovea_bnL_min,-0.16768618961525214,-0.12606910247019698,1.52612631377701e-05,1170
parafovea_bL_min,-0.16622526201447008,-0.10648568225556859,0.0002634103426642711,1170
parafovea_bL_max,-0.11291016815770016,-0.13040308388113533,7.64742498222297e-06,1170
parafovea_bnL_max,-0.11133178009691981,-0.12283715834965046,2.5183283207573264e-05,1170
