特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_c_glcm_homogeneity,0.2899801368013981,0.3095837490594717,2.0920616352292476e-27,1170
periphery_c_bandpow_0.25-0.50cpd,-0.28988566682901895,-0.3439048449968724,8.031697551454243e-34,1170
periphery_c_glcm_energy,0.28480757486579705,0.3867869854809637,4.756674218348812e-43,1170
periphery_c_bandpow_0.50-1.00cpd,-0.26253681019655317,-0.34450955517963566,6.085290448745982e-34,1170
periphery_c_glcm_dissimilarity,-0.24489030687848728,-0.2748364361765424,1.0107402003518568e-21,1170
periphery_c_bandpow_1.00-2.00cpd,-0.2297982880246223,-0.32445468650976295,4.382889011140032e-30,1170
periphery_c_bandpow_2.00-4.00cpd,-0.21331427155012903,-0.28981211843044946,4.4821034739172365e-24,1170
periphery_c_rms_contrast,0.2099771321134328,0.20971002836027527,4.284974272553269e-13,1170
periphery_c_bandpow_4.00-8.00cpd,-0.20653638905694907,-0.2570646895415357,4.1041690039370033e-19,1170
periphery_c_glcm_contrast,-0.20359394419101015,-0.23637822768779998,2.5455038770506133e-16,1170
periphery_c_local_rms_mean,0.08137911756075712,0.0711999880513381,0.014854665545023384,1170
periphery_c_glcm_correlation,-0.0073554324407249525,-0.009019007109738665,0.757949918585828,1170
