特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_bnL_median,-0.39428169962033327,-0.41580134123423884,4.0197659164985487e-50,1170
periphery_bnL_mean,-0.3926499232493468,-0.41665104766748073,2.434044016804167e-50,1170
periphery_bL_median,-0.36870427796140726,-0.4178321424819794,1.209044630216074e-50,1170
periphery_bL_entropy,-0.3686409575987431,-0.3941840065695031,8.716799314158854e-45,1170
periphery_bL_mean,-0.3605712111733218,-0.4073554858047904,5.4448274703608496e-48,1170
periphery_bnL_skewness,0.3340190756638187,0.3588882969475855,6.906998425739727e-37,1170
periphery_bL_skewness,0.3020036246498183,0.377707536573602,5.614192457717174e-41,1170
periphery_bnL_entropy,-0.298148581251773,-0.31326918523447755,4.685869971249639e-28,1170
periphery_bL_std,-0.29630816562429724,-0.336583932471647,2.2028828821431614e-32,1170
periphery_bnL_kurtosis,0.26493466103314633,0.3146428031945136,2.6683600500846437e-28,1170
periphery_bnL_std,-0.260908669068409,-0.2762994019036113,6.040591182990459e-22,1170
periphery_bL_kurtosis,0.2125748185500551,0.3706709559906097,2.0438672670661267e-39,1170
periphery_bL_min,-0.14380736579798825,-0.08677061326752049,0.00297370524745284,1170
periphery_bnL_min,-0.13672499995922158,-0.11173067215523655,0.00012830542526383933,1170
periphery_bnL_max,-0.03416618704611697,-0.046954424908848026,0.10843723413735575,1170
periphery_bL_max,-0.025036701790625508,-0.042137314563174426,0.1497494425337653,1170
