特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
all_c_glcm_energy,-0.19631066845284853,-0.149369233452067,1.5363289750395983e-08,1421
all_c_local_rms_mean,0.1486241872335466,0.14611201707689084,3.1528288729536946e-08,1421
all_c_rms_contrast,0.12721396285639397,0.11392210340359898,1.6723728001905625e-05,1421
all_c_bandpow_0.25-0.50cpd,-0.11043565846839876,-0.09640227232217173,0.00027340593282593363,1421
all_c_glcm_correlation,-0.10782723987211829,-0.09812028032749312,0.00021185482045057576,1421
all_c_bandpow_0.50-1.00cpd,-0.09032396462749771,-0.07788413296623377,0.0033053751807124027,1421
all_c_glcm_homogeneity,-0.08910078146506939,-0.0775468589643663,0.0034439946389560753,1421
all_c_glcm_dissimilarity,0.08519424413156002,0.05672382154991068,0.0325078339542501,1421
all_c_glcm_contrast,0.07918297785882088,0.05128319032934891,0.053267051010213444,1421
all_c_bandpow_4.00-8.00cpd,0.07640785241440762,0.04654235059484323,0.07945208272111559,1421
all_c_bandpow_2.00-4.00cpd,0.06762570690091563,0.02915945279500134,0.2720012884821416,1421
all_c_bandpow_1.00-2.00cpd,-0.01908616591701677,-0.026084494696756267,0.3258107489930764,1421
