condition,metric,image_key,F,p,df1,df2,df2_reason,eta_sq,N_total,n_original,n_brightonly,n_model
bright,RT,sun_empty,0.7422895886128397,0.4773493633399587,2.0,197.0,Ntotal-k=200-3=197,0.007479569361910488,200,60,40,100
bright,RT,sun_busy,0.12444810860140863,0.8830534403526298,2.0,197.0,Ntotal-k=200-3=197,0.001261838326987358,200,65,80,55
bright,RT,rain_empty,0.03462007706853068,0.9659782172206263,2.0,197.0,Ntotal-k=200-3=197,0.00035134937386933104,200,60,60,80
bright,RT,rain_busy,0.14120517274256833,0.8683989442906328,2.0,197.0,Ntotal-k=200-3=197,0.0014315029149865716,200,65,70,65
bright,RT,ALL,0.13322067577202493,0.8752914060853948,2.0,797.0,Ntotal-k=800-3=797,0.00033419361172705366,800,250,250,300
bright,miosis_rate,sun_empty,7.760315154058853,0.0005921674477708249,2.0,173.0,Ntotal-k=176-3=173,0.08232855090050781,176,54,37,85
bright,miosis_rate,sun_busy,9.216595581014175,0.00015881712982130711,2.0,169.0,Ntotal-k=172-3=169,0.09834539468569166,172,58,68,46
bright,miosis_rate,rain_empty,6.883486267987227,0.0013328648884517683,2.0,171.0,Ntotal-k=174-3=171,0.07450992104822196,174,53,51,70
bright,miosis_rate,rain_busy,14.985341028426491,1.0014975100435035e-06,2.0,172.0,Ntotal-k=175-3=172,0.14839125041136667,175,53,65,57
bright,miosis_rate,ALL,26.808390714002226,6.096898137996107e-12,2.0,694.0,Ntotal-k=697-3=694,0.07171693140112827,697,218,221,258
bright,diopter,sun_empty,0.2183922561704425,0.804027578826277,2.0,176.0,Ntotal-k=179-3=176,0.0024755864461491386,179,55,38,86
bright,diopter,sun_busy,0.1665851012813192,0.8466848534407062,2.0,175.0,Ntotal-k=178-3=175,0.0019002120487397118,178,59,70,49
bright,diopter,rain_empty,2.999889698272873,0.0523454513876044,2.0,176.0,Ntotal-k=179-3=176,0.03296586081828855,179,55,51,73
bright,diopter,rain_busy,3.3431418898703216,0.03757021283339317,2.0,177.0,Ntotal-k=180-3=177,0.036400561011720504,180,58,65,57
bright,diopter,ALL,1.185724401826038,0.3061264905615142,2.0,713.0,Ntotal-k=716-3=713,0.0033149894472556175,716,227,224,265
