condition,metric,image_key,F,p,df1,df2,df2_reason,eta_p2,N_subjects_complete
dark,RT,sun_empty,0.4144302686242679,0.6668623487439989,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.04402074865915691,10
dark,RT,sun_busy,0.025840225660032426,0.97452685654396,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.002862916361688954,10
dark,RT,rain_empty,0.3723853556644213,0.6942747232117693,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.03973218572786932,10
dark,RT,rain_busy,0.252373220451703,0.7796582854336083,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.027276593198148364,10
dark,RT,ALL,0.3731179343887134,0.6937865113648084,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.039807237783682815,10
dark,miosis_rate,sun_empty,100.4374631256771,1.7206337255432948e-10,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.9177612515591258,10
dark,miosis_rate,sun_busy,132.03095396593002,1.7553050111418608e-11,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.9361842223504054,10
dark,miosis_rate,rain_empty,54.15877625021238,2.4225861236589262e-08,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.8575019888867822,10
dark,miosis_rate,rain_busy,71.75402455300339,2.6528030302292682e-09,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.8885504462493656,10
dark,miosis_rate,ALL,312.31349736728566,1.0612601611235729e-14,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.9719899721806199,10
dark,diopter,sun_empty,0.581680196749465,0.5691248400617167,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.06070753613200292,10
dark,diopter,sun_busy,0.44862786680781236,0.6454518988539695,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.047480742509058066,10
dark,diopter,rain_empty,1.4555575439091892,0.2594524736990906,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.13921376624789503,10
dark,diopter,rain_busy,2.7311970383761426,0.09206649743040934,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.23281486360186485,10
dark,diopter,ALL,1.3863237889813438,0.2754392761021255,2.0,18.0,(N-1)×(k-1)=(10-1)×(3-1)=18,0.1334758878258801,10
