特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
center_sh_grad_entropy,0.1471064491548573,0.09850773599675153,0.00019989942155327925,1421
parafovea_sh_grad_entropy,0.14308102554573987,0.10329971092978947,9.579023926817449e-05,1421
center_sh_sharpness_factor,0.1055440948504497,0.09691770302241519,0.0002533737021453165,1421
parafovea_sh_sharpness_factor,0.09187284658835199,0.08330224746896635,0.0016729748591399884,1421
center_sh_laplacian_var,0.08469611996809705,0.06547218956752397,0.013567054540111369,1421
parafovea_sh_laplacian_var,0.08436482631335522,0.059632639393236896,0.024579788418742036,1421
periphery_sh_laplacian_var,0.07983843900878591,0.05629413030610602,0.03384718982169251,1421
periphery_sh_sharpness_factor,0.07801517261178283,0.06880248072179186,0.009476135122595004,1421
center_sh_edge_density,0.07637405182524284,0.04467385954837803,0.09229939706005202,1421
parafovea_sh_edge_density,0.07634840810721076,0.037625973931159726,0.15630515988240787,1421
center_sh_tenengrad,0.0755196047425767,0.048868878754514795,0.06552665618193139,1421
periphery_sh_edge_density,0.07495163473421378,0.03019413646798967,0.25534582649684573,1421
parafovea_sh_tenengrad,0.0740896190543889,0.03934261334033681,0.1382514537618169,1421
periphery_sh_grad_entropy,0.07206010365568405,0.04244137625988275,0.10977855070766611,1421
periphery_sh_tenengrad,0.06972715897593591,0.03456580289816972,0.1928342558195185,1421
