特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_bL_median,-0.25119227360298996,-0.24410382767975583,1.007558476424472e-20,1421
periphery_bL_mean,-0.24811062503912923,-0.24533453130901883,6.363660020769725e-21,1421
periphery_bnL_median,-0.24701841669668834,-0.24450284810617465,8.68338514335945e-21,1421
parafovea_bL_mean,-0.24569334974784515,-0.24281560314865397,1.625451134795481e-20,1421
parafovea_bL_median,-0.2452720289234609,-0.24027455053378094,4.1411852513530965e-20,1421
parafovea_bnL_mean,-0.24287375634141325,-0.24565853533583576,5.636168364184658e-21,1421
periphery_bnL_mean,-0.24210320195651755,-0.24672631874583506,3.772989130823171e-21,1421
parafovea_bnL_median,-0.24041645716656188,-0.23978599959855085,4.9507819419090227e-20,1421
center_bL_median,-0.2400111486942308,-0.2334026392321875,4.920800834028069e-19,1421
center_bL_mean,-0.23960097934845176,-0.23308351301902938,5.509669106956504e-19,1421
center_bnL_median,-0.2359268576535573,-0.23364768833449262,4.511191577680609e-19,1421
center_bnL_mean,-0.23576612654906332,-0.23277827431778816,6.137768012650381e-19,1421
parafovea_bnL_entropy,0.20618216704803857,0.17235285115036525,6.138591390644333e-11,1421
periphery_bL_std,-0.2053877610877337,-0.20065443748862888,2.257821141879465e-14,1421
center_bnL_entropy,0.18980262253459468,0.15988079346820874,1.3560425778545414e-09,1421
parafovea_bL_std,-0.18889001471954558,-0.1858232643018296,1.6622126490332861e-12,1421
parafovea_bL_skewness,0.17504333815451145,0.1688696813519208,1.4919583767855604e-10,1421
periphery_bnL_entropy,0.16980466564687308,0.1264189015184795,1.7485652104275705e-06,1421
periphery_bL_skewness,0.16924650795809973,0.16852526841295554,1.6272668033532753e-10,1421
center_bL_entropy,0.15813783516341653,0.11949365158590558,6.281708454834478e-06,1421
center_bL_skewness,0.15620183531517773,0.13756339292262096,1.9314757416460536e-07,1421
center_bL_min,-0.15198199955062366,-0.12666433605468405,1.668975763170523e-06,1421
parafovea_bL_entropy,0.15032952418558423,0.10541791762799954,6.849581889777998e-05,1421
center_bnL_min,-0.14588531525020107,-0.12855490284635554,1.162366121036615e-06,1421
center_bL_std,-0.1445222324235819,-0.13617043030049455,2.568974813532406e-07,1421
parafovea_bnL_min,-0.1388113673921313,-0.126716175376578,1.6526160463625801e-06,1421
periphery_bnL_min,-0.13879767851471594,-0.13525555285236673,3.093488887533519e-07,1421
parafovea_bL_min,-0.1374312462866717,-0.13456921102087338,3.553319005770438e-07,1421
periphery_bL_min,-0.13465837416746623,-0.12486237346336734,2.3448481812475112e-06,1421
center_bnL_skewness,0.11838235719562641,0.0953350744137505,0.0003196858784593541,1421
center_bL_max,-0.0938755285330467,-0.1089478069332248,3.8624903818377347e-05,1421
center_bnL_max,-0.09175132269614039,-0.09901365704407324,0.00018524029005238116,1421
center_bL_kurtosis,-0.0869101685689751,-0.05680754827556834,0.032252204298107295,1421
parafovea_bL_max,-0.07752462652136516,-0.08913973129901265,0.0007683091809973857,1421
parafovea_bnL_max,-0.07615447858724815,-0.07826306753715641,0.0031557030818812394,1421
parafovea_bL_kurtosis,-0.07483312775818919,-0.04985674119911358,0.06025514624502006,1421
parafovea_bnL_skewness,0.0627562186665481,0.044974013521481684,0.09012989705764939,1421
center_bnL_kurtosis,-0.06265390943803299,-0.02513279533890881,0.34377866553084224,1421
periphery_bnL_std,-0.05709709927301122,-0.05555166969543071,0.03627259594632396,1421
periphery_bL_max,-0.056728369622084,-0.08389103036798468,0.0015499401301872972,1421
periphery_bnL_max,-0.056024744441649774,-0.07367681066133323,0.005458273069053194,1421
center_bnL_std,0.03730310531088864,0.029006381771734827,0.27452699050339746,1421
periphery_bnL_skewness,0.03708267322595168,0.03359196739851878,0.20568112935880106,1421
periphery_bL_entropy,0.029247443336277858,-0.011457268438199742,0.6660837426971185,1421
parafovea_bnL_std,-0.028302497676571583,-0.04017390429866331,0.13010700984224746,1421
periphery_bnL_kurtosis,0.026019610801914145,0.008693144763420157,0.7433533220510211,1421
parafovea_bnL_kurtosis,-0.021971172306262034,-0.01332539904812687,0.6157403099514631,1421
periphery_bL_kurtosis,0.008312684555833663,0.0025557122970043355,0.9233173357412158,1421
