特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
parafovea_bL_mean,-0.24569334974784515,-0.24281560314865397,1.625451134795481e-20,1421
parafovea_bL_median,-0.2452720289234609,-0.24027455053378094,4.1411852513530965e-20,1421
parafovea_bnL_mean,-0.24287375634141325,-0.24565853533583576,5.636168364184658e-21,1421
parafovea_bnL_median,-0.24041645716656188,-0.23978599959855085,4.9507819419090227e-20,1421
parafovea_bnL_entropy,0.20618216704803857,0.17235285115036525,6.138591390644333e-11,1421
parafovea_bL_std,-0.18889001471954558,-0.1858232643018296,1.6622126490332861e-12,1421
parafovea_bL_skewness,0.17504333815451145,0.1688696813519208,1.4919583767855604e-10,1421
parafovea_bL_entropy,0.15032952418558423,0.10541791762799954,6.849581889777998e-05,1421
parafovea_bnL_min,-0.1388113673921313,-0.126716175376578,1.6526160463625801e-06,1421
parafovea_bL_min,-0.1374312462866717,-0.13456921102087338,3.553319005770438e-07,1421
parafovea_bL_max,-0.07752462652136516,-0.08913973129901265,0.0007683091809973857,1421
parafovea_bnL_max,-0.07615447858724815,-0.07826306753715641,0.0031557030818812394,1421
parafovea_bL_kurtosis,-0.07483312775818919,-0.04985674119911358,0.06025514624502006,1421
parafovea_bnL_skewness,0.0627562186665481,0.044974013521481684,0.09012989705764939,1421
parafovea_bnL_std,-0.028302497676571583,-0.04017390429866331,0.13010700984224746,1421
parafovea_bnL_kurtosis,-0.021971172306262034,-0.01332539904812687,0.6157403099514631,1421
