特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_bL_median,-0.25119227360298996,-0.24410382767975583,1.007558476424472e-20,1421
periphery_bL_mean,-0.24811062503912923,-0.24533453130901883,6.363660020769725e-21,1421
periphery_bnL_median,-0.24701841669668834,-0.24450284810617465,8.68338514335945e-21,1421
periphery_bnL_mean,-0.24210320195651755,-0.24672631874583506,3.772989130823171e-21,1421
periphery_bL_std,-0.2053877610877337,-0.20065443748862888,2.257821141879465e-14,1421
periphery_bnL_entropy,0.16980466564687308,0.1264189015184795,1.7485652104275705e-06,1421
periphery_bL_skewness,0.16924650795809973,0.16852526841295554,1.6272668033532753e-10,1421
periphery_bnL_min,-0.13879767851471594,-0.13525555285236673,3.093488887533519e-07,1421
periphery_bL_min,-0.13465837416746623,-0.12486237346336734,2.3448481812475112e-06,1421
periphery_bnL_std,-0.05709709927301122,-0.05555166969543071,0.03627259594632396,1421
periphery_bL_max,-0.056728369622084,-0.08389103036798468,0.0015499401301872972,1421
periphery_bnL_max,-0.056024744441649774,-0.07367681066133323,0.005458273069053194,1421
periphery_bnL_skewness,0.03708267322595168,0.03359196739851878,0.20568112935880106,1421
periphery_bL_entropy,0.029247443336277858,-0.011457268438199742,0.6660837426971185,1421
periphery_bnL_kurtosis,0.026019610801914145,0.008693144763420157,0.7433533220510211,1421
periphery_bL_kurtosis,0.008312684555833663,0.0025557122970043355,0.9233173357412158,1421
