特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
center_c_rms_contrast,0.2943880102992453,0.35188457086844555,1.9626776407664577e-35,1170
center_c_bandpow_0.50-1.00cpd,0.17561785455976922,0.16799581491392637,7.4110738230253546e-09,1170
center_c_bandpow_0.25-0.50cpd,0.15999046757228153,0.14185087507101707,1.107468816622695e-06,1170
center_c_glcm_homogeneity,0.1373726015308539,0.15317956504028696,1.4015293764853274e-07,1170
center_c_glcm_dissimilarity,-0.1264986874345965,-0.11527124429310204,7.75498870110729e-05,1170
center_c_glcm_energy,0.12032779139265708,0.3104598366948077,1.4687378313746049e-27,1170
center_c_bandpow_4.00-8.00cpd,-0.11998577912599281,-0.09328014020623202,0.001402054366554702,1170
center_c_bandpow_2.00-4.00cpd,-0.11494411341073872,-0.08637742767804683,0.003107162501162591,1170
center_c_glcm_contrast,-0.10346118697712331,-0.07072096414043856,0.015543000922477793,1170
center_c_local_rms_mean,0.0971782482819313,0.14011293550326856,1.5000550154395913e-06,1170
center_c_glcm_correlation,0.07264363296060197,0.01024581751025763,0.7262670573760676,1170
center_c_bandpow_1.00-2.00cpd,0.06486545921953607,0.05553078730585094,0.05758023537156475,1170
