特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
center_bL_median,-0.3361250107137304,-0.36840539917313925,6.381590583519957e-39,1170
center_bnL_median,-0.33287876219076173,-0.3670394948197805,1.262240766804151e-38,1170
center_bnL_mean,-0.31264070888537043,-0.3505910624534925,3.6084509112695243e-35,1170
center_bL_mean,-0.2883073085340914,-0.31220502897857205,7.233681514097699e-28,1170
center_bL_entropy,-0.28273478841962996,-0.3133303463097219,4.57013516755669e-28,1170
center_bnL_std,0.22871438904389643,0.23301972566914453,6.838425701009548e-16,1170
center_bnL_skewness,0.20376957646813731,0.2244737859525032,7.889958247485618e-15,1170
center_bL_skewness,0.18537077101013616,0.20811728546987088,6.480828879108392e-13,1170
center_bL_min,-0.17869445996171027,-0.09754393628857733,0.0008350147164819478,1170
center_bnL_min,-0.15830798039635974,-0.08958148557457293,0.0021618195278809114,1170
center_bL_kurtosis,0.14677787901857448,0.16804674126801628,7.333139882969919e-09,1170
center_bnL_kurtosis,0.12039952191235483,0.12128877332103066,3.187424070804962e-05,1170
center_bnL_max,-0.09979858619072401,-0.14090897606299804,1.3060034852453553e-06,1170
center_bL_max,-0.09786896710808897,-0.13776491557953574,2.247219897954814e-06,1170
center_bnL_entropy,-0.08212518909503742,-0.09297650764782488,0.0014536291441525193,1170
center_bL_std,-0.03939901274058647,-0.0029497125704951847,0.9197187011828895,1170
