特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
parafovea_c_bandpow_0.25-0.50cpd,-0.3146049600752681,-0.3385125330563921,9.286689410641395e-33,1170
parafovea_c_bandpow_0.50-1.00cpd,-0.30430713250397934,-0.33855799739604453,9.098829635199411e-33,1170
parafovea_c_rms_contrast,0.2763084625777944,0.2978789218490629,2.107313172199193e-25,1170
parafovea_c_glcm_homogeneity,0.2596577514253962,0.2833442766566754,4.8467333775049525e-23,1170
parafovea_c_bandpow_1.00-2.00cpd,-0.2446326577712671,-0.3257339517293173,2.5362339022943115e-30,1170
parafovea_c_glcm_dissimilarity,-0.2274990743283475,-0.24892813117859733,5.526708334657769e-18,1170
parafovea_c_bandpow_2.00-4.00cpd,-0.20814492622064865,-0.2798829254306355,1.6893711146305596e-22,1170
parafovea_c_bandpow_4.00-8.00cpd,-0.19801778192916397,-0.24067842145484297,7.022163094056411e-17,1170
parafovea_c_glcm_contrast,-0.19520087993685398,-0.2229761375576276,1.1989667599140173e-14,1170
parafovea_c_glcm_energy,0.19327227477196252,0.37479382534655276,2.5142961187500974e-40,1170
parafovea_c_local_rms_mean,0.07921229103734793,0.07419559203257342,0.011127578172073724,1170
parafovea_c_glcm_correlation,0.044030536820332644,0.02841578171088508,0.3314853208553683,1170
