特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
all_bL_median,-0.2507350032983973,-0.24366336017180867,1.1869280525535598e-20,1421
all_bL_mean,-0.24786186793002743,-0.2451505959882821,6.817156956014854e-21,1421
all_bnL_median,-0.24621586257580488,-0.2439513330521935,1.0664012637131693e-20,1421
all_bnL_mean,-0.24308917495123566,-0.2468942698734917,3.541555481766745e-21,1421
all_bL_std,-0.2009742890554268,-0.19690785742108738,6.909575486430655e-14,1421
all_bnL_entropy,0.1855897427633828,0.1464676172781505,2.9170608989916167e-08,1421
all_bL_skewness,0.17295691096543275,0.17125711422216938,8.133205078251679e-11,1421
all_bnL_min,-0.1383669309279446,-0.1350469690949172,3.2267909337997e-07,1421
all_bL_min,-0.13446194924603855,-0.12715048784029995,1.5214725756767066e-06,1421
all_bL_entropy,0.06765517765283868,0.02353755446803699,0.37528498816133393,1421
all_bL_max,-0.05667582882130754,-0.08421759210504562,0.0014853440522282887,1421
all_bnL_max,-0.05609540274137491,-0.07090653437163728,0.007497089500450075,1421
all_bnL_skewness,0.05225373405357254,0.04113335318811135,0.12117497632186738,1421
all_bnL_std,-0.050637100644026434,-0.05221870475071808,0.049061730765447675,1421
all_bL_kurtosis,-0.024812017938741115,-0.014013401041694016,0.5976295752948193,1421
all_bnL_kurtosis,0.008926246283713421,0.001960704682644157,0.9411328821254277,1421
