特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
all_c_rms_contrast,0.34713678958863703,0.4043365802256119,3.0425159778982567e-47,1170
all_c_glcm_energy,0.3346792701917291,0.3913212741438703,4.1480453414747606e-44,1170
all_c_glcm_homogeneity,0.2803077786339303,0.30038799445922537,7.980267528815245e-26,1170
all_c_glcm_dissimilarity,-0.23862396048631987,-0.26088144632977295,1.173658039370329e-19,1170
all_c_bandpow_1.00-2.00cpd,-0.22469078505925513,-0.28051582979766254,1.346305422342007e-22,1170
all_c_bandpow_0.50-1.00cpd,-0.2239109857874931,-0.19120822243202654,4.27356059437722e-11,1170
all_c_bandpow_2.00-4.00cpd,-0.21094934263342544,-0.265728823054818,2.3230978744015496e-20,1170
all_c_bandpow_4.00-8.00cpd,-0.20398646175816626,-0.23211702476181684,8.895588559325247e-16,1170
all_c_glcm_contrast,-0.20054169413902603,-0.20683909167427347,9.011208292280239e-13,1170
all_c_glcm_correlation,0.19047264270732242,0.17067159509779786,4.2340452394472495e-09,1170
all_c_bandpow_0.25-0.50cpd,-0.11105531962431227,-0.09547026563863176,0.0010771278125064818,1170
all_c_local_rms_mean,0.08197157799364575,0.07263432503058036,0.012951377462524345,1170
