番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
115839,282276,425176120,,,,,,1034.374,579.6,2241.933,-1193.703,19829.066,,Both,998.553,666.606,26.373,-86.609,450.0,0.110797,-0.062973,0.991846,-31.0,-54.0,-63.6,7.471,302.969,154.844,118.359,112.641,34.422,Auto,301.344,175.063,1590,10,320,240,1.0,,Both,1093.446,669.047,91.289,-88.279,450.0,0.116328,-0.066143,0.991006,31.0,-54.0,-63.6,6.124,354.188,410.313,97.016,92.281,2.641,Auto,349.266,422.859,10,10,320,240,1.0
115840,282277,425177620,,,,,,1034.115,580.405,2234.285,-1218.041,19830.493,,Both,998.841,666.107,26.57,-86.267,450.0,0.111177,-0.062314,0.991845,-31.0,-54.0,-63.6,7.469,302.75,154.672,118.328,112.75,32.922,Auto,301.156,174.953,1590,10,320,240,1.0,,Both,1092.487,668.969,90.632,-88.225,450.0,0.11508,-0.066049,0.991158,31.0,-54.0,-63.6,6.082,354.547,410.156,96.344,91.828,5.406,Auto,349.531,422.703,10,10,320,240,1.0
115841,282278,425179120,,,,,,1033.833,578.902,2226.065,-1172.909,19833.209,,Both,998.629,664.119,26.425,-84.908,450.0,0.110919,-0.059699,0.992035,-31.0,-54.0,-63.6,7.501,302.172,154.453,118.828,113.078,32.188,Auto,300.547,174.953,1590,10,320,240,1.0,,Both,1092.616,667.931,90.721,-87.515,450.0,0.115258,-0.064683,0.991227,31.0,-54.0,-63.6,6.082,354.375,410.047,96.344,91.922,3.406,Auto,349.391,422.703,10,10,320,240,1.0
115842,282279,425180620,,,,,,1034.191,580.17,2236.761,-1211.082,19832.371,,Both,998.651,666.508,26.44,-86.542,450.0,0.110926,-0.062844,0.99184,-31.0,-54.0,-63.6,7.456,302.922,154.906,118.109,112.547,33.859,Auto,301.313,175.141,1590,10,320,240,1.0,,Both,1091.849,667.6,90.196,-87.289,450.0,0.114262,-0.064256,0.99137,31.0,-54.0,-63.6,6.134,354.281,410.344,97.172,92.516,5.234,Auto,349.203,423.031,10,10,320,240,1.0
115843,282280,425182120,,,,,,1034.243,580.226,2238.222,-1212.703,19831.382,,Both,998.894,666.125,26.607,-86.28,450.0,0.111247,-0.062338,0.991836,-31.0,-54.0,-63.6,7.416,302.438,154.609,117.484,112.266,35.344,Auto,300.844,174.891,1590,10,320,240,1.0,,Both,1092.23,668.151,90.456,-87.666,450.0,0.114752,-0.064977,0.991267,31.0,-54.0,-63.6,6.058,354.359,410.094,95.969,91.859,4.844,Auto,349.328,422.719,10,10,320,240,1.0
115844,282281,425183620,,,,,,1034.669,579.288,2251.143,-1184.469,19832.102,,Both,999.328,665.183,26.903,-85.636,450.0,0.111821,-0.061094,0.991849,-31.0,-54.0,-63.6,7.43,301.984,154.453,117.703,112.063,33.547,Auto,300.453,174.844,1590,10,320,240,1.0,,Both,1092.55,666.822,90.676,-86.757,450.0,0.115183,-0.063226,0.99133,31.0,-54.0,-63.6,6.077,354.438,410.016,96.266,92.203,1.375,Auto,349.438,422.781,10,10,320,240,1.0
115845,282282,425185120,,,,,,1034.173,580.634,2236.107,-1225.002,19831.135,,Both,999.137,665.81,26.773,-86.065,450.0,0.111567,-0.061921,0.991826,-31.0,-54.0,-63.6,7.442,302.797,154.688,117.891,112.422,33.656,Auto,301.234,175.0,1590,10,320,240,1.0,,Both,1092.114,668.564,90.377,-87.949,450.0,0.114597,-0.065521,0.991249,31.0,-54.0,-63.6,6.032,354.359,410.594,95.563,91.609,4.25,Auto,349.313,423.188,10,10,320,240,1.0
115846,282283,425186620,,,,,,1034.349,579.011,2241.63,-1176.177,19833.261,,Both,999.145,664.421,26.779,-85.114,450.0,0.11159,-0.060092,0.991936,-31.0,-54.0,-63.6,7.454,302.078,154.234,118.094,112.297,32.688,Auto,300.516,174.719,1590,10,320,240,1.0,,Both,1092.399,666.83,90.572,-86.762,450.0,0.114986,-0.063237,0.991352,31.0,-54.0,-63.6,6.109,354.172,410.156,96.766,92.328,1.641,Auto,349.172,422.922,10,10,320,240,1.0
115847,282284,425188120,,,,,,1035.625,580.703,2279.78,-1227.013,19830.375,,Both,1000.697,666.128,27.84,-86.282,450.0,0.113598,-0.062324,0.99157,-31.0,-54.0,-63.6,7.383,301.234,154.25,116.953,111.547,33.578,Auto,299.859,174.547,1590,10,320,240,1.0,,Both,1092.081,666.076,90.355,-86.247,450.0,0.114579,-0.062249,0.991462,31.0,-54.0,-63.6,6.151,354.0,409.969,97.438,93.156,2.016,Auto,348.969,422.813,10,10,320,240,1.0
115848,282285,425189620,,,,,,1035.018,580.618,2261.546,-1224.514,19831.004,,Both,999.784,666.566,27.215,-86.582,450.0,0.112404,-0.062909,0.991669,-31.0,-54.0,-63.6,7.391,302.063,154.375,117.078,111.547,34.578,Auto,300.594,174.625,1590,10,320,240,1.0,,Both,1091.956,666.841,90.269,-86.77,450.0,0.114408,-0.063256,0.991418,31.0,-54.0,-63.6,6.11,353.984,410.141,96.797,92.578,2.984,Auto,348.938,422.906,10,10,320,240,1.0
115849,282286,425191120,,,,,,1035.644,580.299,2280.305,-1214.807,19829.944,,Both,1000.521,666.15,27.719,-86.297,450.0,0.113368,-0.062355,0.991594,-31.0,-54.0,-63.6,7.371,301.813,153.875,116.766,111.281,35.109,Auto,300.406,174.172,1590,10,320,240,1.0,,Both,1092.494,666.206,90.637,-86.335,450.0,0.115116,-0.062416,0.991389,31.0,-54.0,-63.6,6.085,354.266,409.656,96.406,91.656,3.156,Auto,349.266,422.484,10,10,320,240,1.0
115850,282287,425192620,,,,,,1034.734,579.083,2253.154,-1178.316,19832.546,,Both,999.843,663.877,27.256,-84.742,450.0,0.112505,-0.05937,0.991876,-31.0,-54.0,-63.6,7.432,301.844,153.516,117.734,112.297,33.203,Auto,300.375,174.063,1590,10,320,240,1.0,,Both,1092.608,666.561,90.715,-86.578,450.0,0.115261,-0.062882,0.991343,31.0,-54.0,-63.6,6.122,354.625,409.656,96.984,92.219,1.125,Auto,349.625,422.453,10,10,320,240,1.0
115851,282288,425194120,,,,,,1034.039,578.659,2232.352,-1165.595,19833.816,,Both,999.15,663.15,26.782,-84.245,450.0,0.111607,-0.058418,0.992034,-31.0,-54.0,-63.6,7.485,302.828,153.578,118.563,112.828,31.391,Auto,301.266,174.203,1590,10,320,240,1.0,,Both,1092.575,667.23,90.692,-87.036,450.0,0.115211,-0.063762,0.991292,31.0,-54.0,-63.6,6.062,354.641,409.938,96.031,91.859,1.578,Auto,349.656,422.656,10,10,320,240,1.0
115852,282289,425195620,,,,,,1034.453,578.981,2244.88,-1175.348,19834.144,,Both,999.85,662.967,27.261,-84.12,450.0,0.112522,-0.058172,0.991945,-31.0,-54.0,-63.6,7.435,301.781,153.328,117.781,112.203,32.359,Auto,300.297,173.969,1590,10,320,240,1.0,,Both,1092.168,666.266,90.414,-86.376,450.0,0.114691,-0.062498,0.991433,31.0,-54.0,-63.6,6.059,354.406,409.547,95.984,92.156,179.719,Auto,349.375,422.359,10,10,320,240,1.0
