番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
77912,4197492,6298005609,,,,,,1099.963,613.712,1784.533,-939.837,8387.177,,Both,1041.286,797.95,55.606,-176.46,450.0,0.165501,-0.228734,0.959318,-33.0,-54.0,-63.6,5.961,297.828,211.922,94.438,71.281,101.063,Auto,300.391,214.609,1590,10,320,240,1.0,,Both,1157.028,688.676,134.784,-101.707,450.0,0.193595,-0.09074,0.976876,33.0,-54.0,-63.6,6.042,157.781,281.234,95.703,90.156,78.156,Auto,171.359,292.813,10,10,320,240,1.0
77913,4197493,6298007109,,,,,,1099.122,626.802,1853.194,-1156.257,8762.522,,Both,1044.75,800.334,57.976,-178.09,450.0,0.169682,-0.231445,0.957936,-33.0,-54.0,-63.6,5.956,297.672,212.203,94.344,72.313,104.609,Auto,300.578,214.672,1590,10,320,240,1.0,,Both,1156.547,703.935,134.454,-112.145,450.0,0.192607,-0.110386,0.975047,33.0,-54.0,-63.6,5.999,157.656,282.969,95.031,86.25,86.438,Auto,171.172,293.063,10,10,320,240,1.0
77914,4197494,6298008609,,,,,,1093.717,670.727,3863.908,-3777.499,19008.31,,Both,1040.66,846.878,55.178,-209.93,450.0,0.162109,-0.286666,0.944216,-33.0,-54.0,-63.6,5.814,298.406,216.531,92.109,65.625,96.406,Auto,300.766,214.531,1590,10,320,240,1.0,,Both,1172.14,784.514,145.122,-167.268,450.0,0.208498,-0.210629,0.955073,33.0,-54.0,-63.6,6.001,156.859,290.938,95.063,68.875,94.5,Auto,171.625,293.359,10,10,320,240,1.0
77915,4197495,6298010109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,Pupil,1172.221,926.797,145.177,-264.601,450.0,0.19808,-0.371875,0.906903,33.0,-54.0,-63.6,4.263,155.453,315.75,67.531,23.984,93.641,Auto,,,10,10,320,240,1.0
77916,4197496,6298011609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.0
77917,4197497,6298013109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.0
77918,4197498,6298014609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.0
77919,4197499,6298016109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.0
77920,4197500,6298017609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.0
77921,4197501,6298019109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.0,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.0
