番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,15362,12710707,,,,,,992.839,866.169,187.009,-1857.455,3746.098,,Pupil,961.143,971.147,0.782,-294.941,450.000,0.052425,-0.424125,0.904085,-29.000,-54.000,-63.600,5.399,145.250,108.719,42.766,40.031,124.672,Auto,,,1590,10,320,240,1.000,,Both,1034.463,976.823,50.939,-298.824,450.000,0.038530,-0.429975,0.902018,29.000,-54.000,-63.600,5.638,210.891,186.297,44.656,42.469,179.109,Auto,202.563,184.078,10,10,320,240,1.000
2,15363,12711457,,,,,,994.366,871.712,171.625,-1656.565,3285.118,,Pupil,962.839,977.392,1.942,-299.213,450.000,0.054287,-0.430216,0.901092,-29.000,-54.000,-63.600,5.313,145.031,109.141,42.078,38.641,121.359,Auto,,,1590,10,320,240,0.000,,Both,1034.671,979.038,51.081,-300.339,450.000,0.038736,-0.432137,0.900976,29.000,-54.000,-63.600,5.697,210.734,186.359,45.125,42.609,2.625,Auto,202.406,184.078,10,10,320,240,0.000
3,15364,12712207,,,,,,993.900,875.007,157.248,-1553.973,3051.353,,Pupil,963.577,976.846,2.447,-298.839,450.000,0.055186,-0.429661,0.901302,-29.000,-54.000,-63.600,5.296,144.953,109.094,41.953,39.188,123.641,Auto,,,1590,10,320,240,1.000,,Both,1034.385,983.364,50.885,-303.298,450.000,0.038306,-0.436350,0.898961,29.000,-54.000,-63.600,5.540,210.688,186.516,43.875,42.109,5.500,Auto,202.328,184.063,10,10,320,240,1.000
4,15365,12712957,,,,,,995.672,872.088,158.528,-1475.805,2923.341,,Pupil,964.990,975.487,3.414,-297.909,450.000,0.056916,-0.428289,0.901848,-29.000,-54.000,-63.600,5.328,144.797,108.984,42.203,39.156,124.297,Auto,,,1590,10,320,240,0.000,,Both,1035.252,977.118,51.479,-299.025,450.000,0.039471,-0.430248,0.901847,29.000,-54.000,-63.600,5.635,210.547,186.281,44.641,42.438,179.938,Auto,202.266,184.047,10,10,320,240,0.000
5,15366,12713707,,,,,,994.722,873.588,137.486,-1320.876,2604.682,,Pupil,964.840,974.102,3.311,-296.962,450.000,0.056776,-0.426933,0.902499,-29.000,-54.000,-63.600,5.328,144.813,108.875,42.203,39.203,126.141,Auto,,,1590,10,320,240,1.000,,Both,1033.380,976.635,50.198,-298.695,450.000,0.037234,-0.429812,0.902150,29.000,-54.000,-63.600,5.627,210.641,186.281,44.563,42.453,175.609,Auto,202.250,184.078,10,10,320,240,1.000
6,15367,12714457,,,,,,993.675,873.800,145.543,-1442.664,2843.037,,Pupil,963.823,973.840,2.615,-296.783,450.000,0.055566,-0.426705,0.902682,-29.000,-54.000,-63.600,5.344,144.938,108.875,42.328,39.281,122.234,Auto,,,1590,10,320,240,0.000,,Both,1033.638,980.685,50.374,-301.466,450.000,0.037465,-0.433762,0.900248,29.000,-54.000,-63.600,5.635,210.719,186.438,44.641,42.438,0.109,Auto,202.328,184.094,10,10,320,240,0.000
7,15368,12715207,,,,,,994.691,870.734,169.958,-1620.345,3222.790,,Pupil,963.569,975.068,2.441,-297.623,450.000,0.055226,-0.427919,0.902128,-29.000,-54.000,-63.600,5.305,144.953,108.969,42.016,38.656,126.531,Auto,,,1590,10,320,240,1.000,,Both,1035.170,978.302,51.422,-299.835,450.000,0.039348,-0.431407,0.901299,29.000,-54.000,-63.600,5.684,210.703,186.359,45.016,42.672,179.188,Auto,202.406,184.094,10,10,320,240,1.000
8,15369,12715957,,,,,,993.149,867.593,174.617,-1725.618,3465.086,,Pupil,962.174,970.470,1.487,-294.477,450.000,0.053682,-0.423428,0.904338,-29.000,-54.000,-63.600,5.404,145.125,108.656,42.797,39.734,127.125,Auto,,,1590,10,320,240,0.000,,Both,1034.528,977.668,50.983,-299.402,450.000,0.038591,-0.430801,0.901621,29.000,-54.000,-63.600,5.686,210.859,186.328,45.047,42.594,2.719,Auto,202.531,184.094,10,10,320,240,0.000
9,15370,12716707,,,,,,991.402,871.513,164.951,-1741.416,3455.455,,Pupil,960.730,973.167,0.500,-296.322,450.000,0.051875,-0.426128,0.903174,-29.000,-54.000,-63.600,5.320,145.281,108.859,42.141,39.188,124.188,Auto,,,1590,10,320,240,1.000,,Both,1032.841,982.823,49.829,-302.928,450.000,0.036471,-0.435856,0.899277,29.000,-54.000,-63.600,5.606,211.125,186.484,44.406,42.000,2.938,Auto,202.688,184.078,10,10,320,240,1.000
10,15371,12717457,,,,,,991.450,866.067,197.175,-2044.267,4124.149,,Pupil,960.166,969.135,0.114,-293.564,450.000,0.051304,-0.422161,0.905068,-29.000,-54.000,-63.600,5.379,145.359,108.578,42.609,39.828,124.203,Auto,,,1590,10,320,240,0.000,,Both,1033.999,979.642,50.622,-300.752,450.000,0.037919,-0.432739,0.900721,29.000,-54.000,-63.600,5.703,211.078,186.391,45.172,42.344,178.984,Auto,202.703,184.078,10,10,320,240,0.000
11,15372,12718207,,,,,,991.597,866.665,162.340,-1678.349,3379.735,,Pupil,960.720,968.518,0.492,-293.142,450.000,0.051986,-0.421535,0.905321,-29.000,-54.000,-63.600,5.406,145.297,108.531,42.813,39.953,124.891,Auto,,,1590,10,320,240,1.000,,Both,1032.715,976.445,49.743,-298.565,450.000,0.036440,-0.429639,0.902265,29.000,-54.000,-63.600,5.701,211.094,186.266,45.156,42.391,3.141,Auto,202.672,184.063,10,10,320,240,1.000
12,15373,12718957,,,,,,992.017,869.692,158.362,-1630.732,3253.696,,Pupil,961.856,969.680,1.269,-293.937,450.000,0.053320,-0.422656,0.904720,-29.000,-54.000,-63.600,5.346,145.172,108.609,42.344,39.672,127.484,Auto,,,1590,10,320,240,0.000,,Both,1033.212,979.917,50.083,-300.940,450.000,0.036971,-0.433022,0.900625,29.000,-54.000,-63.600,5.624,210.984,186.359,44.547,42.406,179.406,Auto,202.578,184.047,10,10,320,240,0.000
13,15374,12719707,,,,,,987.309,878.197,102.429,-1268.473,2467.256,,Pupil,958.624,972.546,-0.941,-295.898,450.000,0.049363,-0.425571,0.903578,-29.000,-54.000,-63.600,5.257,145.516,108.844,41.641,38.656,125.688,Auto,,,1590,10,320,240,1.000,,Both,1025.964,984.115,45.125,-303.812,450.000,0.028222,-0.437224,0.898910,29.000,-54.000,-63.600,5.348,211.625,186.266,42.359,40.719,7.141,Auto,202.797,183.828,10,10,320,240,1.000
14,15375,12720457,,,,,,985.671,858.916,128.814,-1600.301,3300.867,,Pupil,953.346,962.327,-4.552,-288.907,450.000,0.043248,-0.415544,0.908544,-29.000,-54.000,-63.600,5.263,146.156,108.172,41.688,38.281,125.906,Auto,,,1590,10,320,240,0.000,,Both,1025.217,965.481,44.614,-291.064,450.000,0.027591,-0.418925,0.907601,29.000,-54.000,-63.600,5.616,211.922,185.125,44.484,41.750,177.891,Auto,203.125,183.359,10,10,320,240,0.000
15,15376,12721207,,,,,,976.647,852.137,66.247,-1242.182,2617.844,,Pupil,947.140,942.819,-8.797,-275.562,450.000,0.036094,-0.395846,0.917607,-29.000,-54.000,-63.600,5.326,146.953,106.844,42.188,40.000,128.781,Auto,,,1590,10,320,240,1.000,,Both,1014.895,957.322,37.553,-285.483,450.000,0.015180,-0.410853,0.911575,29.000,-54.000,-63.600,5.404,212.703,184.172,42.797,40.141,170.469,Auto,203.375,182.734,10,10,320,240,1.000
16,15377,12721957,,,,,,973.053,847.373,44.712,-1052.896,2253.322,,Pupil,944.148,934.612,-10.844,-269.948,450.000,0.032570,-0.387386,0.921342,-29.000,-54.000,-63.600,5.343,147.344,106.266,42.328,39.781,121.531,Auto,,,1590,10,320,240,0.000,,Both,1009.546,948.330,33.894,-279.332,450.000,0.008725,-0.401749,0.915708,29.000,-54.000,-63.600,5.468,213.141,183.344,43.313,39.453,178.063,Auto,203.547,182.250,10,10,320,240,0.000
17,15378,12722707,,,,,,969.858,856.876,23.840,-766.339,1590.873,,Pupil,944.556,933.228,-10.565,-269.001,450.000,0.033091,-0.385935,0.921932,-29.000,-54.000,-63.600,5.376,147.297,106.156,42.578,39.641,122.766,Auto,,,1590,10,320,240,1.000,,Both,1002.600,949.394,29.142,-280.060,450.000,0.000253,-0.402852,0.915265,29.000,-54.000,-63.600,5.333,213.656,183.250,42.234,39.031,166.391,Auto,203.656,182.156,10,10,320,240,1.000
18,15379,12723457,,,,,,967.253,859.699,17.233,-759.612,1562.980,,Pupil,943.375,931.344,-11.373,-267.712,450.000,0.031671,-0.383982,0.922797,-29.000,-54.000,-63.600,5.348,147.453,106.031,42.359,39.594,119.656,Auto,,,1590,10,320,240,0.000,,Both,1000.414,954.500,27.647,-283.553,450.000,-0.002406,-0.408046,0.912958,29.000,-54.000,-63.600,5.333,213.906,183.516,42.250,38.750,176.531,Auto,203.781,182.250,10,10,320,240,0.000
19,15380,12724207,,,,,,976.787,830.726,117.740,-2039.068,4613.728,,Pupil,942.641,933.136,-11.875,-268.938,450.000,0.030744,-0.385868,0.922042,-29.000,-54.000,-63.600,5.339,147.531,106.172,42.297,39.266,124.797,Auto,,,1590,10,320,240,1.000,,Both,1017.691,940.400,39.466,-273.907,450.000,0.018729,-0.393537,0.919118,29.000,-54.000,-63.600,5.630,213.016,183.141,44.594,41.547,175.766,Auto,203.922,182.313,10,10,320,240,1.000
20,15381,12724957,,,,,,970.973,844.907,41.588,-1155.578,2493.075,,Pupil,941.614,932.630,-12.578,-268.592,450.000,0.029490,-0.385354,0.922298,-29.000,-54.000,-63.600,5.329,147.641,106.141,42.203,39.563,125.000,Auto,,,1590,10,320,240,0.000,,Both,1008.330,948.647,33.062,-279.549,450.000,0.007241,-0.402078,0.915577,29.000,-54.000,-63.600,5.284,213.641,183.438,41.859,39.578,175.453,Auto,203.969,182.344,10,10,320,240,0.000
21,15382,12725707,,,,,,971.776,837.305,65.841,-1662.247,3677.874,,Pupil,941.203,928.103,-12.859,-265.495,450.000,0.029048,-0.380609,0.924280,-29.000,-54.000,-63.600,5.427,147.719,105.813,42.984,40.578,132.953,Auto,,,1590,10,320,240,1.000,,Both,1011.932,947.552,35.526,-278.800,450.000,0.011639,-0.400941,0.916030,29.000,-54.000,-63.600,5.443,213.453,183.422,43.109,39.797,177.859,Auto,204.000,182.359,10,10,320,240,1.000
22,15383,12726457,,,,,,974.439,832.053,84.684,-1712.930,3858.172,,Pupil,941.077,931.441,-12.945,-267.778,450.000,0.028848,-0.384116,0.922834,-29.000,-54.000,-63.600,5.402,147.719,106.063,42.797,40.063,120.031,Auto,,,1590,10,320,240,0.000,,Both,1014.281,939.847,37.133,-273.529,450.000,0.014559,-0.392992,0.919427,29.000,-54.000,-63.600,5.576,213.234,183.172,44.172,40.516,174.922,Auto,203.938,182.375,10,10,320,240,0.000
23,15384,12727207,,,,,,968.456,851.852,24.237,-893.877,1885.526,,Pupil,940.872,934.216,-13.085,-269.677,450.000,0.028558,-0.387021,0.921629,-29.000,-54.000,-63.600,5.319,147.719,106.266,42.125,39.516,124.328,Auto,,,1590,10,320,240,1.000,,Both,1002.778,948.717,29.264,-279.597,450.000,0.000471,-0.402160,0.915569,29.000,-54.000,-63.600,5.321,213.766,183.453,42.156,39.094,178.469,Auto,203.797,182.375,10,10,320,240,1.000
24,15385,12727957,,,,,,970.832,843.106,41.297,-1155.644,2508.028,,Pupil,941.436,930.712,-12.699,-267.280,450.000,0.029298,-0.383347,0.923140,-29.000,-54.000,-63.600,5.389,147.672,106.000,42.688,40.531,136.297,Auto,,,1590,10,320,240,0.000,,Both,1008.227,946.785,32.991,-278.275,450.000,0.007122,-0.400172,0.916413,29.000,-54.000,-63.600,5.465,213.344,183.422,43.281,39.344,174.297,Auto,203.688,182.391,10,10,320,240,0.000
25,15386,12728707,,,,,,971.838,849.615,40.800,-1067.126,2267.235,,Pupil,941.895,939.839,-12.385,-273.523,450.000,0.029733,-0.392851,0.919121,-29.000,-54.000,-63.600,5.269,147.578,106.672,41.734,38.531,121.188,Auto,,,1590,10,320,240,1.000,,Both,1007.723,949.535,32.647,-280.156,450.000,0.006498,-0.402987,0.915183,29.000,-54.000,-63.600,5.459,213.250,183.484,43.234,39.344,176.641,Auto,203.563,182.375,10,10,320,240,1.000
