番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,4427508,6538955744,,,,,,1034.307,594.282,1253.335,-915.579,11095.384,,Both,997.051,679.785,25.346,-95.625,450.000,0.112512,-0.080268,0.990403,-33.000,-54.000,-63.600,4.013,173.109,84.484,31.781,31.125,29.813,Auto,171.469,93.359,1590,10,320,240,1.000,,Both,1083.113,666.242,84.219,-86.360,450.000,0.099039,-0.062573,0.993114,33.000,-54.000,-63.600,3.925,109.625,152.172,31.094,29.797,3.656,Auto,112.375,159.922,10,10,320,240,1.000
2,4427509,6538956494,,,,,,1033.829,592.517,1268.041,-902.005,11298.224,,Both,996.398,678.022,24.899,-94.419,450.000,0.111682,-0.077963,0.990681,-33.000,-54.000,-63.600,3.943,173.188,84.422,31.234,30.891,24.281,Auto,171.500,93.406,1590,10,320,240,0.000,,Both,1083.408,665.490,84.421,-85.846,450.000,0.099432,-0.061580,0.993137,33.000,-54.000,-63.600,4.013,109.656,152.141,31.797,30.922,10.594,Auto,112.422,159.938,10,10,320,240,0.000
3,4427510,6538957244,,,,,,1034.126,590.682,1319.336,-902.053,11708.079,,Both,995.952,677.720,24.594,-94.212,450.000,0.111104,-0.077573,0.990777,-33.000,-54.000,-63.600,3.986,173.219,84.375,31.578,30.938,25.547,Auto,171.500,93.375,1590,10,320,240,1.000,,Both,1085.337,665.777,85.741,-86.042,450.000,0.101956,-0.061941,0.992859,33.000,-54.000,-63.600,3.944,109.563,152.109,31.234,29.609,1.063,Auto,112.422,159.891,10,10,320,240,1.000
4,4427511,6538957994,,,,,,1033.736,593.206,1233.199,-889.856,11001.693,,Both,996.223,678.964,24.780,-95.063,450.000,0.111443,-0.079200,0.990610,-33.000,-54.000,-63.600,3.920,173.172,84.359,31.047,30.547,47.719,Auto,171.469,93.281,1590,10,320,240,0.000,,Both,1082.169,664.589,83.573,-85.230,450.000,0.097816,-0.060402,0.993370,33.000,-54.000,-63.600,4.005,109.703,151.906,31.719,30.766,178.891,Auto,112.422,159.750,10,10,320,240,0.000
5,4427512,6538958744,,,,,,1035.138,595.120,1223.476,-897.526,10711.208,,Both,998.407,679.799,26.274,-95.634,450.000,0.114277,-0.080268,0.990201,-33.000,-54.000,-63.600,3.898,173.063,84.375,30.875,30.313,31.000,Auto,171.484,93.266,1590,10,320,240,1.000,,Both,1082.088,664.301,83.519,-85.032,450.000,0.097713,-0.060022,0.993403,33.000,-54.000,-63.600,3.872,109.719,151.875,30.672,29.938,171.938,Auto,112.422,159.734,10,10,320,240,1.000
6,4427513,6538959494,,,,,,1034.527,592.208,1257.539,-880.935,11099.679,,Both,996.912,678.316,25.251,-94.619,450.000,0.112348,-0.078342,0.990576,-33.000,-54.000,-63.600,4.005,173.141,84.344,31.719,31.016,35.422,Auto,171.484,93.297,1590,10,320,240,0.000,,Both,1083.533,664.180,84.507,-84.949,450.000,0.099606,-0.059852,0.993225,33.000,-54.000,-63.600,3.868,109.672,151.922,30.641,29.547,2.438,Auto,112.453,159.781,10,10,320,240,0.000
7,4427514,6538960244,,,,,,1033.969,592.592,1293.968,-920.019,11507.428,,Both,997.072,676.931,25.361,-93.672,450.000,0.112573,-0.076524,0.990692,-33.000,-54.000,-63.600,3.913,173.156,84.344,31.000,30.844,73.328,Auto,171.500,93.375,1590,10,320,240,1.000,,Both,1084.104,666.369,84.898,-86.447,450.000,0.100337,-0.062732,0.992974,33.000,-54.000,-63.600,3.919,109.672,152.109,31.047,29.766,1.031,Auto,112.469,159.859,10,10,320,240,1.000
8,4427515,6538960994,,,,,,1033.958,593.434,1236.445,-893.322,10997.399,,Both,996.712,678.687,25.114,-94.874,450.000,0.112083,-0.078832,0.990567,-33.000,-54.000,-63.600,3.952,173.219,84.484,31.297,30.625,40.469,Auto,171.547,93.422,1590,10,320,240,0.000,,Both,1082.284,664.647,83.652,-85.269,450.000,0.097966,-0.060477,0.993350,33.000,-54.000,-63.600,4.100,109.750,152.047,32.469,30.984,2.281,Auto,112.469,159.891,10,10,320,240,0.000
9,4427516,6538961744,,,,,,1033.223,592.193,1263.862,-900.881,11354.155,,Both,995.618,677.858,24.365,-94.306,450.000,0.110666,-0.077757,0.990811,-33.000,-54.000,-63.600,3.954,173.234,84.422,31.313,30.953,33.891,Auto,171.500,93.406,1590,10,320,240,1.000,,Both,1082.975,665.489,84.125,-85.845,450.000,0.098865,-0.061581,0.993194,33.000,-54.000,-63.600,4.080,109.703,152.063,32.313,30.953,1.750,Auto,112.453,159.859,10,10,320,240,1.000
10,4427517,6538962494,,,,,,1035.070,596.114,895.961,-669.727,7851.037,,Both,998.856,679.715,26.580,-95.577,450.000,0.114862,-0.080154,0.990142,-33.000,-54.000,-63.600,4.027,173.000,84.469,31.891,31.203,43.234,Auto,171.453,93.359,1590,10,320,240,0.000,,Both,1082.328,665.873,83.682,-86.107,450.000,0.098014,-0.062092,0.993246,33.000,-54.000,-63.600,4.031,109.688,151.969,31.922,30.844,169.953,Auto,112.406,159.750,10,10,320,240,0.000
11,4427518,6538963244,,,,,,1035.650,594.759,947.180,-685.609,8236.215,,Both,999.490,678.232,27.014,-94.562,450.000,0.115705,-0.078202,0.990200,-33.000,-54.000,-63.600,3.990,172.922,84.406,31.594,31.203,28.141,Auto,171.406,93.375,1590,10,320,240,1.000,,Both,1084.383,666.435,85.088,-86.492,450.000,0.100701,-0.062817,0.992932,33.000,-54.000,-63.600,3.956,109.563,151.969,31.344,30.359,178.969,Auto,112.391,159.719,10,10,320,240,1.000
12,4427519,6538963994,,,,,,1034.772,594.866,845.030,-620.058,7434.183,,Both,998.681,677.922,26.461,-94.350,450.000,0.114656,-0.077806,0.990354,-33.000,-54.000,-63.600,4.031,172.938,84.422,31.922,31.125,41.172,Auto,171.375,93.422,1590,10,320,240,0.000,,Both,1083.373,666.510,84.397,-86.544,450.000,0.099378,-0.062924,0.993058,33.000,-54.000,-63.600,4.067,109.609,152.016,32.219,30.906,172.547,Auto,112.375,159.750,10,10,320,240,0.000
13,4427520,6538964744,,,,,,1034.226,596.292,660.795,-501.134,5856.178,,Both,998.694,678.082,26.470,-94.459,450.000,0.114671,-0.078015,0.990335,-33.000,-54.000,-63.600,4.030,172.953,84.469,31.922,31.234,35.734,Auto,171.391,93.453,1590,10,320,240,1.000,,Both,1083.352,668.975,84.383,-88.229,450.000,0.099329,-0.066170,0.992852,33.000,-54.000,-63.600,3.860,109.625,152.203,30.578,29.922,176.078,Auto,112.391,159.828,10,10,320,240,1.000
14,4427521,6538965494,,,,,,1035.524,592.276,1346.547,-932.055,11728.468,,Both,998.060,678.367,26.037,-94.655,450.000,0.113843,-0.078396,0.990401,-33.000,-54.000,-63.600,4.033,172.969,84.469,31.953,31.156,35.578,Auto,171.375,93.438,1590,10,320,240,0.000,,Both,1086.804,667.416,86.744,-87.163,450.000,0.103860,-0.064088,0.992525,33.000,-54.000,-63.600,3.831,109.453,152.188,30.344,29.344,9.328,Auto,112.391,159.859,10,10,320,240,0.000
15,4427522,6538966244,,,,,,1035.603,596.663,623.455,-467.273,5424.656,,Both,1000.267,678.472,27.546,-94.726,450.000,0.116714,-0.078507,0.990058,-33.000,-54.000,-63.600,4.030,172.859,84.422,31.922,31.281,32.250,Auto,171.391,93.391,1590,10,320,240,1.000,,Both,1082.379,665.685,83.718,-85.979,450.000,0.098083,-0.061844,0.993255,33.000,-54.000,-63.600,4.067,109.672,152.031,32.219,31.016,2.688,Auto,112.391,159.828,10,10,320,240,1.000
16,4427523,6538966994,,,,,,1035.755,596.328,937.581,-697.140,8141.412,,Both,999.580,680.083,27.076,-95.829,450.000,0.115800,-0.080627,0.989995,-33.000,-54.000,-63.600,4.010,172.875,84.469,31.766,31.156,32.031,Auto,171.359,93.344,1590,10,320,240,0.000,,Both,1083.259,666.358,84.319,-86.439,450.000,0.099230,-0.062724,0.993086,33.000,-54.000,-63.600,3.928,109.609,152.000,31.109,30.672,3.750,Auto,112.359,159.750,10,10,320,240,0.000
17,4427524,6538967744,,,,,,1035.941,595.432,1186.581,-866.122,10278.401,,Both,999.474,679.798,27.003,-95.634,450.000,0.115665,-0.080255,0.990041,-33.000,-54.000,-63.600,4.016,172.891,84.406,31.813,31.188,39.844,Auto,171.375,93.313,1590,10,320,240,1.000,,Both,1083.885,665.977,84.748,-86.178,450.000,0.100053,-0.062216,0.993035,33.000,-54.000,-63.600,4.106,109.594,151.969,32.531,31.125,178.469,Auto,112.391,159.734,10,10,320,240,1.000
18,4427525,6538968494,,,,,,1035.763,594.483,1268.439,-912.156,11013.220,,Both,999.158,678.981,26.787,-95.075,450.000,0.115265,-0.079188,0.990173,-33.000,-54.000,-63.600,4.049,172.938,84.359,32.078,31.328,38.250,Auto,171.406,93.297,1590,10,320,240,0.000,,Both,1084.148,665.596,84.928,-85.918,450.000,0.100401,-0.061713,0.993031,33.000,-54.000,-63.600,4.096,109.625,152.000,32.438,31.328,178.906,Auto,112.438,159.781,10,10,320,240,0.000
19,4427526,6538969244,,,,,,1034.709,594.906,1256.490,-923.430,11063.359,,Both,998.040,679.277,26.023,-95.277,450.000,0.113806,-0.079589,0.990310,-33.000,-54.000,-63.600,4.053,173.031,84.391,32.109,31.453,37.109,Auto,171.438,93.313,1590,10,320,240,1.000,,Both,1084.601,668.470,85.237,-87.884,450.000,0.100969,-0.065495,0.992731,33.000,-54.000,-63.600,3.929,109.625,152.266,31.125,30.094,177.781,Auto,112.453,159.891,10,10,320,240,1.000
20,4427527,6538969994,,,,,,1035.708,593.919,1245.280,-886.893,10820.080,,Both,998.984,678.597,26.668,-94.812,450.000,0.115042,-0.078687,0.990239,-33.000,-54.000,-63.600,4.020,173.000,84.391,31.844,31.125,51.969,Auto,171.453,93.344,1590,10,320,240,0.000,,Both,1083.262,663.758,84.322,-84.661,450.000,0.099256,-0.059297,0.993294,33.000,-54.000,-63.600,3.989,109.688,152.078,31.594,30.688,179.484,Auto,112.453,159.953,10,10,320,240,0.000
21,4427528,6538970744,,,,,,1035.324,595.624,951.623,-702.733,8310.662,,Both,999.077,679.312,26.732,-95.301,450.000,0.115156,-0.079622,0.990151,-33.000,-54.000,-63.600,4.059,172.938,84.406,32.156,31.391,31.984,Auto,171.406,93.328,1590,10,320,240,1.000,,Both,1083.359,666.428,84.388,-86.487,450.000,0.099360,-0.062816,0.993067,33.000,-54.000,-63.600,4.131,109.641,152.156,32.719,31.453,179.406,Auto,112.406,159.906,10,10,320,240,1.000
22,4427529,6538971494,,,,,,1035.269,594.415,1251.347,-904.661,10936.232,,Both,998.520,679.078,26.351,-95.141,450.000,0.114433,-0.079323,0.990259,-33.000,-54.000,-63.600,4.063,172.891,84.375,32.188,31.219,40.516,Auto,171.328,93.297,1590,10,320,240,0.000,,Both,1083.302,665.088,84.349,-85.571,450.000,0.099296,-0.061050,0.993183,33.000,-54.000,-63.600,4.107,109.609,152.016,32.531,31.484,179.703,Auto,112.375,159.828,10,10,320,240,0.000
23,4427530,6538972244,,,,,,1035.375,594.700,839.574,-609.286,7327.131,,Both,999.354,677.758,26.922,-94.238,450.000,0.115535,-0.077583,0.990269,-33.000,-54.000,-63.600,3.982,172.781,84.313,31.547,30.750,69.734,Auto,171.250,93.313,1590,10,320,240,1.000,,Both,1083.251,665.156,84.314,-85.617,450.000,0.099229,-0.061140,0.993185,33.000,-54.000,-63.600,4.144,109.578,151.969,32.828,31.406,2.266,Auto,112.328,159.781,10,10,320,240,1.000
