番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,4054642,6083730609,,,,,,1038.357,553.512,2364.104,-407.659,19846.912,,Both,996.568,644.416,25.016,-71.429,450.000,0.112182,-0.033702,0.993116,-33.000,-54.000,-63.600,4.742,348.500,200.859,75.109,73.281,97.750,Auto,343.875,216.922,1590,10,320,240,1.000,,Both,1103.868,642.806,98.418,-70.328,450.000,0.126288,-0.031521,0.991493,33.000,-54.000,-63.600,4.779,213.469,266.078,75.703,74.516,80.281,Auto,220.969,282.234,10,10,320,240,1.000
2,4054643,6083732109,,,,,,1038.880,552.453,2379.608,-375.667,19844.631,,Both,997.341,642.826,25.545,-70.341,450.000,0.113199,-0.031597,0.993070,-33.000,-54.000,-63.600,4.768,348.391,200.609,75.531,73.906,105.297,Auto,343.844,216.844,1590,10,320,240,1.000,,Both,1105.163,642.520,99.304,-70.132,450.000,0.127971,-0.031136,0.991289,33.000,-54.000,-63.600,4.727,213.328,265.922,74.875,74.047,87.688,Auto,220.953,282.109,10,10,320,240,1.000
3,4054644,6083733609,,,,,,1038.914,553.107,2380.601,-395.407,19844.412,,Both,997.755,642.767,25.828,-70.302,450.000,0.113739,-0.031518,0.993011,-33.000,-54.000,-63.600,4.722,348.156,200.672,74.797,74.047,118.703,Auto,343.656,216.906,1590,10,320,240,1.000,,Both,1104.854,642.803,99.092,-70.326,450.000,0.127568,-0.031512,0.991329,33.000,-54.000,-63.600,4.659,213.188,266.094,73.797,72.625,92.078,Auto,220.781,282.250,10,10,320,240,1.000
4,4054645,6083735109,,,,,,1036.083,553.825,2296.924,-417.368,19859.247,,Both,995.333,641.759,24.171,-69.611,450.000,0.110580,-0.030196,0.993408,-33.000,-54.000,-63.600,4.789,348.469,200.656,75.859,74.547,80.188,Auto,343.719,216.984,1590,10,320,240,1.000,,Both,1098.563,639.498,94.788,-68.065,450.000,0.119399,-0.027179,0.992474,33.000,-54.000,-63.600,4.805,213.563,265.750,76.109,74.469,92.313,Auto,220.578,282.234,10,10,320,240,1.000
5,4054646,6083736609,,,,,,1036.555,556.921,2311.611,-510.937,19863.035,,Both,996.039,644.980,24.653,-71.815,450.000,0.111487,-0.034449,0.993169,-33.000,-54.000,-63.600,4.696,348.297,201.016,74.391,73.563,89.750,Auto,343.625,217.016,1590,10,320,240,1.000,,Both,1094.785,637.109,92.204,-66.430,450.000,0.114482,-0.024036,0.993135,33.000,-54.000,-63.600,4.781,213.281,265.563,75.750,75.063,86.281,Auto,219.938,282.281,10,10,320,240,1.000
6,4054647,6083738109,,,,,,1037.512,552.508,2339.547,-377.522,19854.838,,Both,997.836,638.389,25.883,-67.306,450.000,0.113864,-0.025730,0.993163,-33.000,-54.000,-63.600,4.797,348.266,200.375,75.984,75.953,25.563,Auto,343.766,217.078,1590,10,320,240,1.000,,Pupil,1100.188,637.960,95.901,-67.013,450.000,0.121523,-0.025141,0.992270,33.000,-54.000,-63.600,4.935,213.516,265.156,78.172,77.063,122.438,Auto,,,10,10,320,240,1.000
7,4054648,6083739609,,,,,,1034.618,556.169,2252.556,-488.106,19857.995,,Both,995.757,639.907,24.461,-68.345,450.000,0.111142,-0.027746,0.993417,-33.000,-54.000,-63.600,4.805,348.656,200.547,76.125,75.031,21.109,Auto,343.938,217.063,1590,10,320,240,1.000,,Both,1098.490,644.419,94.739,-71.431,450.000,0.119281,-0.033678,0.992289,33.000,-54.000,-63.600,4.839,213.688,265.375,76.656,75.813,99.766,Auto,220.703,281.359,10,10,320,240,1.000
8,4054649,6083741109,,,,,,1036.211,554.045,2300.545,-423.970,19857.210,,Both,995.843,641.230,24.519,-69.250,450.000,0.111248,-0.029494,0.993355,-33.000,-54.000,-63.600,4.767,348.344,200.906,75.516,74.797,61.938,Auto,343.641,217.297,1590,10,320,240,1.000,,Both,1099.349,640.628,95.327,-68.838,450.000,0.120419,-0.028668,0.992309,33.000,-54.000,-63.600,4.862,213.406,265.422,77.016,75.656,87.016,Auto,220.484,281.797,10,10,320,240,1.000
9,4054650,6083742609,,,,,,1040.912,552.061,2440.125,-363.739,19838.256,,Both,998.482,645.029,26.325,-71.849,450.000,0.114677,-0.034502,0.992803,-33.000,-54.000,-63.600,4.790,347.391,201.594,75.875,74.469,25.219,Auto,342.969,217.625,1590,10,320,240,1.000,,Both,1107.381,641.885,100.821,-69.698,450.000,0.130854,-0.030287,0.990939,33.000,-54.000,-63.600,4.829,212.453,266.078,76.500,75.281,69.172,Auto,220.266,282.344,10,10,320,240,1.000
10,4054651,6083744109,,,,,,1041.219,559.271,2449.079,-581.085,19835.717,,Both,1001.161,648.256,28.158,-74.056,450.000,0.118153,-0.038747,0.992239,-33.000,-54.000,-63.600,4.767,347.078,201.672,75.516,74.156,15.219,Auto,342.922,217.391,1590,10,320,240,1.000,,Both,1104.359,645.610,98.754,-72.246,450.000,0.126910,-0.035216,0.991289,33.000,-54.000,-63.600,4.871,212.688,266.344,77.172,76.438,76.250,Auto,220.250,282.219,10,10,320,240,1.000
