,フレーム数,両眼.注視Z座標[mm]
0,192,2.4447427030542173
1,193,2.4447427030542173
2,194,2.4447427030542173
3,231,6.132185388228656
4,233,3.261365860022177
5,234,2.957652333883457
6,724,1.6303771877623887
7,2263,2.9869381196029763
8,2264,2.9869381196029763
9,2265,3.129175493549205
10,2266,3.129175493549205
11,2267,3.664990544324396
12,2268,3.664990544324396
13,2269,3.664990544324396
14,2270,3.664990544324396
15,2271,3.664990544324396
16,2272,3.664990544324396
17,2273,3.8208772734219774
18,2274,3.8208772734219774
19,2275,3.8208772734219774
20,2276,3.8208772734219774
21,2277,3.914568457973193
22,2278,3.914568457973193
23,2279,4.016548178495401
24,2280,4.016548178495401
25,2281,4.016548178495401
26,2282,3.967325110390821
27,2283,3.8476781186393074
28,2284,3.8476781186393074
29,2285,3.9392101095888252
30,2286,3.9392101095888252
31,2287,3.9392101095888252
32,2288,3.9392101095888252
33,2289,3.9392101095888252
34,2290,3.9097779637094408
35,2291,4.1014199115733865
36,2292,4.1014199115733865
37,2293,4.1014199115733865
38,2294,4.292969404007057
39,2295,4.292969404007057
40,2296,4.180409763765044
41,2297,4.180409763765044
42,2298,4.174424138190137
43,2299,4.263555976226412
44,2300,4.263555976226412
45,2301,4.263555976226412
46,2302,3.224038430538092
47,2303,3.224038430538092
48,2304,3.224038430538092
49,2838,1.75507259857804
50,2842,2.52137495619111
51,2843,2.52137495619111
52,2844,2.52137495619111
53,2845,2.5112945472261496
54,2846,3.5487671582892104
55,2847,3.5487671582892104
56,2848,3.5487671582892104
57,2849,3.474792120561388
58,2850,3.7066827783811434
59,2851,3.7066827783811434
60,2852,3.7066827783811434
61,2853,3.572742830398325
62,2854,3.572742830398325
63,2855,3.7458795325142344
64,2856,3.7458795325142344
65,2857,3.7458795325142344
66,2858,3.7458795325142344
67,2859,3.709116265958473
68,2860,3.6140877139088166
69,2861,3.114459501125877
70,2862,3.114459501125877
71,2863,3.0528105700513177
72,2864,2.5135480238485437
73,3430,2.2821983960709673
74,3431,2.2821983960709673
75,3432,2.2821983960709673
76,3433,2.2821983960709673
77,3434,2.2821983960709673
78,3435,2.2821983960709673
79,3436,2.2821983960709673
80,3437,2.2821983960709673
81,3438,2.2821983960709673
82,3439,2.639434738656369
83,3440,2.639434738656369
84,3441,2.639434738656369
85,3442,2.8208585565102595
86,3443,2.8208585565102595
87,3444,2.8208585565102595
88,3445,2.9785751092392423
89,3446,2.9785751092392423
90,3447,2.9785751092392423
91,3448,3.124131101037524
92,3449,3.124131101037524
93,3450,3.124131101037524
94,3454,3.2427314175276116
95,3456,3.4054146092286737
96,3457,3.3547140441748744
97,3458,3.634645440337295
98,3459,3.634645440337295
99,3460,3.634645440337295
100,3461,3.5447040349366032
101,3462,4.1285293765507785
102,3463,4.1285293765507785
103,3464,4.1285293765507785
104,3465,3.602876536626843
105,3466,3.602876536626843
106,3467,3.3453878809978623
107,3468,3.5207796414438013
