,フレーム数,両眼.注視Z座標[mm]
0,171,1.2199987068013707
1,554,1.1735298604672997
2,776,7.239032865209209
3,1299,1.1011615051556383
4,1365,1.1554762642065808
5,1660,4.321838683049316
6,2004,4.817002090578907
7,2292,4.652677615967989
8,2937,3.1054839741499514
9,3171,1.2531972194060097
10,3846,1.0728416571541373
11,5307,5.0092671442168015
12,5931,1.001663763511192
13,6432,1.2061416734009576
14,7190,1.1019077328578968
15,8321,3.5927928575277996
16,10097,4.186342476305302
17,11330,3.334633840531141
18,11763,1.361589028860241
19,13264,1.3071690378713015
20,13719,4.769854519437157
21,13949,4.826627538806085
22,14262,3.223227869317449
