,フレーム数,両眼.注視Z座標[mm]
0,1078,1.2874652666529294
1,1557,2.099204840251857
2,1721,1.2427044738521975
3,2485,1.3613893415136697
4,2718,1.1714586558347138
5,3295,1.2667420079625198
6,4156,1.3338450212330517
7,4598,1.7458956923997562
8,5088,1.9223258992213428
9,5782,2.2723604205324217
10,6049,1.3040706246491078
11,6349,1.5422360675996696
12,6800,3.2793589122964915
13,7198,1.4148634611867887
14,7510,1.2658000779863239
15,7820,1.2872351457273865
16,8133,1.4449828332417323
17,8393,1.3259953970909113
18,8877,1.6531145180639188
19,10406,3.077454817915808
20,10506,1.2956880225369016
21,13102,3.400773942676539
