番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,68330,52850392,,,,,,949.642,573.527,-183.868,-595.163,11677.481,,Both,905.707,647.492,-37.141,-73.533,450.000,-0.008056,-0.038003,0.999245,-33.000,-54.000,-63.600,5.444,208.781,184.859,43.125,38.500,117.875,Auto,197.297,194.797,1590,10,320,240,1.000,,Both,997.226,658.647,25.465,-81.164,450.000,-0.014648,-0.052811,0.998497,33.000,-54.000,-63.600,4.801,203.859,153.406,38.031,35.578,158.219,Auto,196.516,159.141,10,10,320,240,1.000
2,68331,52851142,,,,,,951.781,576.084,-158.638,-696.442,12696.160,,Both,906.701,652.769,-36.461,-77.144,450.000,-0.006731,-0.045015,0.998964,-33.000,-54.000,-63.600,5.457,208.844,185.125,43.219,39.563,118.938,Auto,197.453,194.750,1590,10,320,240,0.000,,Both,997.688,658.032,25.782,-80.744,450.000,-0.014034,-0.051996,0.998549,33.000,-54.000,-63.600,4.755,203.781,153.344,37.656,35.594,151.781,Auto,196.453,159.125,10,10,320,240,0.000
3,68332,52851892,,,,,,950.787,576.603,-125.196,-497.386,8938.914,,Both,907.119,650.741,-36.175,-75.756,450.000,-0.006177,-0.042321,0.999085,-33.000,-54.000,-63.600,5.466,208.953,184.984,43.297,39.156,119.266,Auto,197.578,194.719,1590,10,320,240,1.000,,Both,996.007,657.637,24.632,-80.473,450.000,-0.016269,-0.051469,0.998542,33.000,-54.000,-63.600,4.774,203.859,153.313,37.813,35.516,156.703,Auto,196.438,159.109,10,10,320,240,1.000
4,68333,52852642,,,,,,953.403,577.776,-96.997,-555.413,9671.718,,Both,908.161,655.317,-35.462,-78.886,450.000,-0.004789,-0.048397,0.998817,-33.000,-54.000,-63.600,5.475,208.797,185.281,43.359,39.953,118.609,Auto,197.516,194.750,1590,10,320,240,0.000,,Both,998.864,658.763,26.586,-81.244,450.000,-0.012470,-0.052967,0.998518,33.000,-54.000,-63.600,4.732,203.750,153.406,37.484,35.141,158.672,Auto,196.500,159.125,10,10,320,240,0.000
5,68334,52853392,,,,,,951.585,579.819,-115.382,-545.994,9019.859,,Both,907.876,654.599,-35.657,-78.395,450.000,-0.005168,-0.047445,0.998860,-33.000,-54.000,-63.600,5.470,208.688,185.266,43.328,40.375,119.953,Auto,197.375,194.781,1590,10,320,240,1.000,,Both,996.920,661.301,25.256,-82.980,450.000,-0.015052,-0.056329,0.998299,33.000,-54.000,-63.600,4.908,203.984,153.547,38.875,36.063,159.094,Auto,196.594,159.141,10,10,320,240,1.000
6,68335,52854142,,,,,,951.176,576.670,-166.837,-693.303,12437.020,,Both,906.334,652.895,-36.712,-77.229,450.000,-0.007220,-0.045181,0.998953,-33.000,-54.000,-63.600,5.455,208.797,185.141,43.219,39.422,117.781,Auto,197.375,194.750,1590,10,320,240,0.000,,Both,997.394,659.404,25.580,-81.682,450.000,-0.014424,-0.053815,0.998447,33.000,-54.000,-63.600,4.740,204.031,153.438,37.547,35.281,151.766,Auto,196.688,159.141,10,10,320,240,0.000
7,68336,52854892,,,,,,950.711,575.840,-175.290,-676.343,12413.830,,Both,905.718,652.114,-37.133,-76.695,450.000,-0.008040,-0.044144,0.998993,-33.000,-54.000,-63.600,5.413,209.047,185.047,42.875,38.609,120.203,Auto,197.578,194.719,1590,10,320,240,1.000,,Both,998.024,660.533,26.011,-82.454,450.000,-0.013585,-0.055312,0.998377,33.000,-54.000,-63.600,4.791,203.984,153.531,37.953,35.281,158.125,Auto,196.672,159.156,10,10,320,240,1.000
8,68337,52855642,,,,,,950.289,574.283,-173.872,-613.820,11777.965,,Both,906.272,648.618,-36.755,-74.303,450.000,-0.007305,-0.039500,0.999193,-33.000,-54.000,-63.600,5.410,209.219,184.859,42.844,38.438,118.953,Auto,197.766,194.719,1590,10,320,240,0.000,,Both,997.700,659.037,25.790,-81.431,450.000,-0.014018,-0.053328,0.998479,33.000,-54.000,-63.600,4.765,203.938,153.438,37.734,35.344,159.828,Auto,196.609,159.156,10,10,320,240,0.000
9,68338,52856392,,,,,,953.473,580.521,-53.242,-330.540,5365.912,,Both,909.491,656.265,-34.552,-79.535,450.000,-0.003019,-0.049656,0.998762,-33.000,-54.000,-63.600,5.458,208.922,185.313,43.234,40.234,121.328,Auto,197.734,194.734,1590,10,320,240,1.000,,Both,996.734,657.929,25.129,-80.673,450.000,-0.015302,-0.051858,0.998537,33.000,-54.000,-63.600,4.724,203.969,153.391,37.422,35.188,152.609,Auto,196.594,159.172,10,10,320,240,1.000
10,68339,52857142,,,,,,950.991,575.894,-168.748,-672.306,12321.240,,Both,906.262,651.786,-36.761,-76.471,450.000,-0.007316,-0.043709,0.999018,-33.000,-54.000,-63.600,5.378,208.938,185.094,42.594,38.641,120.203,Auto,197.500,194.766,1590,10,320,240,0.000,,Both,997.495,659.078,25.650,-81.459,450.000,-0.014289,-0.053382,0.998472,33.000,-54.000,-63.600,4.766,203.938,153.484,37.750,35.406,154.375,Auto,196.594,159.203,10,10,320,240,0.000
