trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S01_6_1,S01,6,1,D,filler,0,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\0_day_sun_busy.jpg,,,,,,,M_6_8_D_filler_0_day_sun_busy_MODEL.jpg,Ignore,2026-01-05T17:41:52.002,0.0,0,0,,,D,0,None,1,Correct Rejection,正解(スルー成功)
S01_6_2,S01,6,2,0,match,0,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,,,,,,,M_6_3_0_match_0_day_rain_busy_MODEL.jpg,Match,2026-01-05T17:41:54.526,2.523836135864258,151,303,,,0,0,None,0,Omission,無反応(不正解)
S01_6_3,S01,6,3,L,filler,0,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_6_28_L_filler_0_day_rain_empty_ORIG.jpg,Ignore,2026-01-05T17:41:57.007,5.004820108413696,300,601,2026-01-05 17:41:58.082177,1.0750250816345215,L,0,t,0,False Alarm,お手つき(スルー失敗)
S01_6_4,S01,6,4,D,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,,,,,,,M_6_40_D_filler_5_day_sun_busy_BRIGHTONLY.jpg,Ignore,2026-01-05T17:41:59.505,7.502987861633301,450,900,,,D,5,None,1,Correct Rejection,正解(スルー成功)
S01_6_5,S01,6,5,5,unmatch,8,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,,,,,,,M_6_36_5_unmatch_8_day_rain_empty_BRIGHTONLY.jpg,Mismatch,2026-01-05T17:42:02.027,10.024941682815552,601,1203,,,5,8,None,0,Omission,無反応(不正解)
S01_6_6,S01,6,6,T,filler,0,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_6_7_T_filler_0_day_rain_empty_ORIG.jpg,Ignore,2026-01-05T17:42:04.508,12.505924224853516,750,1501,2026-01-05 17:42:05.469383,0.961127519607544,T,0,b,0,False Alarm,お手つき(スルー失敗)
S01_6_7,S01,6,7,L,filler,9,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\9_day_rain_busy.jpg,,,,,,,M_6_42_L_filler_9_day_rain_busy_MODEL.jpg,Ignore,2026-01-05T17:42:07.010,15.008564472198486,901,1801,,,L,9,None,1,Correct Rejection,正解(スルー成功)
S01_6_8,S01,6,8,R,filler,3,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_6_19_R_filler_3_day_sun_empty_MODEL.jpg,Ignore,2026-01-05T17:42:09.527,17.524823904037476,1051,2103,,,R,3,None,1,Correct Rejection,正解(スルー成功)
S01_6_9,S01,6,9,3,match,3,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,,,,,,,M_6_33_3_match_3_day_rain_empty_ORIG.jpg,Match,2026-01-05T17:42:12.008,20.00659942626953,1200,2401,,,3,3,None,0,Omission,無反応(不正解)
S01_6_10,S01,6,10,Q,filler,8,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,,,,,,,M_6_31_Q_filler_8_day_sun_empty_BRIGHTONLY.jpg,Ignore,2026-01-05T17:42:14.503,22.50163722038269,1350,2700,2026-01-05 17:42:15.485299,0.9813308715820312,Q,8,t,0,False Alarm,お手つき(スルー失敗)
