trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S01_1_1,S01,1,1,E,filler,5,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_30_E_filler_5_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-05T18:27:45.203,0.0,0,0,,,E,5,None,1,Correct Rejection,正解(スルー成功)
S01_1_2,S01,1,2,6,match,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,,,,,,,M_1_11_6_match_6_night_rain_busy_ORIG.jpg,Match,2026-01-05T18:27:47.753,2.5495502948760986,153,306,,,6,6,None,0,Omission,無反応(不正解)
S01_1_3,S01,1,3,L,filler,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_1_28_L_filler_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-05T18:27:50.221,5.017353534698486,301,602,2026-01-05 18:27:51.256550,1.035390853881836,L,3,t,0,False Alarm,お手つき(スルー失敗)
S01_1_4,S01,1,4,3,match,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_36_3_match_3_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Match,2026-01-05T18:27:52.745,7.54154109954834,452,905,,,3,3,None,0,Omission,無反応(不正解)
S01_1_5,S01,1,5,A,filler,7,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,,,,,,,M_1_12_A_filler_7_night_sun_busy_ORIG.jpg,Ignore,2026-01-05T18:27:55.208,10.004859447479248,600,1201,2026-01-05 18:27:56.203335,0.9946701526641846,A,7,t,0,False Alarm,お手つき(スルー失敗)
S01_1_6,S01,1,6,U,filler,9,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,brightness,46.88,,,,,M_1_1_U_filler_9_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:27:57.736,12.53258728981018,752,1504,,,U,9,None,1,Correct Rejection,正解(スルー成功)
S01_1_7,S01,1,7,I,filler,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_1_22_I_filler_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:28:00.214,15.010934591293335,901,1801,,,I,3,None,1,Correct Rejection,正解(スルー成功)
S01_1_8,S01,1,8,1,unmatch,0,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,,,,,,,M_1_16_1_unmatch_0_night_rain_empty_ORIG.jpg,Mismatch,2026-01-05T18:28:02.725,17.52133059501648,1051,2103,,,1,0,None,0,Omission,無反応(不正解)
S01_1_9,S01,1,9,U,filler,0,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,,,,,,,M_1_15_U_filler_0_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:28:05.233,20.029834032058716,1202,2404,2026-01-05 18:28:06.756887,1.5232481956481934,U,0,b,0,False Alarm,お手つき(スルー失敗)
S01_1_10,S01,1,10,Q,filler,6,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,brightness,45.47,,,,,M_1_29_Q_filler_6_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-05T18:28:07.735,22.532150983810425,1352,2704,,,Q,6,None,1,Correct Rejection,正解(スルー成功)
S01_1_11,S01,1,11,3,unmatch,9,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_20_3_unmatch_9_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Mismatch,2026-01-05T18:28:10.231,25.027984857559204,1502,3003,,,3,9,None,0,Omission,無反応(不正解)
S01_1_12,S01,1,12,U,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,brightness,43.12,,,,,M_1_35_U_filler_7_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-05T18:28:12.733,27.52933621406555,1652,3304,2026-01-05 18:28:13.646659,0.9135177135467529,U,7,b,0,False Alarm,お手つき(スルー失敗)
S01_1_13,S01,1,13,1,match,1,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,,,,,,,M_1_44_1_match_1_night_sun_empty_ORIG.jpg,Match,2026-01-05T18:28:15.219,30.015296459197998,1801,3602,,,1,1,None,0,Omission,無反応(不正解)
S01_1_14,S01,1,14,S,filler,4,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_45_S_filler_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-05T18:28:17.727,32.524168729782104,1951,3903,2026-01-05 18:28:18.613267,0.8852925300598145,S,4,t,0,False Alarm,お手つき(スルー失敗)
S01_1_15,S01,1,15,B,filler,7,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_1_46_B_filler_7_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:28:20.222,35.0184645652771,2101,4202,,,B,7,None,1,Correct Rejection,正解(スルー成功)
S01_1_16,S01,1,16,9,unmatch,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_1_8_9_unmatch_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Mismatch,2026-01-05T18:28:22.749,37.54525446891785,2253,4505,,,9,3,None,0,Omission,無反応(不正解)
S01_1_17,S01,1,17,G,filler,0,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_1_3_G_filler_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-05T18:28:25.200,39.99631690979004,2400,4800,2026-01-05 18:28:26.186804,0.9866819381713867,G,0,b,0,False Alarm,お手つき(スルー失敗)
S01_1_18,S01,1,18,C,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,brightness,45.47,,,,,M_1_25_C_filler_7_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-05T18:28:27.725,42.52211260795593,2551,5103,,,C,7,None,1,Correct Rejection,正解(スルー成功)
S01_1_19,S01,1,19,D,filler,1,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_7_D_filler_1_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-05T18:28:30.216,45.01250219345093,2701,5402,,,D,1,None,1,Correct Rejection,正解(スルー成功)
S01_1_20,S01,1,20,B,filler,9,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_1_14_B_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:28:32.729,47.52581238746643,2852,5703,,,B,9,None,1,Correct Rejection,正解(スルー成功)
S01_1_21,S01,1,21,6,match,6,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,brightness,45.47,,,,,M_1_23_6_match_6_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-05T18:28:35.212,50.0085871219635,3001,6001,,,6,6,None,0,Omission,無反応(不正解)
S01_1_22,S01,1,22,I,filler,3,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,,,,,,,M_1_39_I_filler_3_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:28:37.735,52.53218054771423,3152,6304,2026-01-05 18:28:38.771825,1.035839319229126,I,3,t,0,False Alarm,お手つき(スルー失敗)
S01_1_23,S01,1,23,1,match,1,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_1_47_1_match_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Match,2026-01-05T18:28:40.223,55.020193576812744,3301,6602,,,1,1,None,0,Omission,無反応(不正解)
S01_1_24,S01,1,24,A,filler,5,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_18_A_filler_5_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-05T18:28:42.744,57.54039931297302,3452,6905,2026-01-05 18:28:43.744668,1.0004639625549316,A,5,t,0,False Alarm,お手つき(スルー失敗)
