番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,879320,661102482,,,,,,791.989,976.374,-500.459,-1299.840,1959.451,,Pupil,734.817,1088.051,-154.044,-374.913,450.000,-0.195993,-0.519618,0.831615,-33.000,-54.000,-63.600,7.618,237.234,200.188,60.344,56.141,20.391,Auto,218.094,193.531,1590,10,320,240,1.000,,Pupil,808.870,1073.279,-103.386,-364.807,450.000,-0.221542,-0.504869,0.834282,33.000,-54.000,-63.600,7.049,252.547,114.141,55.828,42.375,13.406,Auto,233.125,110.609,10,10,320,240,1.000
2,879321,661103232,,,,,,791.866,975.591,-519.503,-1345.889,2032.517,,Pupil,734.000,1088.506,-154.603,-375.224,450.000,-0.196812,-0.519894,0.831249,-33.000,-54.000,-63.600,7.624,237.313,200.219,60.391,55.531,20.250,Auto,218.109,193.453,1590,10,320,240,0.000,,Pupil,808.901,1073.379,-103.364,-364.876,450.000,-0.221497,-0.504956,0.834241,33.000,-54.000,-63.600,7.087,252.531,114.141,56.141,42.188,13.453,Auto,233.047,110.578,10,10,320,240,0.000
3,879322,661103982,,,,,,,,,,,,Pupil,733.210,1090.358,-155.143,-376.491,450.000,-0.197441,-0.521298,0.830220,-33.000,-54.000,-63.600,7.653,237.359,200.328,60.625,55.578,20.000,Auto,217.984,193.422,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
4,879323,661104732,,,,,,790.283,980.870,-395.971,-1028.603,1534.759,,Pupil,738.969,1081.220,-151.204,-370.240,450.000,-0.192318,-0.514524,0.835630,-33.000,-54.000,-63.600,7.695,236.922,199.813,60.953,56.938,19.375,Auto,217.766,193.344,1590,10,320,240,0.000,,Pupil,805.969,1072.226,-105.370,-364.087,450.000,-0.224737,-0.503635,0.834174,33.000,-54.000,-63.600,7.130,252.828,114.109,56.469,42.281,13.422,Auto,233.250,110.453,10,10,320,240,0.000
5,879324,661105482,,,,,,770.116,1025.056,-147.816,-377.594,512.078,,Pupil,740.728,1082.790,-150.000,-371.314,450.000,-0.190260,-0.516001,0.835191,-33.000,-54.000,-63.600,7.644,236.719,199.875,60.547,56.422,18.500,Auto,217.563,193.219,1590,10,320,240,1.000,,Pupil,771.261,1032.950,-129.113,-337.219,450.000,-0.266412,-0.465434,0.844035,33.000,-54.000,-63.600,6.965,256.656,112.500,55.172,31.266,4.047,Auto,233.141,110.422,10,10,320,240,1.000
6,879325,661106232,,,,,,791.682,983.985,-375.184,-989.652,1466.282,,Pupil,741.250,1083.190,-149.643,-371.588,450.000,-0.189657,-0.516384,0.835092,-33.000,-54.000,-63.600,7.630,236.656,199.891,60.438,55.969,19.141,Auto,217.516,193.094,1590,10,320,240,0.000,,Pupil,807.042,1072.990,-104.636,-364.609,450.000,-0.223509,-0.504402,0.834040,33.000,-54.000,-63.600,7.100,252.719,114.141,56.234,41.344,13.500,Auto,232.828,110.453,10,10,320,240,0.000
7,879326,661106982,,,,,,795.250,975.263,-577.247,-1525.067,2304.839,,Pupil,735.892,1091.826,-153.308,-377.495,450.000,-0.194423,-0.522782,0.829999,-33.000,-54.000,-63.600,7.614,237.063,200.359,60.313,54.922,26.203,Auto,217.516,193.031,1590,10,320,240,1.000,,Pupil,813.296,1076.831,-100.358,-367.237,450.000,-0.216424,-0.508347,0.833513,33.000,-54.000,-63.600,7.129,252.078,114.281,56.469,42.375,14.531,Auto,232.641,110.500,10,10,320,240,1.000
8,879327,661107732,,,,,,792.513,980.397,-367.530,-966.400,1443.496,,Pupil,743.132,1077.345,-148.356,-367.589,450.000,-0.188267,-0.511796,0.838225,-33.000,-54.000,-63.600,7.677,236.563,199.578,60.813,56.234,18.031,Auto,217.469,192.969,1590,10,320,240,0.000,,Pupil,808.049,1069.672,-103.947,-362.340,450.000,-0.222858,-0.501772,0.835798,33.000,-54.000,-63.600,7.039,252.656,113.984,55.750,40.797,13.172,Auto,232.641,110.453,10,10,320,240,0.000
9,879328,661108482,,,,,,794.693,977.685,-394.392,-1044.233,1569.421,,Pupil,744.501,1076.380,-147.419,-366.929,450.000,-0.186896,-0.511146,0.838928,-33.000,-54.000,-63.600,7.666,236.438,199.516,60.719,56.531,18.500,Auto,217.391,192.906,1590,10,320,240,1.000,,Pupil,811.378,1072.121,-101.670,-364.015,450.000,-0.219032,-0.504219,0.835337,33.000,-54.000,-63.600,7.092,252.313,114.078,56.172,42.203,13.156,Auto,232.766,110.359,10,10,320,240,1.000
10,879329,661109232,,,,,,766.148,1037.713,-141.130,-362.348,478.907,,Pupil,746.658,1076.178,-145.944,-366.790,450.000,-0.184589,-0.511208,0.839401,-33.000,-54.000,-63.600,7.691,236.219,199.484,60.922,56.953,17.313,Auto,217.203,192.813,1590,10,320,240,0.000,,Pupil,760.820,999.552,-136.256,-314.372,450.000,-0.282005,-0.433817,0.855731,33.000,-54.000,-63.600,6.729,258.094,110.953,53.297,25.547,176.219,Auto,232.750,110.313,10,10,320,240,0.000
11,879330,661109982,,,,,,781.814,1008.129,-137.272,-360.641,506.772,,Pupil,747.720,1075.507,-145.218,-366.332,450.000,-0.183513,-0.510766,0.839906,-33.000,-54.000,-63.600,7.692,236.125,199.438,60.922,56.891,19.266,Auto,217.125,192.750,1590,10,320,240,1.000,,Pupil,782.827,1014.499,-121.201,-324.597,450.000,-0.256722,-0.450504,0.855067,33.000,-54.000,-63.600,6.659,255.781,111.578,52.750,31.797,0.063,Auto,232.516,110.281,10,10,320,240,1.000
12,879331,661110732,,,,,,797.748,974.913,-394.880,-1058.464,1600.949,,Pupil,747.475,1074.089,-145.385,-365.361,450.000,-0.183926,-0.509566,0.840544,-33.000,-54.000,-63.600,7.719,236.172,199.375,61.141,57.031,18.781,Auto,217.203,192.750,1590,10,320,240,0.000,,Pupil,814.886,1069.996,-99.270,-362.562,450.000,-0.215568,-0.502881,0.837043,33.000,-54.000,-63.600,7.128,252.000,113.969,56.453,41.047,12.250,Auto,232.359,110.250,10,10,320,240,0.000
13,879332,661111482,,,,,,799.891,970.631,-437.119,-1175.679,1795.921,,Pupil,747.738,1073.512,-145.205,-364.967,450.000,-0.183702,-0.509115,0.840866,-33.000,-54.000,-63.600,7.713,236.156,199.344,61.094,57.172,18.953,Auto,217.234,192.703,1590,10,320,240,1.000,,Pupil,818.132,1070.198,-97.050,-362.700,450.000,-0.212090,-0.503438,0.837596,33.000,-54.000,-63.600,7.086,251.672,113.969,56.125,42.188,14.250,Auto,232.391,110.250,10,10,320,240,1.000
14,879333,661112232,,,,,,787.063,995.254,-151.887,-399.840,577.744,,Pupil,747.610,1073.029,-145.293,-364.636,450.000,-0.183891,-0.508701,0.841075,-33.000,-54.000,-63.600,7.727,236.172,199.313,61.203,57.156,18.969,Auto,217.172,192.734,1590,10,320,240,0.000,,Pupil,789.283,1008.621,-116.785,-320.576,450.000,-0.250589,-0.445979,0.859249,33.000,-54.000,-63.600,6.867,255.219,111.281,54.391,31.859,0.375,Auto,232.531,110.234,10,10,320,240,0.000
15,879334,661112982,,,,,,,,,,,,Pupil,743.780,1081.564,-147.913,-370.475,450.000,-0.187117,-0.515329,0.836315,-33.000,-54.000,-63.600,7.665,236.422,199.766,60.719,55.891,22.578,Auto,217.047,192.750,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
16,879335,661113732,,,,,,780.032,1010.377,-159.462,-416.780,582.860,,Pupil,740.378,1088.644,-150.240,-375.318,450.000,-0.189994,-0.520716,0.832320,-33.000,-54.000,-63.600,7.710,236.656,200.156,61.063,55.266,23.375,Auto,217.031,192.781,1590,10,320,240,0.000,,Pupil,782.274,1024.678,-121.579,-331.560,450.000,-0.255960,-0.459598,0.850444,33.000,-54.000,-63.600,6.965,255.703,112.063,55.172,31.219,1.297,Auto,232.750,110.172,10,10,320,240,0.000
17,879336,661114482,,,,,,781.146,1009.598,-196.433,-515.753,722.468,,Pupil,748.351,1074.419,-144.786,-365.587,450.000,-0.182944,-0.509931,0.840537,-33.000,-54.000,-63.600,7.715,236.078,199.375,61.109,57.250,17.781,Auto,217.094,192.797,1590,10,320,240,1.000,,Pupil,787.443,1049.448,-118.043,-348.505,450.000,-0.247203,-0.481998,0.840577,33.000,-54.000,-63.600,6.885,254.891,113.188,54.531,32.328,6.625,Auto,232.563,110.188,10,10,320,240,1.000
18,879337,661115232,,,,,,785.040,998.253,-169.983,-445.217,639.101,,Pupil,745.554,1076.018,-146.699,-366.681,450.000,-0.185798,-0.510959,0.839285,-33.000,-54.000,-63.600,7.662,236.344,199.484,60.688,56.500,18.984,Auto,217.188,192.750,1590,10,320,240,0.000,,Pupil,788.468,1019.208,-117.342,-327.818,450.000,-0.250097,-0.455501,0.854383,33.000,-54.000,-63.600,6.678,255.172,111.781,52.891,31.938,178.766,Auto,232.469,110.188,10,10,320,240,0.000
19,879338,661115982,,,,,,799.959,968.664,-465.450,-1246.687,1913.128,,Pupil,746.026,1074.859,-146.376,-365.888,450.000,-0.185412,-0.510051,0.839923,-33.000,-54.000,-63.600,7.690,236.313,199.422,60.906,56.422,19.234,Auto,217.172,192.719,1590,10,320,240,1.000,,Pupil,818.382,1068.990,-96.879,-361.873,450.000,-0.211967,-0.502460,0.838214,33.000,-54.000,-63.600,7.035,251.672,113.906,55.719,42.297,14.750,Auto,232.484,110.141,10,10,320,240,1.000
20,879339,661116732,,,,,,798.245,973.532,-379.809,-1017.959,1544.587,,Pupil,748.264,1072.095,-144.845,-363.997,450.000,-0.183281,-0.507993,0.841636,-33.000,-54.000,-63.600,7.701,236.125,199.266,61.000,57.031,17.625,Auto,217.031,192.719,1590,10,320,240,0.000,,Pupil,814.966,1065.909,-99.215,-359.766,450.000,-0.215976,-0.499474,0.838975,33.000,-54.000,-63.600,6.938,252.031,113.797,54.953,42.172,15.297,Auto,232.578,110.078,10,10,320,240,0.000
