番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,493912,372418768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
2,493913,372419518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Pupil,1355.227,979.604,270.368,-300.726,450.000,0.383174,-0.399964,0.832590,34.000,-54.000,-63.600,8.770,75.781,144.031,69.469,51.750,75.781,Auto,,,10,10,320,240,0.000
3,493914,372420268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
4,493915,372421018,,,,,,1035.572,574.040,2257.623,-1016.918,19651.490,,Pupil,980.818,691.555,14.242,-103.677,450.000,0.093086,-0.095855,0.991033,-34.000,-54.000,-63.600,3.698,180.797,147.141,29.297,15.250,92.109,Auto,,,1590,10,320,240,0.000,,Pupil,1156.305,741.494,134.289,-137.839,450.000,0.189234,-0.158195,0.969105,34.000,-54.000,-63.600,1.804,92.219,126.578,14.281,10.141,121.891,Auto,,,10,10,320,240,0.000
5,493916,372421768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
6,493917,372422518,,,,,,1040.781,605.665,2422.815,-1969.472,19729.525,,Both,993.929,713.625,23.210,-118.774,450.000,0.109846,-0.124369,0.986137,-34.000,-54.000,-63.600,4.105,180.766,142.734,32.516,23.281,93.781,Auto,178.094,149.250,1590,10,320,240,0.000,,Pupil,1104.505,697.645,98.853,-107.842,450.000,0.124605,-0.103449,0.986799,34.000,-54.000,-63.600,3.979,97.781,122.656,31.516,20.406,88.344,Auto,,,10,10,320,240,0.000
7,493918,372423268,,,,,,,,,,,,Both,995.540,694.893,24.312,-105.960,450.000,0.112246,-0.100018,0.988634,-34.000,-54.000,-63.600,4.188,180.047,141.813,33.172,25.578,93.063,Auto,177.516,149.453,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
8,493919,372424018,,,,,,1061.025,493.408,3015.382,1390.680,19634.369,,Pupil,989.148,640.217,19.940,-68.557,450.000,0.104407,-0.028177,0.994135,-34.000,-54.000,-63.600,4.609,180.641,138.938,36.500,31.719,72.188,Auto,,,1590,10,320,240,0.000,,Pupil,1210.352,662.277,171.262,-83.648,450.000,0.257792,-0.055682,0.964595,34.000,-54.000,-63.600,2.176,85.750,118.984,17.234,9.484,176.906,Auto,,,10,10,320,240,0.000
9,493920,372424768,,,,,,1035.319,570.549,2270.098,-920.756,19826.453,,Both,996.211,653.914,24.771,-77.927,450.000,0.113567,-0.046235,0.992454,-34.000,-54.000,-63.600,4.156,178.969,139.656,32.922,30.469,96.063,Auto,176.531,149.766,1590,10,320,240,1.000,,Both,1105.805,667.794,99.743,-87.422,450.000,0.126704,-0.064412,0.989847,34.000,-54.000,-63.600,4.610,96.344,118.031,36.516,30.828,102.984,Auto,100.688,127.766,10,10,320,240,1.000
10,493921,372425518,,,,,,1032.134,562.964,1466.844,-466.969,13376.745,,Both,994.926,640.364,23.892,-68.658,450.000,0.111964,-0.028348,0.993308,-34.000,-54.000,-63.600,4.253,178.594,138.938,33.688,33.563,52.516,Auto,176.094,149.859,1590,10,320,240,0.000,,Both,1102.748,659.853,97.651,-81.989,450.000,0.122812,-0.054004,0.990960,34.000,-54.000,-63.600,4.503,96.219,117.984,35.672,32.234,96.516,Auto,100.406,128.109,10,10,320,240,0.000
