,Unnamed: 0.2,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,folder_name,file_name
14,14,2,5400.0,5577,3.033635760364703,17.0,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.9033447591006476,contrast,1.207633404712281,sharpness,0.4519886246672135,0.0,18_1_gamma0.9_contrast1.2_sharpness0.45.jpg,18.0,1,1.2,0.9,0.45,0.0,0.0,23,17
40,44,4,10500.0,10695,3.049896458916032,34.0,pictures\transformed\roomBright_figureDark\E.JPG,gamma,1.142694589484153,contrast,1.244085864820013,sharpness,0.5681626556721052,1.0,35_E_gamma1.1_contrast1.2_sharpness0.57.jpg,35.0,E,1.2,1.1,0.57,0.0,0.0,23,8
51,56,5,14100.0,14228,2.282638454722749,46.0,pictures\transformed\roomBright_figureDark\1.JPG,gamma,1.140047934960489,contrast,1.104177275554556,sharpness,0.5063003823282356,0.0,47_1_gamma1.1_contrast1.1_sharpness0.51.jpg,47.0,1,1.1,1.1,0.51,0.0,0.0,23,6
52,57,0,600.0,790,2.532347156193441,1.0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,1.12685332690624,contrast,1.085426760441119,sharpness,0.4660964100628958,0.0,2_8_gamma1.1_contrast1.1_sharpness0.47.jpg,2.0,8,1.1,1.1,0.47,0.0,0.0,23,5
60,67,1,2700.0,2944,2.558913005874869,8.0,pictures\transformed\roomBright_figureDark\B.JPG,gamma,0.932464645176746,contrast,1.234364545163964,sharpness,0.4864589078094422,1.0,9_B_gamma0.93_contrast1.2_sharpness0.49.jpg,9.0,B,1.2,0.93,0.49,0.0,0.0,23,3
63,70,4,11100.0,11295,3.300200509415569,36.0,pictures\transformed\roomBright_figureDark\P.JPG,gamma,1.031459278906205,contrast,1.153783157668322,sharpness,0.4142907083969214,1.0,37_P_gamma1.0_contrast1.2_sharpness0.41.jpg,37.0,P,1.2,1.0,0.41,0.0,0.0,23,3
77,84,0,300.0,257,2.849750574320931,0.0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,1.025483661065681,contrast,1.153254874691925,sharpness,0.3382593485041104,2.0,1_8_gamma1.0_contrast1.2_sharpness0.34.jpg,1.0,8,1.2,1.0,0.34,0.0,0.0,22,19
81,88,4,5400.0,5574,2.7189250429162,17.0,pictures\transformed\roomBright_figureDark\S.JPG,gamma,1.067566080064051,contrast,1.101859648647738,sharpness,0.5825293756973581,1.0,18_S_gamma1.1_contrast1.1_sharpness0.58.jpg,18.0,S,1.1,1.1,0.58,0.0,0.0,22,19
89,97,1,4200.0,4375,2.873409736653696,13.0,pictures\transformed\roomBright_figureDark\B.JPG,gamma,0.980462650717371,contrast,1.189626728010145,sharpness,0.5227638377458833,1.0,14_B_gamma0.98_contrast1.2_sharpness0.52.jpg,14.0,B,1.2,0.98,0.52,0.0,0.0,22,18
90,98,2,4500.0,4664,2.533648565935517,14.0,pictures\transformed\roomBright_figureDark\2.JPG,gamma,1.11770221213163,contrast,1.076591425497539,sharpness,0.6410006291615782,0.0,15_2_gamma1.1_contrast1.1_sharpness0.64.jpg,15.0,2,1.1,1.1,0.64,0.0,0.0,22,18
98,106,1,5100.0,5317,2.919619793047722,16.0,pictures\transformed\roomBright_figureDark\C.JPG,gamma,1.139616757231574,contrast,1.24580561754673,sharpness,0.548082182756923,1.0,17_C_gamma1.1_contrast1.2_sharpness0.55.jpg,17.0,C,1.2,1.1,0.55,0.0,0.0,22,17
