,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
0,0,8400,8485,3.0367397373428964,27,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.14086588567241,brightness,3.366666345689931,gamma,0.7470953098421167,2,28_8_contrast1.1_brightness3.4_gamma0.75.jpg,28,8,1.1,0.75,0.0,3.4,0.0,2023-08-24,20:58:59.426592,f,71.78261017799377,1.6778805255889893,4,1.709727137719232
1,0,300,154,3.148193049469216,0,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.3228244706952882,equalization,30.25964143711921,None,None,0,1_7_sharpness0.32_equalization30.0.jpg,1,7,0.0,0.0,0.32,0.0,30.0,2023-08-24,21:00:59.616344,t,1.517717361450195,1.41304612159729,4,0.20969666056621844
2,1,600,754,3.123335570956703,1,pictures\transformed\roomBright_figureDark\3.JPG,brightness,2.567576622962026,contrast,1.072374003518693,sharpness,0.2981281632078436,2,2_3_brightness2.6_contrast1.1_sharpness0.3.jpg,2,3,1.1,0.0,0.3,2.6,0.0,2023-08-24,21:01:04.975367,f,6.876740217208862,1.7836148738861084,4,2.3086098453170023
3,2,6300,6494,2.997938662101699,20,pictures\transformed\roomBright_figureDark\7.JPG,contrast,1.058886673213949,equalization,29.73196895651553,None,None,0,21_7_contrast1.1_equalization30.0.jpg,21,7,1.1,0.0,0.0,0.0,30.0,2023-08-24,21:01:52.367856,t,54.26922965049744,1.674422025680542,4,1.6901380843722793
4,3,9900,10112,2.8888915410935225,32,pictures\transformed\roomBright_figureDark\E.JPG,sharpness,0.2756344270642069,gamma,0.5162831704588353,equalization,10.0779384313245,2,33_E_sharpness0.28_gamma0.52_equalization10.0.jpg,33,E,0.0,0.52,0.28,0.0,10.0,2023-08-24,21:02:22.262872,f,84.16424536705017,1.5603299140930176,4,1.0439167399981804
5,4,10200,10387,2.673936005128981,33,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.0146187207885853,contrast,0.8674909343914083,equalization,19.02456658213569,1,34_T_sharpness0.015_contrast0.87_equalization19.0.jpg,34,T,0.87,0.0,0.015,0.0,19.0,2023-08-24,21:02:24.824191,f,86.72556495666504,1.631659984588623,4,1.4479325252140423
6,5,11100,11322,3.0923990750582964,36,pictures\transformed\roomBright_figureDark\3.JPG,gamma,0.7219503316593661,contrast,1.030230832078073,equalization,30.23521225761602,0,37_3_gamma0.72_contrast1.0_equalization30.0.jpg,37,3,1.0,0.72,0.0,0.0,30.0,2023-08-24,21:02:32.459320,t,94.36069345474245,1.7541050910949707,4,2.1414654981563532
7,6,12000,12167,3.1062216441740507,39,pictures\transformed\roomBright_figureDark\2.JPG,contrast,1.193691745173272,gamma,0.984594076125185,None,None,0,40_2_contrast1.2_gamma0.98.jpg,40,2,1.2,0.98,0.0,0.0,0.0,2023-08-24,21:02:39.561304,t,101.4626772403717,1.3644611835479736,4,-0.06548997193357547
8,7,12300,12545,2.998675829490455,40,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.9992419295374696,brightness,6.40729379455189,None,None,0,41_8_gamma1.0_brightness6.4.jpg,41,8,0.0,1.0,0.0,6.4,0.0,2023-08-24,21:02:42.164112,t,104.06548523902892,1.4714958667755127,4,0.540757874017585
9,8,13200,13353,3.0473540997608044,43,pictures\transformed\roomBright_figureDark\9.JPG,gamma,0.7293488341158167,equalization,26.44323502247387,None,None,0,44_9_gamma0.73_equalization26.0.jpg,44,9,0.0,0.73,0.0,0.0,26.0,2023-08-24,21:02:49.437915,t,111.33928847312929,1.2534019947052002,4,-0.6945327455351262
