,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
0,3000.0,3228.0,5.23411300380358,9.0,pictures\transformed\roomDark_figureBright\S.JPG,brightness,23.99664791356519,gamma,1.095389610208169,sharpness,0.4185425704693322,1.0,10_S_brightness23.997_gamma1.095_sharpness0.419.jpg,10.0,S,0.0,1.095,0.419,23.997,0.0,2023-11-06,11:26:40.274380,f,26.756579160690308,1.460804462432861,112,0.04459669096783416
1,3600.0,3881.0,5.254189800270279,11.0,pictures\transformed\roomDark_figureBright\B.JPG,contrast,0.8259123059967061,gamma,0.5170041600647183,sharpness,0.6790936729424888,2.0,12_B_contrast0.826_gamma0.517_sharpness0.679.jpg,12.0,B,0.826,0.517,0.679,0.0,0.0,2023-11-06,11:26:45.523619,f,32.005818605422974,1.6907172203063965,112,1.0552404852892694
2,7200.0,7454.0,3.630447231237471,23.0,pictures\transformed\roomDark_figureBright\S.JPG,brightness,16.63241207992569,gamma,1.017025321273729,sharpness,0.3409316341840563,2.0,24_S_brightness16.632_gamma1.017_sharpness0.341.jpg,24.0,S,0.0,1.017,0.341,16.632,0.0,2023-11-06,11:27:15.313985,f,61.780484199523926,1.5161240100860596,112,0.2877687448263095
3,7500.0,7743.0,4.615744391104485,24.0,pictures\transformed\roomDark_figureBright\S.JPG,contrast,0.9458432636591544,gamma,0.6378129472057472,equalization,29.31508158512345,1.0,25_S_contrast0.946_gamma0.638_equalization29.315.jpg,25.0,S,0.946,0.638,0.0,0.0,29.315,2023-11-06,11:27:17.816725,f,64.29892444610596,1.551245927810669,112,0.44215664622571377
4,9600.0,9914.0,4.20420500257106,31.0,pictures\transformed\roomDark_figureBright\0.JPG,brightness,20.62172959907387,contrast,1.142520270634825,gamma,1.087966140447181,2.0,32_0_brightness20.622_contrast1.143_gamma1.088.jpg,32.0,0,1.143,1.088,0.0,20.622,0.0,2023-11-06,11:27:35.379182,f,81.86138153076172,1.6423108577728271,112,0.8424572089165201
5,10800.0,11091.0,5.757937713342072,35.0,pictures\transformed\roomDark_figureBright\I.JPG,contrast,0.8325726023481397,gamma,0.8945866998919263,sharpness,0.5646263836566279,2.0,36_I_contrast0.833_gamma0.895_sharpness0.565.jpg,36.0,I,0.833,0.895,0.565,0.0,0.0,2023-11-06,11:27:45.631884,f,92.11408352851868,1.829340934753418,112,1.6645985654908526
6,12300.0,12599.0,4.738746626004591,40.0,pictures\transformed\roomDark_figureBright\3.JPG,contrast,1.039710201775966,sharpness,0.5490628926038894,equalization,20.65677950003711,0.0,41_3_contrast1.04_sharpness0.549_equalization20.657.jpg,41.0,3,1.04,0.0,0.549,0.0,20.657,2023-11-06,11:27:57.864449,t,104.34664869308472,1.5437698364257812,112,0.40929346179959014
7,2100.0,2418.0,4.0456843434617324,6.0,pictures\transformed\roomDark_figureBright\8.JPG,contrast,1.133368379568073,gamma,0.7111644912129218,equalization,24.27870143827779,0.0,7_8_contrast1.133_gamma0.711_equalization24.279.jpg,7.0,8,1.133,0.711,0.0,0.0,24.279,2023-11-06,11:29:18.926661,t,19.274754762649536,1.516542673110962,112,0.2896090915384399
8,2400.0,2678.0,4.904951997672938,7.0,pictures\transformed\roomDark_figureBright\9.JPG,contrast,1.030301695551364,gamma,1.050539334021314,equalization,9.852215291580473,0.0,8_9_contrast1.03_gamma1.051_equalization9.852.jpg,8.0,9,1.03,1.051,0.0,0.0,9.852,2023-11-06,11:29:21.308273,t,21.640621662139893,1.340620040893555,112,-0.4837064833589377
9,4200.0,4404.0,3.6059404966419626,13.0,pictures\transformed\roomDark_figureBright\T.JPG,contrast,0.8496176496479086,gamma,0.7128229616111496,equalization,14.56476863601412,1.0,14_T_contrast0.85_gamma0.713_equalization14.565.jpg,14.0,T,0.85,0.713,0.0,0.0,14.565,2023-11-06,11:29:36.312356,f,36.66044926643372,1.3729219436645508,112,-0.3417147214305357
10,5700.0,5942.0,5.1418625554769655,18.0,pictures\transformed\roomDark_figureBright\2.JPG,brightness,19.19779299486312,gamma,0.7291336049956749,sharpness,0.9268852801797772,0.0,19_2_brightness19.198_gamma0.729_sharpness0.927.jpg,19.0,2,0.0,0.729,0.927,19.198,0.0,2023-11-06,11:29:48.641420,t,48.98951387405396,1.2159311771392822,112,-1.0318101533760766
11,7800.0,8039.0,4.770105754065384,25.0,pictures\transformed\roomDark_figureBright\C.JPG,brightness,10.91347321995436,contrast,1.154684773972418,sharpness,0.7070222161515418,1.0,26_C_brightness10.913_contrast1.155_sharpness0.707.jpg,26.0,C,1.155,0.0,0.707,10.913,0.0,2023-11-06,11:30:06.874268,f,67.22236108779907,1.8893413543701167,112,1.9283466597817032
12,8400.0,8643.0,5.76164128509466,27.0,pictures\transformed\roomDark_figureBright\8.JPG,contrast,1.025602741646889,gamma,0.5810104497683273,sharpness,0.6134708296326532,0.0,28_8_contrast1.026_gamma0.581_sharpness0.613.jpg,28.0,8,1.026,0.581,0.613,0.0,0.0,2023-11-06,11:30:11.225319,t,71.57341241836548,1.26708722114563,112,-0.8069399073956954
13,8700.0,8982.0,4.965158299085831,28.0,pictures\transformed\roomDark_figureBright\1.JPG,contrast,1.148964863048556,gamma,0.5007659195133193,sharpness,0.7531939314401765,2.0,29_1_contrast1.149_gamma0.501_sharpness0.753.jpg,29.0,1,1.149,0.501,0.753,0.0,0.0,2023-11-06,11:30:13.840285,f,74.18722343444824,1.3887107372283936,112,-0.2723108032543332
14,9600.0,9817.0,3.406047734407746,31.0,pictures\transformed\roomDark_figureBright\B.JPG,contrast,0.8528723177306622,gamma,0.7420288236189645,sharpness,0.7163274107858515,2.0,32_B_contrast0.853_gamma0.742_sharpness0.716.jpg,32.0,B,0.853,0.742,0.716,0.0,0.0,2023-11-06,11:30:21.228182,f,81.57627558708191,1.3303894996643066,112,-0.5286775980613962
15,13800.0,14063.0,2.914420209474556,45.0,pictures\transformed\roomDark_figureBright\B.JPG,gamma,0.6438423741430005,sharpness,0.5855161506528692,equalization,18.83499290231314,2.0,46_B_gamma0.644_sharpness0.586_equalization18.835.jpg,46.0,B,0.0,0.644,0.586,0.0,18.835,2023-11-06,11:30:56.954015,f,117.30210828781128,2.0085551738739014,112,2.452383289993967
16,1800.0,2070.0,4.469017975782507,5.0,pictures\transformed\roomDark_figureBright\I.JPG,brightness,4.227139940896771,contrast,0.9381489944972674,gamma,0.976092768976736,1.0,6_I_brightness4.227_contrast0.938_gamma0.976.jpg,6.0,I,0.938,0.976,0.0,4.227,0.0,2023-11-06,11:31:56.136883,f,16.98520016670227,1.7237520217895508,112,1.2004539019973357
17,3600.0,3857.0,3.864275855523254,11.0,pictures\transformed\roomDark_figureBright\C.JPG,gamma,0.8546301081226533,sharpness,0.8438324326009347,equalization,29.37146185338398,2.0,12_C_gamma0.855_sharpness0.844_equalization29.371.jpg,12.0,C,0.0,0.855,0.844,0.0,29.371,2023-11-06,11:32:11.015490,f,31.863807678222656,1.5680227279663086,112,0.5159036149571944
18,4800.0,5032.0,3.639836835438644,15.0,pictures\transformed\roomDark_figureBright\S.JPG,brightness,22.16017941367011,contrast,0.9847748044252694,gamma,0.8344074967494924,2.0,16_S_brightness22.16_contrast0.985_gamma0.834.jpg,16.0,S,0.985,0.834,0.0,22.16,0.0,2023-11-06,11:32:20.812188,f,41.66050601005554,1.3925940990447998,112,-0.25524043466254503
19,6900.0,7202.0,3.298381752363976,22.0,pictures\transformed\roomDark_figureBright\2.JPG,brightness,4.257171975721019,gamma,0.9208465046337426,sharpness,0.0541776551853873,2.0,23_2_brightness4.257_gamma0.921_sharpness0.054.jpg,23.0,2,0.0,0.921,0.054,4.257,0.0,2023-11-06,11:32:38.270142,f,59.118459939956665,1.3556134700775146,112,-0.41779880472240977
20,7200.0,7447.0,3.9895221070425233,23.0,pictures\transformed\roomDark_figureBright\1.JPG,brightness,22.47439600201113,contrast,0.8507991680172069,gamma,0.7560080261675883,0.0,24_1_brightness22.474_contrast0.851_gamma0.756.jpg,24.0,1,0.851,0.756,0.0,22.474,0.0,2023-11-06,11:32:41.079337,t,61.91200590133667,1.6470003128051758,112,0.8630709785525639
21,9600.0,9906.0,4.906260834817372,31.0,pictures\transformed\roomDark_figureBright\I.JPG,brightness,26.21825275843548,contrast,0.911193395380462,sharpness,0.5509405856218582,1.0,32_I_brightness26.218_contrast0.911_sharpness0.551.jpg,32.0,I,0.911,0.0,0.551,26.218,0.0,2023-11-06,11:33:01.412559,f,82.26087713241577,1.9968955516815183,112,2.4011302628811952
22,10800.0,11004.0,4.211870895958646,35.0,pictures\transformed\roomDark_figureBright\E.JPG,contrast,1.064172676628439,sharpness,0.7482437249151657,equalization,22.71503510857717,2.0,36_E_contrast1.064_sharpness0.748_equalization22.715.jpg,36.0,E,1.064,0.0,0.748,0.0,22.715,2023-11-06,11:33:10.956259,f,91.80457639694214,1.5728578567504885,112,0.5371577330221182
23,12000.0,12228.0,2.7641592709114264,39.0,pictures\transformed\roomDark_figureBright\I.JPG,brightness,6.970750416094602,contrast,1.090361020210214,gamma,0.5942486376528054,2.0,40_I_brightness6.971_contrast1.09_gamma0.594.jpg,40.0,I,1.09,0.594,0.0,6.971,0.0,2023-11-06,11:33:21.007481,f,101.85579824447632,1.5567262172698977,112,0.4662467427661643
24,13200.0,13477.0,2.589665459380011,43.0,pictures\transformed\roomDark_figureBright\2.JPG,gamma,0.7227157612362194,sharpness,0.3289213974744514,equalization,13.42820064328657,0.0,44_2_gamma0.723_sharpness0.329_equalization13.428.jpg,44.0,2,0.0,0.723,0.329,0.0,13.428,2023-11-06,11:33:30.695460,t,111.54377746582033,1.242016077041626,112,-0.9171469113027492
25,1500.0,1713.0,3.794436602223088,4.0,pictures\transformed\roomDark_figureBright\B.JPG,contrast,1.083729537605512,gamma,1.091289694536016,sharpness,0.4625485938488652,1.0,5_B_contrast1.084_gamma1.091_sharpness0.463.jpg,5.0,B,1.084,1.091,0.463,0.0,0.0,2023-11-06,11:42:30.500929,f,14.357123613357544,1.558276653289795,112,0.4730621041949697
26,4200.0,4415.0,4.884180838749576,13.0,pictures\transformed\roomDark_figureBright\2.JPG,brightness,10.59065333908556,gamma,0.7109151369996832,sharpness,0.5900022651708513,0.0,14_2_brightness10.591_gamma0.711_sharpness0.59.jpg,14.0,2,0.0,0.711,0.59,10.591,0.0,2023-11-06,11:42:52.750965,t,36.6039457321167,1.3474040031433103,112,-0.45388573999506804
27,5700.0,5932.0,4.464919169940068,18.0,pictures\transformed\roomDark_figureBright\8.JPG,contrast,1.104916281634306,gamma,0.7227668599454781,equalization,14.61924901358681,0.0,19_8_contrast1.105_gamma0.723_equalization14.619.jpg,19.0,8,1.105,0.723,0.0,0.0,14.619,2023-11-06,11:43:05.154913,t,49.011107444763184,1.230496168136597,112,-0.9677857908225186
28,6900.0,7137.0,4.357602679191387,22.0,pictures\transformed\roomDark_figureBright\3.JPG,contrast,1.170517614286525,sharpness,0.8865448161112384,equalization,27.8334898777439,0.0,23_3_contrast1.171_sharpness0.887_equalization27.833.jpg,23.0,3,1.171,0.0,0.887,0.0,27.833,2023-11-06,11:43:15.489855,t,59.33038783073425,1.527076244354248,112,0.3359122567369782
29,9000.0,9225.0,3.832727528141509,29.0,pictures\transformed\roomDark_figureBright\S.JPG,contrast,1.166001617587137,sharpness,0.2473911538352312,equalization,14.96453355067502,1.0,30_S_contrast1.166_sharpness0.247_equalization14.965.jpg,30.0,S,1.166,0.0,0.247,0.0,14.965,2023-11-06,11:43:32.872995,f,76.72918939590454,1.430300235748291,112,-0.08949289885950669
30,9300.0,9540.0,5.957856239134756,30.0,pictures\transformed\roomDark_figureBright\8.JPG,gamma,0.8764602729188116,sharpness,0.3904763655066676,equalization,29.36393278586818,2.0,31_8_gamma0.876_sharpness0.39_equalization29.364.jpg,31.0,8,0.0,0.876,0.39,0.0,29.364,2023-11-06,11:43:35.487460,f,79.34365510940552,1.545504093170166,112,0.4169168570069003
31,13200.0,13483.0,2.734974545571175,43.0,pictures\transformed\roomDark_figureBright\I.JPG,brightness,7.097850608307176,contrast,1.060090080302446,gamma,0.760193212405088,1.0,44_I_brightness7.098_contrast1.06_gamma0.76.jpg,44.0,I,1.06,0.76,0.0,7.098,0.0,2023-11-06,11:44:08.321407,f,112.1776020526886,1.8892993927001955,112,1.928162205897119
32,14100.0,14319.0,3.100405814280172,46.0,pictures\transformed\roomDark_figureBright\0.JPG,brightness,2.449425791156007,gamma,0.957549088743075,sharpness,0.7433914208153213,0.0,47_0_brightness2.449_gamma0.958_sharpness0.743.jpg,47.0,0,0.0,0.958,0.743,2.449,0.0,2023-11-06,11:44:15.217036,t,119.0732307434082,1.2839655876159668,112,-0.7327464764208401
33,300.0,262.0,2.425064317729228,0.0,pictures\transformed\roomDark_figureBright\T.JPG,brightness,24.22709501986819,gamma,0.7067080477443973,sharpness,0.7948563861058943,1.0,1_T_brightness24.227_gamma0.707_sharpness0.795.jpg,1.0,T,0.0,0.707,0.795,24.227,0.0,2023-11-06,11:45:10.301158,f,1.8198606967926023,1.642977237701416,112,0.8453864623677755
34,900.0,1110.0,1.932803082982461,2.0,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.997429881691842,gamma,1.000814198022743,sharpness,0.0171373421725455,2.0,3_P_contrast0.997_gamma1.001_sharpness0.017.jpg,3.0,P,0.997,1.001,0.017,0.0,0.0,2023-11-06,11:45:17.470729,f,8.989431381225586,1.3008792400360107,112,-0.658397936497581
35,3900.0,4112.0,2.1771224263502487,12.0,pictures\transformed\roomDark_figureBright\S.JPG,gamma,0.5446971317023872,sharpness,0.8043604328654743,equalization,18.33160601874445,2.0,13_S_gamma0.545_sharpness0.804_equalization18.332.jpg,13.0,S,0.0,0.545,0.804,0.0,18.332,2023-11-06,11:45:42.587361,f,34.10606360435486,1.3357164859771729,112,-0.5052613870197507
36,4200.0,4441.0,2.2290733594567174,13.0,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.8870613226875059,gamma,0.8091693815092774,equalization,24.71048962628845,2.0,14_P_contrast0.887_gamma0.809_equalization24.71.jpg,14.0,P,0.887,0.809,0.0,0.0,24.71,2023-11-06,11:45:45.167305,f,36.68600749969482,1.367229461669922,112,-0.3667375677282714
37,5700.0,5936.0,3.113538311202189,18.0,pictures\transformed\roomDark_figureBright\2.JPG,brightness,11.00004757207633,gamma,0.9964072454477892,sharpness,0.917448320423288,2.0,19_2_brightness11.0_gamma0.996_sharpness0.917.jpg,19.0,2,0.0,0.996,0.917,11.0,0.0,2023-11-06,11:45:57.524438,f,49.04314064979553,1.221642255783081,112,-1.006705560470398
38,7200.0,7421.0,2.663227555214721,23.0,pictures\transformed\roomDark_figureBright\I.JPG,contrast,0.9335731092022134,sharpness,0.1804897715796089,equalization,10.17409796748955,2.0,24_I_contrast0.934_sharpness0.18_equalization10.174.jpg,24.0,I,0.934,0.0,0.18,0.0,10.174,2023-11-06,11:46:09.847040,f,61.35032081604004,1.062239646911621,112,-1.7074028986459568
39,7800.0,8034.0,2.533073072104816,25.0,pictures\transformed\roomDark_figureBright\T.JPG,contrast,0.8878015993912968,sharpness,0.1809271183823767,equalization,22.21890392234508,2.0,26_T_contrast0.888_sharpness0.181_equalization22.219.jpg,26.0,T,0.888,0.0,0.181,0.0,22.219,2023-11-06,11:46:15.017860,f,66.53656315803528,1.2822151184082031,112,-0.7404411379017407
40,8100.0,8359.0,3.4716600502757387,26.0,pictures\transformed\roomDark_figureBright\I.JPG,contrast,1.016348138827617,gamma,0.6193733656640441,sharpness,0.1110946722616578,2.0,27_I_contrast1.016_gamma0.619_sharpness0.111.jpg,27.0,I,1.016,0.619,0.111,0.0,0.0,2023-11-06,11:46:17.748763,f,69.25176644325256,1.4582934379577637,112,0.03355880282879334
