frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
600.0,828,2.2828002345551712,1.0,pictures\transformed\roomBright_figureDark\Q.JPG,contrast,1.009862423603804,gamma,0.607173022365193,sharpness,0.3426835284933569,2.0,2_Q_contrast1.0_gamma0.61_sharpness0.34.jpg,2.0,Q,1.0,0.61,0.34,0.0,0.0
1200.0,1350,2.09426035802236,3.0,pictures\transformed\roomBright_figureDark\I.JPG,contrast,1.14358746022607,sharpness,0.9041590044361028,None,None,1.0,4_I_contrast1.1_sharpness0.9.jpg,4.0,I,1.1,0.0,0.9,0.0,0.0
3000.0,3159,2.28970755432897,9.0,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.9166936344474148,equalization,4.071153017490914,None,None,1.0,10_B_contrast0.92_equalization4.1.jpg,10.0,B,0.92,0.0,0.0,0.0,4.1
3600.0,3716,1.7428520909053125,11.0,pictures\transformed\roomBright_figureDark\7.JPG,brightness,20.14990102502588,contrast,1.071304947463759,sharpness,0.9978317735145532,0.0,12_7_brightness20.0_contrast1.1_sharpness1.0.jpg,12.0,7,1.1,0.0,1.0,20.0,0.0
4800.0,4951,2.5508313524078163,15.0,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.8315591820146353,contrast,1.018704709222528,brightness,5.697219104472761,0.0,16_7_gamma0.83_contrast1.0_brightness5.7.jpg,16.0,7,1.0,0.83,0.0,5.7,0.0
7200.0,7340,1.886997880190778,23.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.116781378949137,equalization,9.777277707010452,None,None,1.0,24_T_contrast1.1_equalization9.8.jpg,24.0,T,1.1,0.0,0.0,0.0,9.8
7800.0,7972,1.7141847688567975,25.0,pictures\transformed\roomBright_figureDark\I.JPG,brightness,18.12674134374265,sharpness,0.0304422236250142,None,None,1.0,26_I_brightness18.0_sharpness0.03.jpg,26.0,I,0.0,0.0,0.03,18.0,0.0
9000.0,9119,3.023472323677698,29.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.034915237316857,equalization,19.30900562242942,None,None,1.0,30_T_contrast1.0_equalization19.0.jpg,30.0,T,1.0,0.0,0.0,0.0,19.0
11400.0,11506,3.00805082100995,37.0,pictures\transformed\roomBright_figureDark\C.JPG,contrast,1.04504986889349,equalization,17.45429490572413,None,None,1.0,38_C_contrast1.0_equalization17.0.jpg,38.0,C,1.0,0.0,0.0,0.0,17.0
12000.0,11586,3.4857203936688945,39.0,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.6141756086050424,brightness,24.62263329516952,None,None,0.0,40_0_gamma0.61_brightness25.0.jpg,40.0,0,0.0,0.61,0.0,25.0,0.0
12900.0,12101,2.4682354112867224,42.0,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.4645238530153489,gamma,1.047317332278436,equalization,9.946679882032571,0.0,43_7_sharpness0.46_gamma1.0_equalization9.9.jpg,43.0,7,0.0,1.0,0.46,0.0,9.9
14100.0,13067,2.3837710835136163,46.0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.8480511064718415,sharpness,0.6048860703238184,equalization,27.22332279060857,0.0,47_8_gamma0.85_sharpness0.6_equalization27.0.jpg,47.0,8,0.0,0.85,0.6,0.0,27.0
,14245,2.155118453113783,,,,,,,,,,,,,,,,,
