trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S01_6_1,S01,6,1,R,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,brightness,36.09,,,,,M_6_38_R_filler_3_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-08T11:32:16.984,1767839536.984514,0.0,0,0,,,R,3,None,1,Correct Rejection,正解(スルー成功),0,5.058,4.692,4.875,11718.947,0.08533189884722578,5.0569999999999995,4.6755,4.86625,,0.0,,
S01_6_2,S01,6,2,4,unmatch,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_6_19_4_unmatch_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Mismatch,2026-01-08T11:32:22.073,1767839542.0734406,5.088926553726196,305,611,2026-01-08T11:32:23.497,1.4236066341400146,4,7,b,1,Correct Rejection,正解(不一致),611,3.789,3.583,3.686,10161.736,0.0984083821898148,3.7927999999999997,3.5826000000000002,3.6877,,0.0,,
S01_6_3,S01,6,3,C,filler,8,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\8_day_sun_busy.jpg,,,,,,,M_6_33_C_filler_8_day_sun_busy_ORIG.jpg,Ignore,2026-01-08T11:32:27.181,1767839547.1811028,10.19658875465393,612,1224,,,C,8,None,1,Correct Rejection,正解(スルー成功),1224,3.757,3.472,3.6145,14786.017,0.06763146559347254,3.9557,3.4810000000000003,3.71835,,0.0,,
S01_6_4,S01,6,4,B,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_6_3_B_filler_2_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T11:32:32.277,1767839552.277437,15.292922973632812,918,1835,,,B,2,None,1,Correct Rejection,正解(スルー成功),1835,4.251,3.912,4.0815,19740.567,0.05065710625231788,4.251,3.9186,4.0848,,0.0,,
S01_6_5,S01,6,5,A,filler,2,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_6_23_A_filler_2_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-08T11:32:37.372,1767839557.372705,20.388190984725952,1223,2447,,,A,2,None,1,Correct Rejection,正解(スルー成功),2447,4.134,3.782,3.958,11009.983,0.09082666158521771,4.164199999999999,3.809,3.9865999999999997,,0.0,,
S01_6_6,S01,6,6,L,filler,7,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,brightness,40.55,,,,,M_6_30_L_filler_7_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T11:32:42.470,1767839562.4705365,25.486022472381592,1529,3058,,,L,7,None,1,Correct Rejection,正解(スルー成功),3058,4.07,3.789,3.9295,12879.473,0.07764292840242765,4.1214,3.7567999999999997,3.9391,,0.0,,
S01_6_7,S01,6,7,0,match,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_22_0_match_0_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T11:32:47.557,1767839567.5575132,30.572999238967896,1834,3669,2026-01-08T11:32:48.890,1.3331763744354248,0,0,t,1,Hit,正解(一致),3669,3.942,3.679,3.8105,10517.15,0.09508279334230281,3.9717999999999996,3.683,3.8274,,0.0,,
S01_6_8,S01,6,8,P,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_6_43_P_filler_2_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T11:32:52.641,1767839572.6411865,35.65667247772217,2139,4279,,,P,2,None,1,Correct Rejection,正解(スルー成功),4279,4.035,3.65,3.8425000000000002,19739.993,0.05065857926089437,4.0354,3.650266666666667,3.8428333333333335,,0.0,,
S01_6_9,S01,6,9,T,filler,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,,,,,,,M_6_41_T_filler_7_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T11:32:57.730,1767839577.7301333,40.74561929702759,2445,4889,,,T,7,None,1,Correct Rejection,正解(スルー成功),4889,3.912,3.592,3.752,14934.86,0.06695744051166197,3.9222,3.588,3.7551,,0.0,,
S01_6_10,S01,6,10,3,match,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,brightness,45.47,,,,,M_6_48_3_match_3_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-08T11:33:02.826,1767839582.826482,45.8419680595398,2751,5501,2026-01-08T11:33:04.374,1.548506736755371,3,3,t,1,Hit,正解(一致),5501,4.007,3.659,3.8329999999999997,10610.073,0.0942500584114737,4.0438,3.6479999999999997,3.8459,,0.0,,
S01_6_11,S01,6,11,R,filler,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_13_R_filler_1_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T11:33:07.939,1767839587.939687,50.95517301559448,3057,6115,,,R,1,None,1,Correct Rejection,正解(スルー成功),6115,3.544,3.328,3.436,10341.271,0.09669991241888931,3.6022666666666665,3.4,3.501133333333333,,0.0,,
S01_6_12,S01,6,12,T,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,brightness,40.55,,,,,M_6_10_T_filler_2_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T11:33:13.058,1767839593.0589638,56.07444977760315,3364,6729,,,T,2,None,1,Correct Rejection,正解(スルー成功),6729,3.712,3.375,3.5435,9831.139,0.1017176137983605,3.7112000000000003,3.3562,3.5337,,0.0,,
S01_6_13,S01,6,13,8,unmatch,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_6_11_8_unmatch_9_day_sun_busy_ORIG.jpg,Mismatch,2026-01-08T11:33:18.157,1767839598.1572568,61.17274284362793,3670,7341,2026-01-08T11:33:19.424,1.26701021194458,8,9,b,1,Correct Rejection,正解(不一致),7341,4.012,3.644,3.828,9582.36,0.10435842527310599,4.01,3.6628,3.8364,,0.0,,
S01_6_14,S01,6,14,G,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\0_day_sun_empty.jpg,brightness,40.55,,,,,M_6_16_G_filler_0_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T11:33:23.268,1767839603.2683487,66.28383469581604,3977,7954,,,G,0,None,1,Correct Rejection,正解(スルー成功),7954,4.008,3.588,3.798,9658.67,0.10353392340767414,3.9408000000000003,3.572,3.7564,,0.0,,
S01_6_15,S01,6,15,A,filler,4,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_44_A_filler_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T11:33:28.364,1767839608.3640144,71.37950038909912,4283,8566,,,A,4,None,1,Correct Rejection,正解(スルー成功),8566,4.041,3.755,3.898,10982.054,0.09105764732171232,4.034800000000001,3.7488,3.8918000000000004,,0.0,,
S01_6_16,S01,6,16,R,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,brightness,40.55,,,,,M_6_25_R_filler_1_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T11:33:33.457,1767839613.4575622,76.47304821014404,4588,9177,,,R,1,None,1,Correct Rejection,正解(スルー成功),9177,3.304,3.16,3.232,9395.227,0.10643702382071236,3.3058,3.1521999999999997,3.229,,0.0,,
S01_6_17,S01,6,17,3,match,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_6_35_3_match_3_day_rain_busy_ORIG.jpg,Match,2026-01-08T11:33:38.553,1767839618.5535147,81.56900072097778,4894,9788,2026-01-08T11:33:39.895,1.342470645904541,3,3,t,1,Hit,正解(一致),9788,3.865,3.463,3.664,14529.438,0.06882578665465244,3.8699999999999997,3.4490000000000003,3.6595,,0.0,,
S01_6_18,S01,6,18,P,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_34_P_filler_5_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T11:33:43.643,1767839623.6438422,86.65932822227478,5200,10399,,,P,5,None,1,Correct Rejection,正解(スルー成功),10399,4.039,3.539,3.7889999999999997,13572.116,0.07368047841618801,4.0311,3.528,3.7795500000000004,,0.0,,
S01_6_19,S01,6,19,4,match,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\4_day_sun_busy.jpg,brightness,45.47,,,,,M_6_7_4_match_4_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-08T11:33:48.740,1767839628.7405477,91.75603365898132,5505,11011,2026-01-08T11:33:50.277,1.536609411239624,4,4,t,1,Hit,正解(一致),11011,3.978,3.496,3.737,11610.331,0.08613018870865956,3.97,3.4902,3.7301,,0.0,,
S01_6_20,S01,6,20,C,filler,2,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_6_36_C_filler_2_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T11:33:53.830,1767839633.830815,96.8463010787964,5811,11622,,,C,2,None,1,Correct Rejection,正解(スルー成功),11622,3.435,3.022,3.2285,10088.047,0.09912721461349258,3.428000000000001,3.0162,3.2221,,0.0,,
S01_6_21,S01,6,21,5,match,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_6_14_5_match_5_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Match,2026-01-08T11:33:58.958,1767839638.9580314,101.97351741790771,6118,12237,2026-01-08T11:34:00.949,1.9915237426757808,5,5,t,1,Hit,正解(一致),12237,4.671,,,,,4.033033333333334,3.3339090909090907,3.683471212121212,,0.0,1.534163206047785,12340.0
S01_6_22,S01,6,22,J,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,brightness,36.09,,,,,M_6_2_J_filler_5_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-08T11:34:04.046,1767839644.0460107,107.06149673461914,6424,12847,,,J,5,None,1,Correct Rejection,正解(スルー成功),12847,4.02,3.472,3.7459999999999996,11643.353,0.08588591276069703,4.0074000000000005,3.5132000000000003,3.7603000000000004,,0.0,,
