trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S20_0_1,S20,0,1,7,match,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_0_17_7_match_7_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Match,2026-01-10T16:49:46.833,1768031386.8336012,0.0,0,0,2026-01-10T16:49:48.432,1.5990231037139893,7,7,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Bright\S20\0\M_0_17_7_match_7_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,M_0_17_7_match_7_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,0,,,,,,3.515,4.908,4.2115,17862.811,0.0,9.798215459530208,123.0
S20_0_2,S20,0,2,Q,filler,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,,,,,,,M_0_13_Q_filler_7_day_sun_empty_ORIG.jpg,Ignore,2026-01-10T16:49:49.442,1768031389.44276,2.609158754348755,157,313,,,Q,7,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png,313,4.525,4.199,4.362,5321.487,0.18791739977942257,4.5334,4.203799999999999,4.3686,5156.3272,0.0,,
S20_0_3,S20,0,3,L,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\6_day_sun_empty.jpg,brightness,40.55,,,,,M_0_16_L_filler_6_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-10T16:49:52.028,1768031392.028596,5.194994688034058,312,623,,,L,6,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png,623,4.761,4.401,4.5809999999999995,5203.472,0.1921793756168958,4.743599999999999,4.3405000000000005,4.54205,5167.6194000000005,0.0,,
S20_0_4,S20,0,4,C,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_0_30_C_filler_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-10T16:49:54.615,1768031394.615839,7.782237768173218,467,934,,,C,8,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png,934,4.733,4.244,4.4885,4543.256,0.2201064610931015,4.7335,4.211,4.472250000000001,5769.5006,0.0,,
S20_0_5,S20,0,5,S,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_0_9_S_filler_5_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-10T16:49:57.200,1768031397.2002478,10.36664652824402,622,1244,,,S,5,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png,1244,4.745,4.331,4.538,7162.087,0.13962410677222992,4.760199999999999,4.3924,4.5763,6368.277599999999,0.0,,
S20_0_6,S20,0,6,5,unmatch,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_0_39_5_unmatch_0_day_rain_empty_ORIG.jpg,Mismatch,2026-01-10T16:49:59.789,1768031399.7894282,12.955826997756958,777,1555,2026-01-10T16:50:01.028,1.2387282848358154,5,0,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Bright\S20\0\M_0_39_5_unmatch_0_day_rain_empty_ORIG.jpg,M_0_39_5_unmatch_0_day_rain_empty_ORIG.jpg,1555,4.78,4.372,4.5760000000000005,6556.431,0.15252200473092756,4.7869,4.3708,4.57885,8188.250999999999,0.0,3.7823364149747176,1623.0
S20_0_7,S20,0,7,C,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\1_day_sun_busy.jpg,brightness,45.47,,,,,M_0_47_C_filler_1_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-10T16:50:02.390,1768031402.390837,15.557235717773438,933,1867,,,C,1,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png,1867,4.914,4.393,4.653499999999999,13843.397,0.07223660493157856,4.8798,4.3903,4.63505,13328.1384,0.0,,
S20_0_8,S20,0,8,6,unmatch,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,brightness,40.55,,,,,M_0_32_6_unmatch_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Mismatch,2026-01-10T16:50:04.983,1768031404.983934,18.15033268928528,1089,2178,2026-01-10T16:50:06.442,1.458857774734497,6,4,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Bright\S20\0\M_0_32_6_unmatch_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,M_0_32_6_unmatch_4_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,2178,4.767,4.281,4.524,10404.984,0.09610778834450874,4.760199999999999,4.3286,4.5443999999999996,10180.087199999998,0.0,9.990584807274338,2352.0
S20_0_9,S20,0,9,G,filler,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,,,,,,,M_0_43_G_filler_6_day_rain_empty_ORIG.jpg,Ignore,2026-01-10T16:50:07.581,1768031407.581681,20.74807977676392,1245,2490,,,G,6,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png,2490,4.606,4.246,4.426,8171.334,0.12237903872244116,4.595000000000001,4.2046,4.399800000000001,7568.593999999999,0.0,,
S20_0_10,S20,0,10,1,unmatch,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,brightness,36.09,,,,,M_0_44_1_unmatch_5_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Mismatch,2026-01-10T16:50:10.168,1768031410.168825,23.33522367477417,1400,2800,2026-01-10T16:50:11.426,1.257640361785889,1,5,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Bright\S20\0\M_0_44_1_unmatch_5_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,M_0_44_1_unmatch_5_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,2800,4.6,4.119,4.3595,5343.053,0.1871589145756181,4.5771999999999995,4.1384,4.357799999999999,5451.852799999999,0.0,7.645226257660356,2931.0
