trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S01_0_1,S01,0,1,8,match,8,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,,,,,,,M_0_25_8_match_8_night_rain_empty_ORIG.jpg,Match,2026-01-05T18:24:13.529,0.0,0,0,,,8,8,None,0,Omission,無反応(不正解),0,5.725,4.632,5.1785,3039.25,0.32902854322612485,5.649,4.6095,5.12925,,0.0,,
S01_0_2,S01,0,2,G,filler,5,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_34_G_filler_5_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-05T18:24:16.040,2.5117759704589844,151,301,2026-01-05 18:24:17.940036,1.899142026901245,G,5,b,0,False Alarm,お手つき(スルー失敗),151,5.055,4.019,4.537,2333.777,0.42848995426726716,5.0748,4.103199999999999,4.5889999999999995,,0.0,1.85138018540069,214.0
S01_0_3,S01,0,3,S,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,brightness,43.12,,,,,M_0_40_S_filler_7_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-05T18:24:18.546,5.017811298370361,301,602,,,S,7,None,1,Correct Rejection,正解(スルー成功),301,6.152,4.882,5.5169999999999995,2809.598,0.35592280461475273,6.130999999999999,4.8648,5.4979,,0.0,,
S01_0_4,S01,0,4,4,match,4,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_27_4_match_4_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-05T18:24:21.046,7.51774263381958,451,902,,,4,4,None,0,Omission,無反応(不正解),451,5.054,4.118,4.586,1793.331,0.5576215433737554,5.0428,4.1012,4.572,1816.8622,0.0,,
S01_0_5,S01,0,5,B,filler,8,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,brightness,35.62,,,,,M_0_10_B_filler_8_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:24:23.575,10.04662036895752,603,1206,2026-01-05 18:24:24.657235,1.081496000289917,B,8,t,0,False Alarm,お手つき(スルー失敗),603,5.537,4.513,5.025,2459.935,0.40651480628553194,5.5508,4.54,5.0454,,0.0,1.9686648107867437,625.0
S01_0_6,S01,0,6,5,unmatch,2,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_0_31_5_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-05T18:24:26.056,12.527613401412964,752,1503,,,5,2,None,0,Omission,無反応(不正解),752,5.984,4.865,5.4245,4866.232,0.205497806105422,5.9982,4.9054,5.4518,,0.0,,
S01_0_7,S01,0,7,S,filler,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_32_S_filler_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-05T18:24:28.569,15.039942264556885,902,1805,2026-01-05 18:24:29.442097,0.8730368614196777,S,3,b,0,False Alarm,お手つき(スルー失敗),902,5.793,4.762,5.2775,3312.602,0.30187749690424626,5.7806,4.7841000000000005,5.28235,,0.0,,
S01_0_8,S01,0,8,L,filler,8,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,brightness,35.62,,,,,M_0_26_L_filler_8_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:24:31.065,17.536874532699585,1052,2104,,,L,8,None,1,Correct Rejection,正解(スルー成功),1052,5.521,4.629,5.074999999999999,2209.919,0.45250527281769154,5.622999999999999,4.593999999999999,5.108499999999999,,0.0,,
S01_0_9,S01,0,9,5,match,5,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_0_41_5_match_5_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Match,2026-01-05T18:24:33.558,20.029414415359497,1202,2404,,,5,5,None,0,Omission,無反応(不正解),1202,5.64,4.665,5.1525,2787.557,0.3587370590090176,5.6593,4.648200000000001,5.1537500000000005,,0.0,,
S01_0_10,S01,0,10,R,filler,0,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,,,,,,,M_0_1_R_filler_0_night_sun_busy_ORIG.jpg,Ignore,2026-01-05T18:24:36.052,22.52354097366333,1351,2703,2026-01-05 18:24:37.263419,1.2107598781585691,R,0,t,0,False Alarm,お手つき(スルー失敗),1351,5.816,4.724,5.27,2470.447,0.4047850449736424,5.8222000000000005,4.7345999999999995,5.2783999999999995,1907.408777777778,0.0,,
