trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S102_9_1,S102,9,1,6,match,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,brightness,46.88,,,,,M_9_22_6_match_6_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Match,2026-01-08T15:52:49.493,1767855169.4938562,0.0,0,0,2026-01-08T15:52:51.191,1.6977510452270508,6,6,t,1,Hit,正解(一致),True,True,no_diopter_onset,0.0,299.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
S102_9_2,S102,9,2,I,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,,,,,,,M_9_38_I_filler_5_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T15:52:52.084,1767855172.0843282,2.5904719829559326,155,311,,,I,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_3,S102,9,3,S,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_9_21_S_filler_6_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T15:52:54.673,1767855174.673852,5.179995775222778,311,622,,,S,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_4,S102,9,4,3,match,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,brightness,46.88,,,,,M_9_2_3_match_3_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Match,2026-01-08T15:52:57.259,1767855177.2595873,7.7657310962677,466,932,2026-01-08T15:52:58.602,1.343252182006836,3,3,t,1,Hit,正解(一致),True,False,,932.0,1231.0,0.0,1006.0,1078.0,6.58427543340993,6.58427543340993,996.0,1005.0,1138.0,1147.0,5.4384999999999994,5.146600000000001,5.29255,4.952100000000001,4.490900000000001,4.721500000000001,4.852,4.434,4.647,0.08943642548496808,0.12740450005829096,0.1078969494855976,0.10784223591063698,0.13846034275055394,0.12197333988342104
S102_9_5,S102,9,5,L,filler,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_9_1_L_filler_7_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T15:52:59.863,1767855179.8634052,10.369549036026,622,1244,,,L,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_6,S102,9,6,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_9_30_I_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T15:53:02.468,1767855182.4686954,12.974839210510254,778,1557,,,I,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_7,S102,9,7,B,filler,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_9_14_B_filler_9_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T15:53:05.062,1767855185.0621526,15.568296432495115,934,1868,,,B,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_8,S102,9,8,3,unmatch,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_9_13_3_unmatch_7_night_rain_busy_ORIG.jpg,Mismatch,2026-01-08T15:53:07.683,1767855187.6837194,18.18986320495605,1091,2183,2026-01-08T15:53:09.169,1.4854025840759275,3,7,b,1,Correct Rejection,正解(不一致),True,False,,2183.0,2482.0,0.0,2258.0,2285.0,7.721590338746168,7.721590338746168,2248.0,2257.0,2345.0,2354.0,6.0579,5.6789000000000005,5.868399999999999,5.3616,4.5963,4.978949999999999,5.291,3.999,4.7015,0.11494082107661069,0.1906355103981405,0.15156601458659943,0.1265950246785189,0.2958143302400113,0.19884465953241076
S102_9_9,S102,9,9,A,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_9_17_A_filler_4_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-08T15:53:10.271,1767855190.2718887,20.778032541275024,1247,2493,,,A,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_10,S102,9,10,S,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,brightness,46.88,,,,,M_9_9_S_filler_3_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T15:53:12.872,1767855192.872106,23.378249883651733,1403,2805,,,S,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_11,S102,9,11,I,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,,,,,,,M_9_18_I_filler_5_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T15:53:15.464,1767855195.4649818,25.971125602722168,1558,3117,,,I,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_12,S102,9,12,3,match,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,,,,,,,M_9_32_3_match_3_night_rain_busy_ORIG.jpg,Match,2026-01-08T15:53:18.054,1767855198.0541737,28.560317516326904,1714,3427,2026-01-08T15:53:19.678,1.623993158340454,3,3,t,1,Hit,正解(一致),True,False,,3427.0,3726.0,0.0,3508.0,3634.0,2.099248259198381,2.099248259198381,3498.0,3507.0,3694.0,3703.0,5.8334,5.0038,5.4186,5.4253,4.9354,5.18035,5.4,4.766,5.0895,0.0699592004662804,0.01366961109556746,0.043968921861735476,0.07429629375664275,0.047523881849794156,0.06073524526630486
S102_9_13,S102,9,13,G,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,brightness,45.47,,,,,M_9_24_G_filler_3_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T15:53:20.673,1767855200.673989,31.18013286590576,1871,3742,,,G,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_14,S102,9,14,7,unmatch,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_9_35_7_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-08T15:53:23.278,1767855203.278363,33.78450679779053,2027,4054,2026-01-08T15:53:24.982,1.7040400505065918,7,0,b,1,Correct Rejection,正解(不一致),True,False,,4054.0,4353.0,0.0,4135.0,4234.0,2.2188840344637066,2.2188840344637066,4125.0,4134.0,4294.0,4303.0,5.2701,4.8431,5.0565999999999995,4.529999999999999,4.2121,4.37105,4.485,4.054,4.281000000000001,0.14043376786019257,0.13028845161157096,0.1355752877427519,0.14897250526555472,0.16293283227684738,0.15338369655499723
S102_9_15,S102,9,15,U,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_9_12_U_filler_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T15:53:25.866,1767855205.8667254,36.37286925315857,2182,4365,,,U,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_16,S102,9,16,2,match,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_9_46_2_match_2_night_rain_empty_ORIG.jpg,Match,2026-01-08T15:53:28.468,1767855208.4681635,38.97430729866028,2338,4677,2026-01-08T15:53:30.220,1.7522025108337402,2,2,t,1,Hit,正解(一致),True,False,,4677.0,4976.0,0.0,4749.0,4758.0,2.1744093760532297,2.1744093760532297,4739.0,4748.0,4818.0,4827.0,6.594200000000001,5.9291,6.2616499999999995,5.7641,4.8660000000000005,5.315049999999999,5.687,4.771,5.229,0.12588335203663836,0.17930208632001476,0.1511742112701924,0.1375754450881078,0.19532475417854314,0.1649165954660512
S102_9_17,S102,9,17,L,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_9_3_L_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T15:53:31.061,1767855211.06113,41.56727385520935,2494,4988,,,L,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_18,S102,9,18,A,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,brightness,45.47,,,,,M_9_6_A_filler_8_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T15:53:33.655,1767855213.6550927,44.16123652458191,2650,5299,,,A,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_9_19,S102,9,19,4,match,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_9_27_4_match_4_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T15:53:36.243,1767855216.243937,46.75008082389832,2805,5610,2026-01-08T15:53:37.916,1.6729156970977783,4,4,t,1,Hit,正解(一致),True,True,no_diopter_onset,5610.0,5909.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
