trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S104_6_1,S104,6,1,2,unmatch,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,brightness,35.62,,,,,M_6_6_2_unmatch_0_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-09T12:52:24.124,1767930744.1245508,0.0,0,0,2026-01-09T12:52:25.468,1.3435914516448977,2,0,b,1,Correct Rejection,正解(不一致),0,7.206,6.128,6.667,19823.775,0.050444478914838366,,6.273,,19821.0575,0.05045267595125758,0.050479288892783615,12.0
S104_6_2,S104,6,2,D,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_6_3_D_filler_2_night_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:52:26.706,1767930746.7069843,2.5824334621429443,155,310,,,D,2,,1,Correct Rejection,正解(スルー成功),310,4.478,3.713,4.0954999999999995,19817.034,0.05046163820478887,4.481199999999999,3.6982,4.0897,19810.4328,0.050478934806893985,0.05048298465497858,315.0
S104_6_3,S104,6,3,C,filler,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,,,,,,,M_6_27_C_filler_0_night_rain_busy_ORIG.jpg,Ignore,2026-01-09T12:52:29.327,1767930749.3274229,5.202872037887573,312,624,,,C,0,,1,Correct Rejection,正解(スルー成功),624,4.974,4.115,4.5445,19822.058,0.0504488484495404,4.9722,4.132199999999999,4.552199999999999,19820.676,0.050452867267783794,0.050452867267783794,625.0
S104_6_4,S104,6,4,4,unmatch,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_6_2_4_unmatch_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-09T12:52:31.914,1767930751.914875,7.790324211120605,467,935,2026-01-09T12:52:33.026,1.1120615005493164,4,7,b,1,Correct Rejection,正解(不一致),935,5.546,4.667,5.1065000000000005,19800.879,0.050502808486431336,5.6014,4.6402,5.1208,19798.700399999998,0.050510716512199204,0.05052287928774466,943.0
S104_6_5,S104,6,5,P,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,,,,,,,M_6_46_P_filler_8_night_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:52:34.535,1767930754.535576,10.411025285720823,625,1249,,,P,8,,1,Correct Rejection,正解(スルー成功),1249,4.297,3.508,3.9025,8558.843,0.11683822217559078,4.2844,3.4194000000000004,3.8519,8612.018600000001,0.11599085794254346,0.11614232321988463,1253.0
S104_6_6,S104,6,6,I,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_6_10_I_filler_7_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:52:37.123,1767930757.1239717,12.999420881271362,780,1560,,,I,7,,1,Correct Rejection,正解(スルー成功),1560,5.476,4.514,4.995,19787.783,0.050536232381363795,5.481400000000001,4.5156,4.9985,19785.0078,0.05054408861852392,0.05054408861852392,1561.0
S104_6_7,S104,6,7,9,match,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_6_16_9_match_9_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Match,2026-01-09T12:52:39.728,1767930759.728428,15.603877305984495,936,1872,2026-01-09T12:52:40.794,1.0658838748931885,9,9,t,1,Hit,正解(一致),1872,6.19,4.872,5.531000000000001,19774.182,0.0505709920137278,6.1699,4.8942000000000005,5.53205,19772.557,0.05057598421331426,0.05057598421331426,1873.0
S104_6_8,S104,6,8,F,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,brightness,43.12,,,,,M_6_5_F_filler_5_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-09T12:52:42.332,1767930762.332767,18.20821619033813,1092,2185,,,F,5,,1,Correct Rejection,正解(スルー成功),2185,5.049,4.068,4.5585,19807.827,0.05048509359456744,5.0402000000000005,4.0806,4.5604,19810.6124,0.050477345392688354,0.05047778913538511,2187.0
S104_6_9,S104,6,9,J,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,,,,,,,M_6_1_J_filler_3_night_sun_busy_ORIG.jpg,Ignore,2026-01-09T12:52:44.922,1767930764.9221132,20.79756236076355,1248,2496,,,J,3,,1,Correct Rejection,正解(スルー成功),2496,4.831,3.973,4.402,19790.848,0.05052840585709111,4.851,3.9956000000000005,4.4233,19790.8398,0.05052825194190273,0.05053353295722611,2502.0
S104_6_10,S104,6,10,6,unmatch,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,brightness,45.47,,,,,M_6_26_6_unmatch_5_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Mismatch,2026-01-09T12:52:47.517,1767930767.5176678,23.39311695098877,1404,2807,2026-01-09T12:52:48.823,1.3057403564453125,6,5,b,1,Correct Rejection,正解(不一致),2807,5.671,4.662,5.1665,19783.83,0.05054633000789028,5.6738,4.6958,5.1848,19782.9774,0.05054752289047507,0.05054752289047507,2808.0
