trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S108_1_1,S108,1,1,7,match,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_1_46_7_match_7_night_rain_empty_ORIG.jpg,Match,2026-01-10T13:51:52.029,1768020712.0293524,0.0,0,0,2026-01-10T13:51:53.609,1.5802593231201172,7,7,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S108\1\M_1_46_7_match_7_night_rain_empty_ORIG.jpg,M_1_46_7_match_7_night_rain_empty_ORIG.jpg,True,False,,0.0,299.0,0.0,96.0,130.0,3.8225715203131454,3.8225715203131454,86.0,95.0,190.0,199.0,4.1326,3.3669000000000002,3.7497499999999997,4.2832,3.2806000000000006,3.7818999999999994,4.214,3.198,3.718,-0.036441949378115436,0.025631886898927675,-0.008573904926995049,-0.019697043023762368,0.05016484006058994,0.008467231148743176
S108_1_2,S108,1,2,E,filler,5,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_25_E_filler_5_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-10T13:51:54.637,1768020714.6377752,2.6084227561950684,157,313,,,E,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S108_1_3,S108,1,3,I,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,brightness,43.12,,,,,M_1_17_I_filler_2_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-10T13:51:57.235,1768020717.2350178,5.205665349960327,312,625,,,I,2,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S108_1_4,S108,1,4,S,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_1_15_S_filler_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-10T13:51:59.831,1768020719.8312984,7.801945924758911,468,936,,,S,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S108_1_5,S108,1,5,5,unmatch,2,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_1_9_5_unmatch_2_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Mismatch,2026-01-10T13:52:02.431,1768020722.431121,10.401768922805786,624,1248,2026-01-10T13:52:04.199,1.768472671508789,5,2,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S108\1\M_1_9_5_unmatch_2_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,M_1_9_5_unmatch_2_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,True,False,,1248.0,1547.0,0.0,1330.0,1350.0,4.691157636970075,4.691157636970075,1320.0,1329.0,1410.0,1419.0,3.9240000000000004,3.1773,3.55065,3.7509,2.9877,3.3693,3.703,2.894,3.3105,0.044113149847094864,0.0596733075252573,0.05107515525326352,0.056320081549439474,0.08916375538979626,0.06763550335853995
S108_1_6,S108,1,6,P,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,,,,,,,M_1_48_P_filler_1_night_sun_empty_ORIG.jpg,Ignore,2026-01-10T13:52:05.035,1768020725.0352774,13.005924940109251,780,1561,,,P,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S108_1_7,S108,1,7,E,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,,,,,,,M_1_29_E_filler_1_night_sun_busy_ORIG.jpg,Ignore,2026-01-10T13:52:07.634,1768020727.6342504,15.60489797592163,936,1873,,,E,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S108_1_8,S108,1,8,R,filler,7,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,brightness,46.88,,,,,M_1_8_R_filler_7_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-10T13:52:10.242,1768020730.242166,18.21281361579895,1093,2186,,,R,7,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S108_1_9,S108,1,9,6,unmatch,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_1_28_6_unmatch_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-10T13:52:12.827,1768020732.8276856,20.798333168029785,1248,2496,2026-01-10T13:52:14.285,1.4574403762817385,6,3,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S108\1\M_1_28_6_unmatch_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,M_1_28_6_unmatch_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,True,False,,2496.0,2795.0,0.0,2557.0,2655.0,2.244139989452542,2.244139989452542,2547.0,2556.0,2715.0,2724.0,4.2722999999999995,3.4890999999999996,3.8807,3.4,2.7325,3.0662499999999997,3.31,2.646,2.9805,0.20417573672260836,0.21684675131122633,0.20987193032184923,0.22524167310348048,0.24163824481958093,0.23196845929858012
S108_1_10,S108,1,10,S,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,,,,,,,M_1_4_S_filler_1_night_rain_empty_ORIG.jpg,Ignore,2026-01-10T13:52:15.432,1768020735.4325051,23.40315270423889,1404,2808,,,S,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
