frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
1200,1421,3.3598828337267004,3,pictures\transformed\roomBright_figureDark\T.JPG,gamma,0.997968019738824,contrast,1.097676503589247,equalization,13.37708927919321,1,4_T_gamma1.0_contrast1.1_equalization13.0.jpg,4,T,1.1,1.0,0.0,0.0,13.0
2400,2588,3.380326601747289,7,pictures\transformed\roomBright_figureDark\2.JPG,contrast,1.121459055377231,gamma,1.063269259767022,equalization,29.47133421958931,2,8_2_contrast1.1_gamma1.1_equalization29.0.jpg,8,2,1.1,1.1,0.0,0.0,29.0
3000,3220,3.508352733533448,9,pictures\transformed\roomBright_figureDark\B.JPG,gamma,0.640646328097973,contrast,0.9278367507731302,equalization,26.01485734666538,2,10_B_gamma0.64_contrast0.93_equalization26.0.jpg,10,B,0.93,0.64,0.0,0.0,26.0
3900,4116,3.616554617026461,12,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.9796625715286492,contrast,1.031562214247123,equalization,21.28639762188224,2,13_7_sharpness0.98_contrast1.0_equalization21.0.jpg,13,7,1.0,0.0,0.98,0.0,21.0
4500,4699,3.982379253410813,14,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.66482934197562,contrast,0.8939147251593951,equalization,30.53042076541835,0,15_8_gamma0.66_contrast0.89_equalization31.0.jpg,15,8,0.89,0.66,0.0,0.0,31.0
5100,5263,4.307186597458529,16,pictures\transformed\roomBright_figureDark\S.JPG,contrast,0.9263641930106096,sharpness,0.0321678928285943,equalization,29.91582428882691,2,17_S_contrast0.93_sharpness0.032_equalization30.0.jpg,17,S,0.93,0.0,0.032,0.0,30.0
6000,6209,3.6431757299316665,19,pictures\transformed\roomBright_figureDark\I.JPG,sharpness,0.302910566311217,contrast,0.8921812910980241,equalization,8.82291455543099,1,20_I_sharpness0.3_contrast0.89_equalization8.8.jpg,20,I,0.89,0.0,0.3,0.0,8.8
7500,7721,3.762170558172381,24,pictures\transformed\roomBright_figureDark\P.JPG,brightness,26.48910410764687,gamma,0.7737293349959635,contrast,1.115278651098859,1,25_P_brightness26.0_gamma0.77_contrast1.1.jpg,25,P,1.1,0.77,0.0,26.0,0.0
9600,9812,4.063267116319104,31,pictures\transformed\roomBright_figureDark\C.JPG,sharpness,0.2783759215219157,contrast,0.870809565063503,equalization,24.09160947139219,1,32_C_sharpness0.28_contrast0.87_equalization24.0.jpg,32,C,0.87,0.0,0.28,0.0,24.0
10500,10696,3.5495728307054675,34,pictures\transformed\roomBright_figureDark\3.JPG,brightness,11.64090064816606,gamma,0.9859601392048885,contrast,0.9109817599026528,0,35_3_brightness12.0_gamma0.99_contrast0.91.jpg,35,3,0.91,0.99,0.0,12.0,0.0
12300,12508,3.720603267360125,40,pictures\transformed\roomBright_figureDark\S.JPG,contrast,1.099142570385353,sharpness,0.30798483912659,equalization,31.96838262095079,2,41_S_contrast1.1_sharpness0.31_equalization32.0.jpg,41,S,1.1,0.0,0.31,0.0,32.0
