frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
300,257,2.8338020720790107,0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,1.025483661065681,contrast,1.153254874691925,sharpness,0.3382593485041104,2,1_8_gamma1.0_contrast1.2_sharpness0.34.jpg,1,8,1.2,1.0,0.34,0,0.0
600,772,2.841924072623899,1,pictures\transformed\roomBright_figureDark\B.JPG,contrast,1.159047048064889,sharpness,0.4257421128263794,equalization,18.09972760479785,1,2_B_contrast1.2_sharpness0.43_equalization18.0.jpg,2,B,1.2,0.0,0.43,0,18.0
2100,2267,2.85276118217805,6,pictures\transformed\roomBright_figureDark\Q.JPG,contrast,0.9336882260056318,sharpness,0.5982944009917116,equalization,9.374558083623556,2,7_Q_contrast0.93_sharpness0.6_equalization9.4.jpg,7,Q,0.93,0.0,0.6,0,9.4
4800,4973,2.6940212632260656,15,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.8108152721513697,contrast,0.7554095943218058,sharpness,0.6678599451305577,2,16_7_gamma0.81_contrast0.76_sharpness0.67.jpg,16,7,0.76,0.81,0.67,0,0.0
5400,5574,2.7044035165660443,17,pictures\transformed\roomBright_figureDark\S.JPG,gamma,1.067566080064051,contrast,1.101859648647738,sharpness,0.5825293756973581,1,18_S_gamma1.1_contrast1.1_sharpness0.58.jpg,18,S,1.1,1.1,0.58,0,0.0
6600,6785,2.6618310750107685,21,pictures\transformed\roomBright_figureDark\P.JPG,gamma,0.8074231518226807,contrast,0.808165045533865,sharpness,1.228361000404193,1,22_P_gamma0.81_contrast0.81_sharpness1.2.jpg,22,P,0.81,0.81,1.2,0,0.0
7500,7671,2.706469666435204,24,pictures\transformed\roomBright_figureDark\B.JPG,gamma,0.7200005988471982,contrast,0.740382815215767,sharpness,0.7540712658950519,1,25_B_gamma0.72_contrast0.74_sharpness0.75.jpg,25,B,0.74,0.72,0.75,0,0.0
10500,10749,3.010009818850874,34,pictures\transformed\roomBright_figureDark\9.JPG,gamma,0.9331773172666356,contrast,1.302871125287331,sharpness,0.4772371975304545,0,35_9_gamma0.93_contrast1.3_sharpness0.48.jpg,35,9,1.3,0.93,0.48,0,0.0
10800,10978,2.8441222189262394,35,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.8091172647722902,contrast,0.742187212725914,sharpness,1.037345741631217,0,36_1_gamma0.81_contrast0.74_sharpness1.0.jpg,36,1,0.74,0.81,1.0,0,0.0
11700,11883,2.8666679415027883,38,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.7358937703934085,contrast,0.7672214626278127,sharpness,0.7192078295602592,2,39_8_gamma0.74_contrast0.77_sharpness0.72.jpg,39,8,0.77,0.74,0.72,0,0.0
12900,13078,2.8527195331778654,42,pictures\transformed\roomBright_figureDark\C.JPG,gamma,0.7344440072147383,contrast,0.7103758874623173,sharpness,0.7469564924811015,1,43_C_gamma0.73_contrast0.71_sharpness0.75.jpg,43,C,0.71,0.73,0.75,0,0.0
13500,13687,2.856042495110072,44,pictures\transformed\roomBright_figureDark\C.JPG,gamma,0.8301192737830518,contrast,0.8130632727273763,sharpness,1.016755684637644,1,45_C_gamma0.83_contrast0.81_sharpness1.0.jpg,45,C,0.81,0.83,1.0,0,0.0
