trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S03_3_1,S03,3,1,6,unmatch,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,40.55,,,,,M_3_24_6_unmatch_5_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Mismatch,2026-01-08T16:51:48.168,1767858708.1682084,0.0,0,0,2026-01-08T16:51:50.068,1.9003114700317385,6,5,b,1,Correct Rejection,正解(不一致),0,4.11,3.988,4.049,673.314,1.485191158954069,4.090833333333333,3.986333333333333,4.038583333333333,585.231,1.708017558367559,1.708017558367559,1.0
S03_3_2,S03,3,2,C,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,,,,,,,M_3_4_C_filler_2_day_rain_empty_ORIG.jpg,Ignore,2026-01-08T16:51:52.013,1767858712.013519,3.845310688018799,231,461,,,C,2,,1,Correct Rejection,正解(スルー成功),461,3.547,3.239,3.393,785.498,1.2730777163022693,3.5444000000000004,3.2298,3.3871,790.7736,0.0,,
S03_3_3,S03,3,3,R,filler,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_48_R_filler_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-08T16:51:55.852,1767858715.8528817,7.684673309326172,461,922,,,R,7,,1,Correct Rejection,正解(スルー成功),922,3.524,3.192,3.358,765.855,1.3057301969694002,3.5176000000000003,3.228,3.3728000000000002,761.705,0.0,,
S03_3_4,S03,3,4,S,filler,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,,,,,,,M_3_15_S_filler_0_day_rain_empty_ORIG.jpg,Ignore,2026-01-08T16:51:59.698,1767858719.69895,11.530741691589355,692,1384,,,S,0,,1,Correct Rejection,正解(スルー成功),1384,3.168,2.975,3.0715000000000003,698.758,1.4311106277137435,3.2084,2.9352,3.0718,699.6658,0.0,,
S03_3_5,S03,3,5,7,match,7,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,brightness,40.55,,,,,M_3_20_7_match_7_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Match,2026-01-08T16:52:03.561,1767858723.5619838,15.393775463104248,924,1847,2026-01-08T16:52:05.207,1.6451711654663086,7,7,t,1,Hit,正解(一致),1847,3.463,2.985,3.224,896.271,1.115733968855402,3.4003,3.064,3.23215,904.7203,0.0,,
S03_3_6,S03,3,6,C,filler,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\6_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_3_40_C_filler_6_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T16:52:07.407,1767858727.4078772,19.23966884613037,1154,2309,,,C,6,,1,Correct Rejection,正解(スルー成功),2309,3.578,3.347,3.4625,773.405,1.2929836243623976,3.5775999999999994,3.3562,3.4669,788.996,0.0,1.519657004688327,2426.0
S03_3_7,S03,3,7,5,unmatch,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,,,,,,,M_3_42_5_unmatch_6_day_rain_busy_ORIG.jpg,Mismatch,2026-01-08T16:52:11.249,1767858731.249492,23.081283569335938,1385,2770,2026-01-08T16:52:13.062,1.8128738403320312,5,6,b,1,Correct Rejection,正解(不一致),2770,3.563,3.365,3.4640000000000004,726.716,1.3760533688538577,3.5558,3.3664,3.4611,731.5968,0.0,1.5228417418569151,2837.0
S03_3_8,S03,3,8,J,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_3_28_J_filler_3_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T16:52:15.094,1767858735.0941963,26.92598795890808,1616,3231,,,J,3,,1,Correct Rejection,正解(スルー成功),3231,3.454,3.08,3.2670000000000003,788.31,1.2685364894521192,3.4498000000000006,3.1368,3.2933000000000003,776.9564,0.0,,
S03_3_9,S03,3,9,Q,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,brightness,40.55,,,,,M_3_32_Q_filler_8_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T16:52:18.926,1767858738.9268064,30.75859808921814,1846,3691,,,Q,8,,1,Correct Rejection,正解(スルー成功),3691,3.42,3.116,3.268,818.675,1.221485937643143,3.3932,3.0374666666666665,3.2153333333333336,775.7433,0.0,1.5032821319110239,3764.0
S03_3_10,S03,3,10,C,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,brightness,45.47,,,,,M_3_6_C_filler_2_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T16:52:22.774,1767858742.77458,34.60637164115906,2076,4153,,,C,2,,1,Correct Rejection,正解(スルー成功),4153,3.311,3.072,3.1915,733.946,1.3624980584402666,3.2973999999999997,3.1281999999999996,3.2127999999999997,730.2764,0.0,1.5408987966244942,4265.0
