trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S101_8_1,S101,8,1,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_36_8_match_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T12:41:56.572,1767843716.572584,0.0,0,0,2026-01-08T12:41:57.994,1.4220795631408691,8,8,t,1,Hit,正解(一致),0,4.822,4.656,4.739,19562.033,0.05111943119613386,4.8535,4.602166666666666,4.727833333333333,,0.0,2.1884354959576884,99.0
S101_8_2,S101,8,2,A,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_8_15_A_filler_6_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T12:41:59.183,1767843719.1833792,2.610795259475708,157,313,,,A,6,,1,Correct Rejection,正解(スルー成功),313,3.13,2.886,3.008,10457.841,0.09562203135427283,3.1304000000000003,2.8952,3.0128000000000004,,0.0,,
S101_8_3,S101,8,3,C,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,,,,,,,M_8_34_C_filler_8_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T12:42:01.789,1767843721.789476,5.2168920040130615,313,626,,,C,8,,1,Correct Rejection,正解(スルー成功),626,3.224,3.199,3.2115,9968.242,0.10031859178378695,3.2135000000000007,3.2010000000000005,3.2072500000000006,,0.0,,
S101_8_4,S101,8,4,R,filler,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_44_R_filler_7_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T12:42:04.391,1767843724.3913412,7.81875729560852,469,938,,,R,7,,1,Correct Rejection,正解(スルー成功),938,2.682,2.586,2.634,10083.725,0.09916970167274494,2.6268000000000002,2.5758,2.6013,,0.0,,
S101_8_5,S101,8,5,9,unmatch,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_8_13_9_unmatch_7_night_rain_empty_ORIG.jpg,Mismatch,2026-01-08T12:42:06.992,1767843726.992966,10.420382022857666,625,1250,2026-01-08T12:42:08.080,1.0873558521270752,9,7,b,1,Correct Rejection,正解(不一致),1250,2.947,2.832,2.8895,9951.728,0.10048506148881883,2.9248000000000003,2.8456,2.8852,,0.0,2.0864201767997175,1316.0
S101_8_6,S101,8,6,D,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_8_D_filler_6_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T12:42:09.601,1767843729.6019044,13.029320478439333,782,1564,,,D,6,,1,Correct Rejection,正解(スルー成功),1564,3.206,3.154,3.1799999999999997,11210.516,0.08920196001682706,3.2028,3.148,3.1754,,0.0,,
S101_8_7,S101,8,7,7,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_8_38_7_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-08T12:42:12.191,1767843732.191007,15.618422985076904,937,1874,2026-01-08T12:42:13.401,1.2104408740997314,7,2,b,1,Correct Rejection,正解(不一致),1874,3.405,3.21,3.3075,9800.402,0.10203663074228995,3.354,3.2049,3.2794499999999998,,0.0,2.132818528370114,1936.0
S101_8_8,S101,8,8,A,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_8_2_A_filler_4_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T12:42:14.789,1767843734.7897496,18.21716570854187,1093,2186,,,A,4,,1,Correct Rejection,正解(スルー成功),2186,2.995,2.901,2.948,8808.889,0.1135216938254075,2.9818000000000002,2.8786,2.9302,,0.0,,
S101_8_9,S101,8,9,J,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_17_J_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T12:42:17.398,1767843737.3983133,20.825729370117188,1250,2499,,,J,3,,1,Correct Rejection,正解(スルー成功),2499,3.601,3.479,3.54,9701.449,0.10307738565651378,3.6003999999999996,3.4372,3.5187999999999997,,0.0,,
S101_8_10,S101,8,10,R,filler,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_4_R_filler_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T12:42:19.993,1767843739.9939077,23.421323537826535,1405,2811,,,R,1,,1,Correct Rejection,正解(スルー成功),2811,3.516,3.525,3.5205,10419.958,0.09596967665320723,3.5334000000000003,3.3932,3.4633000000000003,,0.0,,
