trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S112_9_1,S112,9,1,J,filler,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_9_23_J_filler_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-12T10:18:39.748,1768180719.7488558,0.0,0,0,,,J,8,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,0,4.874,5.743,5.3085,7351.49,0.13602684625837755,4.927333333333333,5.2684999999999995,5.097916666666666,,0.0,,
S112_9_2,S112,9,2,F,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,,,,,,,M_9_28_F_filler_6_night_rain_empty_ORIG.jpg,Ignore,2026-01-12T10:18:42.362,1768180722.3626423,2.613786458969116,157,314,,,F,6,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,314,3.264,3.43,3.347,8266.152,0.12097527362187388,3.2380000000000004,3.501,3.3695000000000004,4588.5535,0.0,,
S112_9_3,S112,9,3,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_9_42_8_match_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-12T10:18:44.975,1768180724.9757547,5.226898908615112,314,627,2026-01-12T10:18:46.190,1.2142996788024902,8,8,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_42_8_match_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,M_9_42_8_match_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,627,4.093,4.743,4.418,12880.109,0.07763909451387406,4.1272,4.735200000000001,4.4312000000000005,,0.0,7.340382062693484,825.0
S112_9_4,S112,9,4,G,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,,,,,,,M_9_41_G_filler_1_night_sun_empty_ORIG.jpg,Ignore,2026-01-12T10:18:47.583,1768180727.5833802,7.834524393081665,470,940,,,G,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,940,3.656,3.919,3.7875,3470.628,0.28813229190797746,3.6402,3.8629999999999995,3.7516,4516.1188,0.0,,
S112_9_5,S112,9,5,L,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_9_3_L_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-12T10:18:50.185,1768180730.1850276,10.436171770095823,626,1252,,,L,9,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,1252,3.712,4.083,3.8975,7133.332,0.1401869420910172,3.7090000000000005,4.076,3.8925,,0.0,,
S112_9_6,S112,9,6,R,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,,,,,,,M_9_7_R_filler_4_night_sun_empty_ORIG.jpg,Ignore,2026-01-12T10:18:52.791,1768180732.7914214,13.04256558418274,783,1565,,,R,4,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,1565,3.611,3.951,3.781,12453.411,0.08029928507137522,3.6802,3.9256,3.8029,,0.0,,
S112_9_7,S112,9,7,3,unmatch,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,,,,,,,M_9_13_3_unmatch_7_night_rain_busy_ORIG.jpg,Mismatch,2026-01-12T10:18:55.395,1768180735.3957305,15.64687442779541,939,1878,2026-01-12T10:18:56.503,1.10823655128479,3,7,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_13_3_unmatch_7_night_rain_busy_ORIG.jpg,M_9_13_3_unmatch_7_night_rain_busy_ORIG.jpg,1878,3.375,3.667,3.521,10051.308,0.09948953907292463,3.3897999999999997,3.6555999999999997,3.5226999999999995,5745.896014705882,0.0,5.348126911779534,2062.0
S112_9_8,S112,9,8,Q,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_9_8_Q_filler_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-12T10:18:58.011,1768180738.0110602,18.26220440864563,1096,2191,,,Q,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,2191,3.907,4.363,4.135,11448.522,0.08734751961868964,3.8914,4.3146,4.103,,0.0,,
S112_9_9,S112,9,9,9,match,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_9_29_9_match_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-12T10:19:00.625,1768180740.6256826,20.87682676315308,1253,2505,2026-01-12T10:19:01.701,1.0755128860473633,9,9,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_29_9_match_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,M_9_29_9_match_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,2505,3.494,3.857,3.6755000000000004,10333.868,0.09676918652338118,3.4804000000000004,3.857,3.6687000000000003,4690.7737648648645,0.0,4.666158432936282,2687.0
S112_9_10,S112,9,10,S,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,brightness,46.88,,,,,M_9_9_S_filler_3_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-12T10:19:03.226,1768180743.2260032,23.477147340774536,1409,2817,,,S,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,2817,3.461,3.713,3.5869999999999997,5366.804,0.18633063551417192,3.4509999999999996,3.7172000000000005,3.5841000000000003,5332.836604761904,0.0,2.162488618939121,2923.0
