trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S04_6_1,S04,6,1,D,filler,4,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\4_day_sun_busy.jpg,,,,,,,M_6_21_D_filler_4_day_sun_busy_ORIG.jpg,Ignore,2026-01-09T11:51:43.966,1767927103.9660342,0.0,0,0,,,D,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_2,S04,6,2,3,match,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,brightness,45.47,,,,,M_6_48_3_match_3_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-09T11:51:47.807,1767927107.807855,3.841820478439331,231,461,2026-01-09T11:51:49.468,1.6609776020050049,3,3,t,1,Hit,正解(一致),True,False,,461.0,910.0,0.0,529.0,546.0,1.6621921012018377,1.6621921012018377,679.0,341.0,460.0,529.0,679.0,3.7048533333333333,3.1946,3.4497266666666664,3.7363046357615897,3.400051655629139,3.5681781456953643,3.5574,3.1713999999999998,3.4062,545.0,529.0,547.0,-0.008489216602795703,-0.06431216916957962,-0.03433648241562073,0.039800046065701235,0.007262255055406032,0.012617424762154956,461.0,580.0,3.494448333333333,-0.021099127910613778,0.025253866967079604,409.0,528.0,3.511317083333333,-0.016193656400877443,0.02993665363697208,461.0,528.0,3.4895257352941176,-0.02253957023607319,0.023878813803072378
S04_6_3,S04,6,3,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,35.62,,,,,M_6_9_I_filler_1_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T11:51:51.671,1767927111.6716552,7.705621004104614,462,925,,,I,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_4,S04,6,4,P,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_6_43_P_filler_2_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:51:55.525,1767927115.525767,11.559733152389526,694,1387,,,P,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_5,S04,6,5,2,match,2,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_42_2_match_2_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-09T11:51:59.406,1767927119.4061213,15.440087080001833,926,1853,2026-01-09T11:52:01.215,1.8096885681152344,2,2,t,1,Hit,正解(一致),True,False,,1853.0,2302.0,0.0,1924.0,2093.0,9.648727499343448,9.648727499343448,2074.0,1733.0,1852.0,1924.0,2074.0,4.515981666666666,3.9753616666666662,4.2456716666666665,4.178360264900663,3.8535774834437073,4.015968874172185,3.88,3.5549999999999997,3.7175,2074.0,2074.0,2074.0,0.07476146421453655,0.030634743058503843,0.05410281588609605,0.1408291072926557,0.1057417417367057,0.1244023815627131,1853.0,1972.0,4.223368333333333,0.04910759441089428,0.11977840751911686,1804.0,1923.0,4.201997083333333,0.044271379887197856,0.11530162294853241,1853.0,1923.0,4.230819718309859,0.0507823207894812,0.1213286673710885
S04_6_6,S04,6,6,B,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_6_3_B_filler_2_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:52:03.264,1767927123.2641368,19.298102617263797,1158,2316,,,B,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_7,S04,6,7,P,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_34_P_filler_5_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:52:07.122,1767927127.1222022,23.15616798400879,1389,2779,,,P,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_8,S04,6,8,8,unmatch,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_6_11_8_unmatch_9_day_sun_busy_ORIG.jpg,Mismatch,2026-01-09T11:52:10.982,1767927130.9829,27.016865968704224,1621,3242,2026-01-09T11:52:12.823,1.8405990600585935,8,9,b,1,Correct Rejection,正解(不一致),True,False,,3242.0,3691.0,0.0,3335.0,3400.0,2.171157892126657,2.171157892126657,3485.0,3122.0,3241.0,3335.0,3485.0,4.1477075,3.6629699999999996,3.9053387499999994,4.138299337748344,3.6935611479028703,3.915930242825607,3.8982,3.4741999999999997,3.7047999999999996,3473.0,3459.0,3449.0,0.002268280068364559,-0.00835146012740226,-0.002712054831506659,0.06015551964549091,0.05153468360374229,0.05134989890441637,3242.0,3361.0,4.135292499999999,0.05304637028079448,0.10410206774974196,3215.0,3334.0,4.0584525,0.035117389491288245,0.08713974107125806,3242.0,3334.0,4.1210516129032255,0.0497740356940381,0.1010061634753422
S04_6_9,S04,6,9,J,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_6_32_J_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:52:14.830,1767927134.8300035,30.863969326019287,1852,3704,,,J,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_10,S04,6,10,T,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,brightness,40.55,,,,,M_6_10_T_filler_2_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-09T11:52:18.691,1767927138.6917715,34.72573757171631,2084,4167,,,T,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_11,S04,6,11,A,filler,2,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_6_23_A_filler_2_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-09T11:52:22.534,1767927142.5341012,38.56806707382202,2314,4628,,,A,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_12,S04,6,12,3,match,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_6_35_3_match_3_day_rain_busy_ORIG.jpg,Match,2026-01-09T11:52:26.395,1767927146.395288,42.42925381660461,2546,5092,2026-01-09T11:52:28.229,1.8341495990753172,3,3,t,1,Hit,正解(一致),True,False,,5092.0,5541.0,0.0,5199.0,5324.0,5.179383542088237,5.179383542088237,5349.0,4972.0,5091.0,5199.0,5349.0,4.458748333333333,3.578175595238095,4.018461964285714,4.237026931567329,3.763323178807947,4.000175055187638,4.0954,3.6217999999999995,3.8613999999999997,5261.0,5272.0,5272.0,0.04972727438066604,-0.05174357116969041,0.004550723451062016,0.08149110606152929,-0.012191800989297596,0.03908509416826893,5092.0,5211.0,3.9455099999999996,-0.01385500358322205,0.02131790313546282,5079.0,5198.0,3.932759583333333,-0.017142027226888068,0.01814491372311407,5092.0,5198.0,3.9381313084112146,-0.015754616064707638,0.01948419247660157
