trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S102_0_1,S102,0,1,E,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,brightness,35.62,,,,,M_0_25_E_filler_6_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T15:20:34.376,1767853234.3768067,0.0,0,0,,,E,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_0_2,S102,0,2,C,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_0_10_C_filler_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T15:20:36.972,1767853236.9723654,2.5955586433410645,156,311,,,C,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_0_3,S102,0,3,6,match,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_22_6_match_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T15:20:39.576,1767853239.576459,5.199652194976807,312,624,2026-01-08T15:20:41.193,1.6173932552337646,6,6,t,1,Hit,正解(一致),True,False,,624.0,923.0,0.0,713.0,800.0,4.291533982381802,4.291533982381802,863.0,504.0,623.0,713.0,863.0,7.0136191666666665,6.8817900000000005,6.947704583333333,6.764124503311258,6.261389624724062,6.51275706401766,6.3522,5.6568000000000005,6.0198,814.0,810.0,811.0,0.0355728843306992,0.09015101816183556,0.06260305315212404,0.09430497307441012,0.17800455986015265,0.13355556100632987,624.0,743.0,7.073879583333333,0.07932316527379488,0.14901011120076674,593.0,712.0,7.065699583333333,0.07825729254325518,0.1480249154380148,624.0,712.0,7.089255617977528,0.08132004049874218,0.15085584095254137
S102_0_4,S102,0,4,A,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,,,,,,,M_0_2_A_filler_1_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T15:20:42.197,1767853242.197206,7.820399284362793,469,938,,,A,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_0_5,S102,0,5,Q,filler,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_11_Q_filler_9_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T15:20:44.801,1767853244.801758,10.424951314926147,625,1251,,,Q,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_0_6,S102,0,6,5,unmatch,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,,,,,,,M_0_48_5_unmatch_4_night_sun_busy_ORIG.jpg,Mismatch,2026-01-08T15:20:47.395,1767853247.395136,13.018329381942747,781,1562,2026-01-08T15:20:48.837,1.4421355724334717,5,4,b,1,Correct Rejection,正解(不一致),True,False,,1562.0,1861.0,0.0,1660.0,1726.0,4.152360665736817,4.152360665736817,1810.0,1442.0,1561.0,1660.0,1810.0,6.722106527777778,6.309687777777778,6.515897152777778,7.115403311258277,6.637339735099338,6.8763715231788085,6.869200000000001,6.3362,6.6269,1747.0,1742.0,1742.0,-0.05850796649164622,-0.05192839469419144,-0.05532229283995952,-0.021882050160078288,-0.0042018279122457095,-0.017035696638474537,1562.0,1681.0,6.944037638888889,0.009744491494563362,0.045670495377619254,1540.0,1659.0,6.921343055555556,0.006497515296637426,0.042541317948286826,1562.0,1659.0,6.928204761904761,0.007481481928906169,0.043489586734143146
S102_0_7,S102,0,7,F,filler,2,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_0_7_F_filler_2_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T15:20:49.985,1767853249.985006,15.60819935798645,936,1873,,,F,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_0_8,S102,0,8,G,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,brightness,46.88,,,,,M_0_47_G_filler_6_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T15:20:52.572,1767853252.5721283,18.195321798324585,1092,2183,,,G,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S102_0_9,S102,0,9,3,unmatch,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_0_15_3_unmatch_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-08T15:20:55.161,1767853255.1611989,20.78439211845398,1247,2494,2026-01-08T15:20:56.656,1.4950346946716309,3,9,b,1,Correct Rejection,正解(不一致),True,False,,2494.0,2793.0,0.0,2592.0,2697.0,7.197331217038899,7.197331217038899,2742.0,2374.0,2493.0,2592.0,2742.0,7.392543055555556,6.991848333333333,7.192195694444445,6.569724692526017,5.867975496688742,6.21885009460738,4.096457142857142,3.7613,3.9868160714285708,2717.0,2715.0,2717.0,0.11130383101538842,0.1607404484571807,0.13533358117451083,0.4458663125703919,0.46204496712719506,0.44567469507147095,2494.0,2613.0,7.2220475,0.1389076166270881,0.4479659582094177,2472.0,2591.0,7.2807625,0.14585181227826335,0.4524177829686697,2494.0,2591.0,7.2732081632653065,0.14496464902285597,0.4518490352627705
S102_0_10,S102,0,10,A,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_43_A_filler_4_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T15:20:57.753,1767853257.753708,23.37690114974976,1403,2805,,,A,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
