trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S03_5_1,S03,5,1,B,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\9_day_sun_empty.jpg,,,,,,,M_5_15_B_filler_9_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T17:51:28.511,1767862288.511618,0.0,0,0,,,B,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S03_5_2,S03,5,2,F,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_5_42_F_filler_3_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T17:51:32.360,1767862292.3609889,3.8493709564208975,231,462,,,F,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S03_5_3,S03,5,3,9,match,9,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_5_39_9_match_9_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T17:51:36.237,1767862296.237748,7.726130247116089,464,927,2026-01-08T17:51:37.530,1.2928833961486816,9,9,t,1,Hit,正解(一致),True,False,,927.0,1376.0,0.0,984.0,1005.0,4.63981733681261,4.63981733681261,1134.0,807.0,926.0,984.0,1134.0,4.2079525,3.949394166666666,4.078673333333333,4.013527814569536,3.5855801324503305,3.799553973509934,3.7436,3.386,3.5902000000000003,1039.0,1008.0,1009.0,0.046204106493707826,0.09211894758111694,0.06843385998635147,0.11035117435379804,0.1426533141264492,0.11976279868780841
S03_5_4,S03,5,4,Q,filler,7,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,brightness,40.55,,,,,M_5_36_Q_filler_7_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T17:51:40.085,1767862300.0853343,11.573716640472412,694,1389,,,Q,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S03_5_5,S03,5,5,7,unmatch,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,,,,,,,M_5_14_7_unmatch_3_day_rain_empty_ORIG.jpg,Mismatch,2026-01-08T17:51:43.964,1767862303.9647708,15.453152894973757,927,1854,2026-01-08T17:51:45.389,1.4243230819702148,7,3,b,1,Correct Rejection,正解(不一致),True,False,,1854.0,2303.0,0.0,1920.0,1990.0,4.053809635718348,4.053809635718348,2070.0,1734.0,1853.0,1920.0,2070.0,3.7986075,3.5659383333333334,3.682272916666667,3.9320437086092714,3.496909933774835,3.7144768211920534,3.72,3.3609999999999998,3.5556,1925.0,1932.0,1925.0,-0.03512766417937923,0.019357709838457273,-0.008745659339813076,0.02069376738712803,0.057471081711545864,0.034400740937294734
S03_5_6,S03,5,6,P,filler,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_5_46_P_filler_0_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T17:51:47.818,1767862307.8187284,19.30711054801941,1158,2317,,,P,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S03_5_7,S03,5,7,U,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\9_day_sun_empty.jpg,,,,,,,M_5_25_U_filler_9_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T17:51:51.663,1767862311.6638625,23.152244567871094,1389,2778,,,U,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S03_5_8,S03,5,8,C,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,35.62,,,,,M_5_32_C_filler_5_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T17:51:55.526,1767862315.5263827,27.0147647857666,1621,3242,,,C,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S03_5_9,S03,5,9,3,match,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_5_26_3_match_3_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Match,2026-01-08T17:51:59.367,1767862319.3676982,30.8560802936554,1851,3703,2026-01-08T17:52:00.794,1.4266297817230225,3,3,t,1,Hit,正解(一致),True,False,,3703.0,4152.0,0.0,3760.0,3796.0,4.251032155527122,4.251032155527122,3910.0,3583.0,3702.0,3760.0,3910.0,3.9310383333333334,3.6427691666666666,3.78690375,3.654051655629139,3.327564459161148,3.4908080573951437,3.4396,3.1754000000000002,3.3436,3807.0,3780.0,3809.0,0.07046145425636767,0.08652887215303523,0.07818938957845346,0.12501489216377523,0.12830051680006252,0.1170623230125667
S03_5_10,S03,5,10,J,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,35.62,,,,,M_5_41_J_filler_6_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T17:52:03.230,1767862323.2301586,34.71854066848755,2083,4166,,,J,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
