trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S04_1_1,S04,1,1,J,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,brightness,35.62,,,,,M_1_29_J_filler_2_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T11:12:39.700,1767924759.7005358,0.0,0,0,,,J,2,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_2,S04,1,2,E,filler,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\0_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_1_5_E_filler_0_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-09T11:12:43.531,1767924763.5317228,3.831187009811402,230,460,,,E,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_3,S04,1,3,C,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,,,,,,,M_1_38_C_filler_3_day_sun_busy_ORIG.jpg,Ignore,2026-01-09T11:12:47.377,1767924767.377215,7.676679134368896,461,921,,,C,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_4,S04,1,4,R,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,brightness,40.55,,,,,M_1_1_R_filler_1_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-09T11:12:51.247,1767924771.2470832,11.546547412872314,693,1386,,,R,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_5,S04,1,5,5,unmatch,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\6_day_sun_empty.jpg,,,,,,,M_1_27_5_unmatch_6_day_sun_empty_ORIG.jpg,Mismatch,2026-01-09T11:12:55.076,1767924775.0769668,15.376430988311768,923,1845,2026-01-09T11:12:56.599,1.5230085849761963,5,6,b,1,Correct Rejection,正解(不一致),True,False,,1845.0,2294.0,0.0,1925.0,2050.0,2.423536191853395,2.423536191853395,1725.0,1844.0,2110.0,2119.0,4.3871875000000005,3.6853658333333335,4.036276666666667,4.84184,4.0887,4.465269999999999,4.836799999999999,4.061400000000001,4.4491,-0.10363188261272167,-0.10944209744894166,-0.10628442219438194,-0.1024830828406579,-0.10203442037301154,-0.10227825479422856
S04_1_6,S04,1,6,L,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_1_34_L_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:12:58.913,1767924778.9135232,19.212987422943115,1153,2306,,,L,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_7,S04,1,7,8,match,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_1_33_8_match_8_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Match,2026-01-09T11:13:02.780,1767924782.780135,23.079599142074585,1385,2770,2026-01-09T11:13:04.323,1.542959451675415,8,8,t,1,Hit,正解(一致),True,False,,2770.0,3219.0,0.0,2837.0,2942.0,3.1212673008703047,3.1212673008703047,2650.0,2769.0,3002.0,3011.0,4.909293055555556,4.321358333333333,4.615325694444445,4.35731,3.6836200000000003,4.020465,4.3352,3.6590000000000003,3.9993999999999996,0.11243636289565341,0.14757821132629972,0.128888129208409,0.11694006633111628,0.1532754940094067,0.13345227080850375
S04_1_8,S04,1,8,R,filler,5,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_1_36_R_filler_5_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:13:06.612,1767924786.6125998,26.91206407546997,1615,3229,,,R,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_9,S04,1,9,B,filler,4,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\4_day_sun_empty.jpg,,,,,,,M_1_4_B_filler_4_day_sun_empty_ORIG.jpg,Ignore,2026-01-09T11:13:10.455,1767924790.4551766,30.75464081764221,1845,3691,,,B,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_1_10,S04,1,10,4,unmatch,8,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\8_day_rain_busy.jpg,,,,,,,M_1_44_4_unmatch_8_day_rain_busy_ORIG.jpg,Mismatch,2026-01-09T11:13:14.296,1767924794.2969787,34.59644293785095,2076,4152,2026-01-09T11:13:16.053,1.756859302520752,4,8,b,1,Correct Rejection,正解(不一致),True,False,,4152.0,4601.0,0.0,4243.0,4369.0,3.2281898680733905,3.2281898680733905,4032.0,4151.0,4429.0,4438.0,4.348713333333333,3.69387,4.0212916666666665,4.36888,3.5940399999999997,3.9814599999999998,4.3538,3.5832,3.9684999999999997,-0.004637386997226715,0.027025856351198148,0.00990519215426222,-0.0011696946376475125,0.02996044798544611,0.01312803721855543
