trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S101_8_1,S101,8,1,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_36_8_match_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-08T12:41:56.572,1767843716.572584,0.0,0,0,2026-01-08T12:41:57.994,1.4220795631408691,8,8,t,1,Hit,正解(一致),True,True,baseline_window_before_emr_start,0.0,299.0,0.0,83.0,98.0,2.1884354959576884,2.1884354959576884,,,,,,,,,,,,,,,,,,,
S101_8_2,S101,8,2,A,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_8_15_A_filler_6_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T12:41:59.183,1767843719.1833792,2.610795259475708,157,313,,,A,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_3,S101,8,3,C,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,,,,,,,M_8_34_C_filler_8_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T12:42:01.789,1767843721.789476,5.2168920040130615,313,626,,,C,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_4,S101,8,4,R,filler,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_44_R_filler_7_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T12:42:04.391,1767843724.3913412,7.81875729560852,469,938,,,R,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_5,S101,8,5,9,unmatch,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_8_13_9_unmatch_7_night_rain_empty_ORIG.jpg,Mismatch,2026-01-08T12:42:06.992,1767843726.992966,10.420382022857666,625,1250,2026-01-08T12:42:08.080,1.0873558521270752,9,7,b,1,Correct Rejection,正解(不一致),True,False,,1250.0,1549.0,0.0,1296.0,1315.0,2.0864201767997175,2.0864201767997175,1130.0,1249.0,1375.0,1384.0,2.4934566666666664,2.4062383333333335,2.4498475,2.7398000000000007,2.63234,2.68607,2.721,2.6028,2.6619,-0.09879591517531924,-0.09396478459116338,-0.09642334880028237,-0.09125618117820389,-0.08168836143274792,-0.08655742857463575
S101_8_6,S101,8,6,D,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_8_D_filler_6_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T12:42:09.601,1767843729.6019044,13.029320478439333,782,1564,,,D,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_7,S101,8,7,7,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_8_38_7_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-08T12:42:12.191,1767843732.191007,15.618422985076904,937,1874,2026-01-08T12:42:13.401,1.2104408740997314,7,2,b,1,Correct Rejection,正解(不一致),True,False,,1874.0,2173.0,0.0,1926.0,1935.0,2.132818528370114,2.132818528370114,1754.0,1873.0,1995.0,2004.0,3.27503,3.0906216666666664,3.1828258333333332,2.64462,2.51926,2.58194,2.6355999999999997,2.5052,2.5704,0.1924898397877271,0.1848694949721549,0.18879004532397967,0.1952440130319418,0.1894187415368968,0.19241575423935392
S101_8_8,S101,8,8,A,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_8_2_A_filler_4_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T12:42:14.789,1767843734.7897496,18.21716570854187,1093,2186,,,A,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_9,S101,8,9,J,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_17_J_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T12:42:17.398,1767843737.3983133,20.825729370117188,1250,2499,,,J,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_10,S101,8,10,R,filler,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_4_R_filler_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T12:42:19.993,1767843739.9939077,23.421323537826535,1405,2811,,,R,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_11,S101,8,11,A,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_8_31_A_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T12:42:22.590,1767843742.590098,26.01751399040222,1561,3122,,,A,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_12,S101,8,12,9,match,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_8_48_9_match_9_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T12:42:25.186,1767843745.1861272,28.613543272018436,1717,3434,2026-01-08T12:42:26.293,1.107581377029419,9,9,t,1,Hit,正解(一致),True,False,,3434.0,3733.0,0.0,3459.0,3511.0,2.1825279007054283,2.1825279007054283,3314.0,3433.0,3571.0,3580.0,2.8169022222222226,2.71622,2.766561111111111,2.50836,2.40768,2.45802,2.4918,2.3671999999999995,2.4302,0.1095324572461791,0.1135916825588501,0.1115251385093005,0.11541125554785964,0.1284947463754778,0.12158094385127129
S101_8_13,S101,8,13,Q,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,,,,,,,M_8_11_Q_filler_5_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T12:42:27.790,1767843747.7904832,31.21789932250977,1873,3746,,,Q,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_14,S101,8,14,7,unmatch,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,,,,,,,M_8_26_7_unmatch_2_night_rain_busy_ORIG.jpg,Mismatch,2026-01-08T12:42:30.380,1767843750.3804088,33.8078248500824,2028,4057,2026-01-08T12:42:31.442,1.06168532371521,7,2,b,1,Correct Rejection,正解(不一致),True,False,,4057.0,4356.0,0.0,4101.0,4108.0,1.860983875754575,1.860983875754575,3937.0,4056.0,4168.0,4177.0,3.7168011111111112,3.585374166666667,3.651087638888889,2.7435400000000003,2.76136,2.75245,2.7366,2.7198,2.7393,0.2618545039177954,0.229826547624388,0.24612875059946937,0.26372170094893427,0.24141808537416715,0.2497304170891847
S101_8_15,S101,8,15,F,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,brightness,45.47,,,,,M_8_25_F_filler_1_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T12:42:32.972,1767843752.9720235,36.39943957328797,2184,4368,,,F,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S101_8_16,S101,8,16,2,unmatch,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_7_2_unmatch_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-08T12:42:35.573,1767843755.5737212,39.00113725662232,2340,4680,2026-01-08T12:42:36.618,1.045276403427124,2,4,b,1,Correct Rejection,正解(不一致),True,False,,4680.0,4979.0,0.0,4722.0,4729.0,2.1155345932200396,2.1155345932200396,4560.0,4679.0,4789.0,4798.0,3.1296783333333336,3.086532777777778,3.108105555555556,2.718606666666667,2.70378,2.711193333333333,2.712666666666667,2.678,2.6991,0.13134629916706023,0.12400735885051888,0.1277022981129986,0.13324425779646154,0.1323597729851133,0.13159319985914972
S101_8_17,S101,8,17,L,filler,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,,,,,,,M_8_6_L_filler_9_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T12:42:38.161,1767843758.1616058,41.58902192115784,2495,4991,,,L,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
