trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S01_0_1,S01,0,1,J,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\4_day_rain_busy.jpg,brightness,36.09,,,,,M_0_31_J_filler_4_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-08T10:22:25.508,1767835345.508916,0.0,0,0,,,J,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_0_2,S01,0,2,R,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_0_6_R_filler_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:22:30.613,1767835350.613919,5.105003118515015,306,613,,,R,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_0_3,S01,0,3,8,unmatch,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\2_day_sun_empty.jpg,,,,,,,M_0_29_8_unmatch_2_day_sun_empty_ORIG.jpg,Mismatch,2026-01-08T10:22:35.711,1767835355.711022,10.20210599899292,612,1224,2026-01-08T10:22:36.953,1.242171049118042,8,2,b,1,Correct Rejection,正解(不一致),True,False,,1224.0,1823.0,0.0,1268.0,1296.0,4.621288545187359,4.621288545187359,1258.0,1267.0,1356.0,1365.0,4.37462,3.8801399999999995,4.12738,3.9166799999999995,3.47992,3.6982999999999997,3.8671999999999995,3.4462,3.6657,0.10468109230058854,0.1031457627817552,0.10395941250866166,0.11599178900110195,0.11183617085981418,0.11185788563204732
S01_0_4,S01,0,4,L,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\6_day_sun_empty.jpg,brightness,40.55,,,,,M_0_16_L_filler_6_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T10:22:40.808,1767835360.8086164,15.299700498580933,918,1836,,,L,6,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_0_5,S01,0,5,7,match,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_0_17_7_match_7_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Match,2026-01-08T10:22:45.912,1767835365.9129355,20.404019832611084,1224,2448,2026-01-08T10:22:47.228,1.315800666809082,7,7,t,1,Hit,正解(一致),True,False,,2448.0,3047.0,0.0,2509.0,2543.0,4.129811859784783,4.129811859784783,2499.0,2508.0,2603.0,2612.0,4.217840000000001,3.8328700000000007,4.025355,3.61314,3.345160000000001,3.4791499999999997,3.582,3.3094,3.4457,0.14336722113688538,0.1272440755882667,0.13569113780026867,0.15075014699467043,0.13657389893213193,0.14400096389014141
S01_0_6,S01,0,6,S,filler,5,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,,,,,,,M_0_15_S_filler_5_day_sun_busy_ORIG.jpg,Ignore,2026-01-08T10:22:51.014,1767835371.014918,25.50600218772888,1530,3061,,,S,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_0_7,S01,0,7,C,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\8_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_0_30_C_filler_8_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T10:22:56.124,1767835376.1242049,30.61528897285461,1837,3674,,,C,8,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_0_8,S01,0,8,6,match,6,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,brightness,36.09,,,,,M_0_7_6_match_6_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Match,2026-01-08T10:23:01.219,1767835381.2193906,35.710474729537964,2143,4285,2026-01-08T10:23:02.574,1.3555607795715332,6,6,b,0,Miss,ミス(見逃し),True,False,,4285.0,4884.0,0.0,4360.0,4424.0,6.755594432352657,6.755594432352657,4350.0,4359.0,4484.0,4493.0,4.17461,3.7166200000000003,3.945615,4.18812,3.7163799999999996,3.9522500000000007,4.1566,3.6978,3.9279,-0.0032362304502694247,6.457480183626093e-05,-0.0016816136394454636,0.0043141754559109236,0.005063740710645769,0.0044897943666576505
S01_0_9,S01,0,9,F,filler,9,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_0_28_F_filler_9_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T10:23:06.327,1767835386.327289,40.81837344169617,2449,4898,,,F,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S01_0_10,S01,0,10,U,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,brightness,40.55,,,,,M_0_25_U_filler_5_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T10:23:11.430,1767835391.4307687,45.921852827072144,2755,5511,,,U,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
