trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min
S103_1_1,S103,1,1,P,filler,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_1_36_P_filler_0_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T18:43:18.950,1767865398.9507911,0.0,0,0,,,P,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_2,S103,1,2,7,match,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_1_46_7_match_7_night_rain_empty_ORIG.jpg,Match,2026-01-08T18:43:21.553,1767865401.5534253,2.602634191513061,156,312,2026-01-08T18:43:22.599,1.0462751388549805,7,7,t,1,Hit,正解(一致),True,False,,312.0,611.0,0.0,358.0,395.0,2.968342491609941,2.968342491609941,348.0,357.0,455.0,464.0,5.55822,5.47704,5.51763,5.5471200000000005,5.3300600000000005,5.43859,5.5068,5.3016,5.422499999999999,0.001997042218551962,0.026835663058878377,0.014324990983447604,0.009251163142157065,0.03203190044257483,0.01724109808015401
S103_1_3,S103,1,3,E,filler,5,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_25_E_filler_5_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T18:43:24.152,1767865404.1528735,5.202082395553589,312,624,,,E,5,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_4,S103,1,4,8,match,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,brightness,35.62,,,,,M_1_30_8_match_8_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-08T18:43:26.734,1767865406.7345586,7.783767461776733,467,934,2026-01-08T18:43:27.806,1.0723598003387451,8,8,t,1,Hit,正解(一致),True,False,,934.0,1233.0,0.0,988.0,1001.0,2.8840093720719637,2.8840093720719637,978.0,987.0,1061.0,1070.0,5.06968,4.9870399999999995,5.02836,4.63074,4.5032000000000005,4.5669699999999995,4.617800000000001,4.4734,4.5473,0.08658140158747686,0.09701947447784638,0.09175755116976521,0.08913383093212968,0.10299496294395066,0.09566936337095996
S103_1_5,S103,1,5,G,filler,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_1_11_G_filler_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-08T18:43:29.325,1767865409.3256335,10.374842405319214,622,1245,,,G,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_6,S103,1,6,T,filler,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_1_21_T_filler_0_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-08T18:43:31.909,1767865411.9097123,12.958921194076538,778,1555,,,T,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_7,S103,1,7,I,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,brightness,46.88,,,,,M_1_10_I_filler_0_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T18:43:34.500,1767865414.5000284,15.549237251281738,933,1866,,,I,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_8,S103,1,8,4,unmatch,7,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_1_2_4_unmatch_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-08T18:43:37.087,1767865417.0876265,18.13683533668518,1088,2176,2026-01-08T18:43:37.954,0.8667428493499756,4,7,b,1,Correct Rejection,正解(不一致),True,False,,2176.0,2475.0,0.0,2218.0,2248.0,2.8396579365955423,2.8396579365955423,2208.0,2217.0,2308.0,2317.0,5.614520000000001,5.45226,5.533390000000001,5.1038,4.73512,4.919460000000001,5.0648,4.688000000000001,4.8787,0.09096414297215094,0.13153077806267488,0.11095006858363494,0.09791041798764642,0.1401730658479235,0.11831625820699433
S103_1_9,S103,1,9,L,filler,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_1_13_L_filler_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:43:39.676,1767865419.6769297,20.72613835334778,1244,2487,,,L,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_10,S103,1,10,7,match,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_1_41_7_match_7_night_sun_empty_ORIG.jpg,Match,2026-01-08T18:43:42.281,1767865422.2812967,23.33050560951233,1400,2800,2026-01-08T18:43:43.326,1.0449304580688477,7,7,t,1,Hit,正解(一致),True,False,,2800.0,3099.0,0.0,2862.0,2908.0,2.477508760599596,2.477508760599596,2852.0,2861.0,2968.0,2977.0,6.1241200000000005,5.770809999999999,5.947465,6.085569999999999,5.70039,5.89298,6.0748,5.6822,5.8871,0.006294781944181635,0.012202793022123322,0.00916104592460831,0.008053401958159,0.015354863528689942,0.010149702436248048
S103_1_11,S103,1,11,S,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_1_15_S_filler_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:43:44.902,1767865424.9023788,25.951587677001957,1557,3114,,,S,3,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
S103_1_12,S103,1,12,G,filler,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,,,,,,,M_1_45_G_filler_0_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T18:43:47.506,1767865427.506424,28.555632829666138,1713,3427,,,G,0,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,
