番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,794770,597688939,,,,,,755.329,529.821,-5942.752,295.550,19100.083,,Both,672.793,612.713,-196.474,-49.742,450.000,-0.303288,0.007900,0.952866,-33.000,-54.000,-63.600,4.925,213.000,210.125,39.000,34.313,140.938,Auto,195.406,219.016,1590,10,320,240,1.000,,Both,780.866,632.297,-122.542,-63.139,450.000,-0.289805,-0.017027,0.956934,33.000,-54.000,-63.600,4.420,190.125,175.641,35.000,27.531,161.859,Auto,174.125,183.109,10,10,320,240,1.000
2,794771,597689689,,,,,,754.936,529.612,-5952.721,301.538,19095.395,,Both,671.830,612.984,-197.132,-49.927,450.000,-0.304397,0.007553,0.952515,-33.000,-54.000,-63.600,4.914,213.047,210.156,38.922,34.125,139.625,Auto,195.438,219.047,1590,10,320,240,0.000,,Both,780.489,632.411,-122.800,-63.217,450.000,-0.290245,-0.017170,0.956798,33.000,-54.000,-63.600,4.409,190.188,175.641,34.922,28.266,159.734,Auto,174.172,183.094,10,10,320,240,0.000
3,794772,597690439,,,,,,753.046,531.589,-6003.969,244.000,19083.955,,Both,671.671,613.237,-197.241,-50.101,450.000,-0.304581,0.007232,0.952459,-33.000,-54.000,-63.600,4.905,213.047,210.141,38.859,34.188,138.891,Auto,195.422,219.016,1590,10,320,240,1.000,,Both,777.513,631.758,-124.837,-62.770,450.000,-0.293717,-0.016320,0.955753,33.000,-54.000,-63.600,4.418,190.313,175.594,35.000,27.891,160.766,Auto,174.172,183.094,10,10,320,240,1.000
4,794773,597691189,,,,,,754.084,529.854,-5976.145,294.447,19091.246,,Both,671.681,612.430,-197.235,-49.548,450.000,-0.304568,0.008256,0.952455,-33.000,-54.000,-63.600,4.871,213.031,210.094,38.578,33.828,138.828,Auto,195.406,219.016,1590,10,320,240,0.000,,Both,779.699,633.594,-123.341,-64.026,450.000,-0.291158,-0.018672,0.956493,33.000,-54.000,-63.600,4.471,190.188,175.672,35.406,28.109,162.891,Auto,174.125,183.078,10,10,320,240,0.000
5,794774,597691939,,,,,,761.432,524.889,-5775.427,439.520,19132.827,,Both,676.408,610.468,-194.001,-48.206,450.000,-0.299105,0.010764,0.954160,-33.000,-54.000,-63.600,4.912,212.828,210.000,38.906,34.375,134.875,Auto,195.391,219.031,1590,10,320,240,1.000,,Both,785.135,615.119,-119.622,-51.387,450.000,-0.284847,0.004876,0.958561,33.000,-54.000,-63.600,4.120,189.844,174.797,32.625,25.766,165.422,Auto,174.125,183.094,10,10,320,240,1.000
6,794775,597692689,,,,,,759.139,525.325,-5839.652,426.637,19124.667,,Both,675.338,609.383,-194.732,-47.464,450.000,-0.300337,0.012137,0.953756,-33.000,-54.000,-63.600,4.979,212.891,209.984,39.438,34.531,134.063,Auto,195.422,219.063,1590,10,320,240,0.000,,Both,784.570,623.793,-120.009,-57.322,450.000,-0.285508,-0.006198,0.958356,33.000,-54.000,-63.600,4.072,189.906,175.219,32.250,26.313,162.875,Auto,174.125,183.094,10,10,320,240,0.000
7,794776,597693439,,,,,,758.352,527.015,-5857.818,377.198,19109.362,,Both,673.447,612.323,-196.026,-49.475,450.000,-0.302533,0.008397,0.953102,-33.000,-54.000,-63.600,4.933,212.984,210.172,39.078,34.234,138.734,Auto,195.438,219.094,1590,10,320,240,1.000,,Both,781.527,617.533,-122.090,-53.039,450.000,-0.289075,0.001791,0.957305,33.000,-54.000,-63.600,4.156,190.047,174.891,32.922,25.609,163.578,Auto,174.156,183.078,10,10,320,240,1.000
8,794777,597694189,,,,,,761.522,519.009,-5771.060,610.358,19126.981,,Both,671.289,608.863,-197.503,-47.108,450.000,-0.305004,0.012778,0.952265,-33.000,-54.000,-63.600,4.880,213.031,210.031,38.656,33.844,138.094,Auto,195.422,219.141,1590,10,320,240,0.000,,Both,788.413,620.204,-117.380,-54.866,450.000,-0.280998,-0.001619,0.959707,33.000,-54.000,-63.600,4.117,189.750,175.031,32.609,25.719,166.156,Auto,174.172,183.063,10,10,320,240,0.000
9,794778,597694939,,,,,,756.060,521.876,-5921.802,526.264,19100.919,,Both,669.860,607.307,-198.480,-46.044,450.000,-0.306638,0.014743,0.951712,-33.000,-54.000,-63.600,4.938,213.094,210.000,39.109,34.078,137.484,Auto,195.438,219.188,1590,10,320,240,1.000,,Both,784.765,634.793,-119.875,-64.846,450.000,-0.285226,-0.020236,0.958247,33.000,-54.000,-63.600,4.449,190.031,175.719,35.234,28.344,161.016,Auto,174.203,183.047,10,10,320,240,1.000
10,794779,597695689,,,,,,754.656,524.012,-5959.610,464.021,19091.426,,Both,669.699,608.327,-198.590,-46.741,450.000,-0.306829,0.013450,0.951670,-33.000,-54.000,-63.600,4.882,213.141,210.078,38.672,33.859,135.719,Auto,195.469,219.219,1590,10,320,240,0.000,,Both,781.888,632.666,-121.844,-63.391,450.000,-0.288610,-0.017504,0.957287,33.000,-54.000,-63.600,4.478,190.188,175.609,35.469,28.344,161.031,Auto,174.234,183.047,10,10,320,240,0.000
