番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,25574,20780876,,,,,,1303.009,554.853,9211.202,-398.869,17665.029,,Both,1303.255,638.415,234.815,-67.324,450.000,0.462240,-0.022997,0.886457,-33.000,-54.000,-63.600,4.453,172.469,188.109,35.281,31.453,48.547,Auto,183.219,198.516,1590,10,320,240,1.000,,Both,1417.272,650.590,312.812,-75.653,450.000,0.478085,-0.036996,0.877534,33.000,-54.000,-63.600,4.430,158.875,146.031,35.094,31.266,39.578,Auto,171.406,153.906,10,10,320,240,1.000
2,25575,20781626,,,,,,1300.137,536.694,9122.467,88.665,17642.543,,Both,1299.920,638.756,232.534,-67.557,450.000,0.459131,-0.023442,0.888059,-33.000,-54.000,-63.600,4.502,172.516,188.172,35.656,32.344,45.484,Auto,183.125,198.563,1590,10,320,240,0.000,,Both,1428.040,640.903,320.179,-69.026,450.000,0.487878,-0.025527,0.872538,33.000,-54.000,-63.600,4.302,158.484,145.672,34.078,28.844,38.500,Auto,171.453,153.953,10,10,320,240,0.000
3,25576,20782376,,,,,,1306.280,543.105,9271.669,-83.129,17613.025,,Both,1307.041,629.307,237.405,-61.093,450.000,0.465832,-0.012220,0.884789,-33.000,-54.000,-63.600,4.401,172.078,187.781,34.859,29.984,53.859,Auto,182.969,198.609,1590,10,320,240,1.000,,Both,1426.694,641.458,319.258,-69.406,450.000,0.486677,-0.026192,0.873189,33.000,-54.000,-63.600,4.263,158.531,145.734,33.766,29.188,39.609,Auto,171.453,154.000,10,10,320,240,1.000
4,25577,20783126,,,,,,1306.018,556.443,7445.810,-353.821,14155.227,,Both,1306.654,634.338,237.141,-64.535,450.000,0.465433,-0.018152,0.884897,-33.000,-54.000,-63.600,4.358,172.031,187.969,34.516,29.984,53.234,Auto,182.938,198.563,1590,10,320,240,0.000,,Both,1417.514,649.710,312.978,-75.051,450.000,0.478322,-0.035964,0.877448,33.000,-54.000,-63.600,4.432,158.891,146.109,35.109,31.344,38.813,Auto,171.438,154.031,10,10,320,240,0.000
5,25578,20783876,,,,,,1306.619,541.897,9273.752,-50.745,17599.760,,Both,1307.499,634.988,237.718,-64.979,450.000,0.466206,-0.018908,0.884474,-33.000,-54.000,-63.600,4.406,172.125,187.922,34.891,30.156,49.516,Auto,183.047,198.484,1590,10,320,240,1.000,,Both,1428.259,640.989,320.329,-69.085,450.000,0.488071,-0.025625,0.872428,33.000,-54.000,-63.600,4.256,158.391,145.734,33.703,29.109,41.813,Auto,171.359,154.016,10,10,320,240,1.000
6,25579,20784626,,,,,,1300.912,538.194,9138.943,48.423,17634.223,,Both,1300.837,642.004,233.161,-69.779,450.000,0.459941,-0.027268,0.887530,-33.000,-54.000,-63.600,4.499,172.500,188.109,35.625,32.219,45.719,Auto,183.156,198.375,1590,10,320,240,0.000,,Both,1428.036,641.929,320.176,-69.728,450.000,0.487859,-0.026719,0.872513,33.000,-54.000,-63.600,4.255,158.328,145.781,33.703,28.984,42.188,Auto,171.297,154.016,10,10,320,240,0.000
7,25580,20785376,,,,,,1300.352,553.258,9146.857,-356.294,17678.543,,Both,1300.199,643.691,232.725,-70.933,450.000,0.459321,-0.029270,0.887788,-33.000,-54.000,-63.600,4.492,172.500,188.141,35.578,32.297,45.297,Auto,183.125,198.328,1590,10,320,240,1.000,,Both,1417.471,651.496,312.949,-76.273,450.000,0.478246,-0.038049,0.877401,33.000,-54.000,-63.600,4.390,158.813,146.188,34.766,30.906,40.797,Auto,171.359,154.031,10,10,320,240,1.000
8,25581,20786126,,,,,,1306.813,546.418,9280.956,-171.740,17603.581,,Both,1307.664,633.990,237.831,-64.297,450.000,0.466368,-0.017731,0.884413,-33.000,-54.000,-63.600,4.336,172.047,187.703,34.344,29.813,51.797,Auto,182.984,198.328,1590,10,320,240,0.000,,Both,1427.596,645.578,319.874,-72.224,450.000,0.487410,-0.030963,0.872624,33.000,-54.000,-63.600,4.250,158.453,145.969,33.656,28.828,37.641,Auto,171.391,154.063,10,10,320,240,0.000
9,25582,20786876,,,,,,1302.840,547.387,9195.324,-198.121,17643.254,,Both,1303.071,633.230,234.689,-63.777,450.000,0.462126,-0.016879,0.886654,-33.000,-54.000,-63.600,4.404,172.141,187.625,34.891,30.938,49.703,Auto,182.875,198.281,1590,10,320,240,1.000,,Both,1424.874,648.329,318.013,-74.106,450.000,0.484942,-0.034210,0.873877,33.000,-54.000,-63.600,4.364,158.516,146.078,34.563,30.266,37.125,Auto,171.344,154.047,10,10,320,240,1.000
10,25583,20787626,,,,,,1305.313,552.780,9256.523,-342.570,17633.476,,Both,1305.896,636.050,236.621,-65.706,450.000,0.464714,-0.020176,0.885231,-33.000,-54.000,-63.600,4.370,172.016,187.672,34.609,30.500,49.938,Auto,182.875,198.188,1590,10,320,240,0.000,,Both,1422.104,649.953,316.117,-75.217,450.000,0.482437,-0.036154,0.875184,33.000,-54.000,-63.600,4.242,158.484,146.109,33.609,29.703,42.672,Auto,171.203,154.000,10,10,320,240,0.000
11,25584,20788376,,,,,,1303.981,547.642,9221.568,-204.868,17634.928,,Both,1304.401,637.026,235.599,-66.374,450.000,0.463320,-0.021344,0.885934,-33.000,-54.000,-63.600,4.365,172.109,187.672,34.578,31.078,48.984,Auto,182.906,198.141,1590,10,320,240,1.000,,Both,1423.798,646.629,317.276,-72.943,450.000,0.484014,-0.032253,0.874465,33.000,-54.000,-63.600,4.323,158.281,145.906,34.250,29.813,38.891,Auto,171.063,153.953,10,10,320,240,1.000
12,25585,20789126,,,,,,1303.841,550.435,9222.183,-279.866,17643.264,,Both,1304.220,635.771,235.475,-65.515,450.000,0.463166,-0.019866,0.886049,-33.000,-54.000,-63.600,4.374,172.031,187.563,34.641,30.813,48.063,Auto,182.828,198.094,1590,10,320,240,0.000,,Both,1422.250,648.761,316.218,-74.401,450.000,0.482592,-0.034763,0.875155,33.000,-54.000,-63.600,4.363,158.266,145.969,34.563,30.016,35.438,Auto,170.984,153.922,10,10,320,240,0.000
13,25586,20789876,,,,,,1303.574,548.096,9215.565,-217.144,17644.321,,Both,1303.930,637.483,235.277,-66.686,450.000,0.462878,-0.021889,0.886152,-33.000,-54.000,-63.600,4.380,171.859,187.641,34.703,30.594,46.297,Auto,182.641,198.094,1590,10,320,240,1.000,,Both,1421.828,645.928,315.929,-72.464,450.000,0.482268,-0.031473,0.875458,33.000,-54.000,-63.600,4.297,158.266,145.906,34.031,30.219,38.156,Auto,170.984,153.969,10,10,320,240,1.000
14,25587,20790626,,,,,,1307.825,551.139,9309.068,-298.123,17605.520,,Both,1308.790,635.634,238.601,-65.422,450.000,0.467388,-0.019655,0.883834,-33.000,-54.000,-63.600,4.410,171.500,187.563,34.922,30.891,45.516,Auto,182.484,198.109,1590,10,320,240,0.000,,Both,1424.895,647.912,318.027,-73.821,450.000,0.484969,-0.033725,0.873881,33.000,-54.000,-63.600,4.247,158.125,146.047,33.641,29.484,41.438,Auto,170.953,154.031,10,10,320,240,0.000
15,25588,20791376,,,,,,1306.786,566.547,4570.990,-349.916,8670.662,,Both,1307.465,639.243,237.695,-67.890,450.000,0.466125,-0.023919,0.884396,-33.000,-54.000,-63.600,4.342,171.547,187.719,34.391,30.469,49.422,Auto,182.484,198.094,1590,10,320,240,1.000,,Both,1416.454,659.793,312.253,-81.949,450.000,0.477130,-0.047753,0.877535,33.000,-54.000,-63.600,4.274,158.406,146.594,33.859,30.984,36.484,Auto,170.875,154.063,10,10,320,240,1.000
16,25589,20792126,,,,,,1303.775,563.373,5027.938,-341.843,9620.977,,Both,1304.090,638.073,235.386,-67.090,450.000,0.463019,-0.022583,0.886061,-33.000,-54.000,-63.600,4.414,171.703,187.641,34.969,31.391,45.297,Auto,182.500,198.078,1590,10,320,240,0.000,,Both,1414.620,657.521,310.998,-80.394,450.000,0.475530,-0.045148,0.878540,33.000,-54.000,-63.600,4.244,158.375,146.500,33.609,30.688,38.219,Auto,170.781,154.078,10,10,320,240,0.000
17,25590,20792876,,,,,,1305.252,561.859,6735.948,-426.476,12834.123,,Both,1305.780,639.842,236.543,-68.300,450.000,0.464561,-0.024647,0.885198,-33.000,-54.000,-63.600,4.318,171.625,187.719,34.203,30.281,46.797,Auto,182.484,198.078,1590,10,320,240,1.000,,Both,1418.131,657.280,313.400,-80.229,450.000,0.478707,-0.044779,0.876832,33.000,-54.000,-63.600,4.205,158.234,146.516,33.313,30.281,38.109,Auto,170.781,154.109,10,10,320,240,1.000
18,25591,20793626,,,,,,1306.631,547.856,9276.915,-210.259,17605.125,,Both,1307.522,642.813,237.734,-70.333,450.000,0.466126,-0.028120,0.884271,-33.000,-54.000,-63.600,4.367,171.516,187.906,34.594,30.734,47.781,Auto,182.469,198.109,1590,10,320,240,0.000,,Both,1425.304,645.557,318.307,-72.210,450.000,0.485375,-0.030980,0.873757,33.000,-54.000,-63.600,4.183,158.016,146.109,33.141,28.703,39.469,Auto,170.875,154.203,10,10,320,240,0.000
19,25592,20794376,,,,,,1308.052,546.319,9310.083,-169.026,17595.953,,Both,1309.170,640.135,238.862,-68.501,450.000,0.467683,-0.024946,0.883544,-33.000,-54.000,-63.600,4.351,171.375,187.859,34.469,30.703,47.375,Auto,182.391,198.203,1590,10,320,240,1.000,,Both,1425.533,642.578,318.463,-70.172,450.000,0.485628,-0.027511,0.873733,33.000,-54.000,-63.600,4.207,158.109,146.109,33.328,28.891,42.563,Auto,170.969,154.313,10,10,320,240,1.000
20,25593,20795126,,,,,,1310.067,548.094,9350.965,-216.211,17571.513,,Both,1311.479,639.615,240.441,-68.145,450.000,0.469809,-0.024303,0.882434,-33.000,-54.000,-63.600,4.334,171.250,187.859,34.328,30.078,48.156,Auto,182.359,198.219,1590,10,320,240,0.000,,Both,1428.647,645.275,320.594,-72.017,450.000,0.488346,-0.030594,0.872114,33.000,-54.000,-63.600,4.198,158.016,146.266,33.250,28.891,40.000,Auto,170.984,154.375,10,10,320,240,0.000
21,25594,20795876,,,,,,1308.801,553.035,9332.496,-348.755,17600.449,,Both,1309.927,639.037,239.379,-67.750,450.000,0.468392,-0.023644,0.883204,-33.000,-54.000,-63.600,4.366,171.359,187.813,34.578,30.641,48.922,Auto,182.422,198.188,1590,10,320,240,1.000,,Both,1423.609,648.119,317.147,-73.962,450.000,0.483819,-0.033990,0.874508,33.000,-54.000,-63.600,4.186,158.203,146.406,33.156,29.672,40.641,Auto,170.984,154.375,10,10,320,240,1.000
