番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,101884,78016053,,,,,,1311.310,567.062,4005.474,-308.549,7500.099,,Both,1312.408,631.455,241.077,-62.563,450.000,0.470747,-0.014707,0.882146,-33.000,-54.000,-63.600,3.895,150.484,140.344,30.859,26.625,44.547,Auto,163.359,155.281,1590,10,320,240,1.000,,Both,1406.474,647.519,305.426,-73.552,450.000,0.468321,-0.033611,0.882919,33.000,-54.000,-63.600,3.612,148.703,117.391,28.609,25.703,31.141,Auto,163.453,128.313,10,10,320,240,1.000
2,101885,78016803,,,,,,1311.735,565.535,4514.435,-327.733,8442.889,,Both,1312.984,635.575,241.471,-65.381,450.000,0.471234,-0.019540,0.881792,-33.000,-54.000,-63.600,3.859,150.359,140.500,30.563,26.297,46.734,Auto,163.266,155.219,1590,10,320,240,0.000,,Both,1408.058,646.709,306.509,-72.998,450.000,0.469788,-0.032631,0.882176,33.000,-54.000,-63.600,3.562,148.641,117.328,28.203,25.203,31.953,Auto,163.453,128.281,10,10,320,240,0.000
3,101886,78017553,,,,,,1312.469,562.465,4603.982,-293.445,8592.444,,Both,1313.820,632.915,242.043,-63.561,450.000,0.472024,-0.016409,0.881433,-33.000,-54.000,-63.600,3.843,150.219,140.328,30.438,26.297,48.453,Auto,163.156,155.188,1590,10,320,240,1.000,,Both,1409.364,643.607,307.402,-70.876,450.000,0.471035,-0.028968,0.881639,33.000,-54.000,-63.600,3.552,148.641,117.172,28.141,24.938,38.391,Auto,163.516,128.266,10,10,320,240,1.000
4,101887,78018303,,,,,,1312.514,560.591,4798.502,-280.291,8954.310,,Both,1313.901,632.307,242.098,-63.146,450.000,0.472103,-0.015695,0.881404,-33.000,-54.000,-63.600,3.863,150.188,140.297,30.594,26.391,43.781,Auto,163.125,155.188,1590,10,320,240,0.000,,Both,1410.547,642.414,308.212,-70.060,450.000,0.472134,-0.027551,0.881096,33.000,-54.000,-63.600,3.494,148.594,117.125,27.672,24.891,36.750,Auto,163.516,128.266,10,10,320,240,0.000
5,101888,78019053,,,,,,1312.677,562.593,4720.529,-302.406,8804.751,,Both,1314.067,633.710,242.211,-64.106,450.000,0.472242,-0.017341,0.881299,-33.000,-54.000,-63.600,3.831,150.234,140.391,30.344,26.531,44.578,Auto,163.188,155.219,1590,10,320,240,1.000,,Both,1408.346,642.701,306.706,-70.256,450.000,0.470119,-0.027922,0.882161,33.000,-54.000,-63.600,3.527,148.672,117.141,27.938,25.172,34.078,Auto,163.500,128.281,10,10,320,240,1.000
6,101889,78019803,,,,,,1310.237,561.441,4738.037,-290.051,8898.962,,Both,1311.339,633.090,240.345,-63.681,450.000,0.469754,-0.016638,0.882641,-33.000,-54.000,-63.600,3.891,150.438,140.359,30.828,26.688,41.641,Auto,163.266,155.203,1590,10,320,240,0.000,,Both,1408.539,643.880,306.838,-71.062,450.000,0.470277,-0.029302,0.882033,33.000,-54.000,-63.600,3.545,148.641,117.172,28.078,25.094,38.047,Auto,163.484,128.266,10,10,320,240,0.000
7,101890,78020553,,,,,,1312.483,561.131,4841.510,-290.243,9035.379,,Both,1313.868,633.045,242.075,-63.650,450.000,0.472066,-0.016561,0.881408,-33.000,-54.000,-63.600,3.832,150.375,140.344,30.359,26.547,45.281,Auto,163.313,155.188,1590,10,320,240,1.000,,Both,1409.417,642.117,307.439,-69.857,450.000,0.471107,-0.027220,0.881656,33.000,-54.000,-63.600,3.502,148.625,117.063,27.734,25.219,34.922,Auto,163.500,128.219,10,10,320,240,1.000
8,101891,78021303,,,,,,1312.661,563.636,4157.147,-278.622,7754.268,,Both,1314.014,633.055,242.175,-63.657,450.000,0.472200,-0.016572,0.881336,-33.000,-54.000,-63.600,3.859,150.344,140.313,30.563,26.516,44.766,Auto,163.297,155.156,1590,10,320,240,0.000,,Both,1407.576,643.257,306.180,-70.637,450.000,0.469405,-0.028587,0.882520,33.000,-54.000,-63.600,3.525,148.766,117.109,27.922,24.781,34.500,Auto,163.563,128.219,10,10,320,240,0.000
9,101892,78022053,,,,,,1314.013,566.313,2400.076,-178.391,4459.737,,Both,1315.420,631.138,243.137,-62.346,450.000,0.473497,-0.014311,0.880679,-33.000,-54.000,-63.600,3.834,150.313,140.203,30.375,25.938,47.625,Auto,163.313,155.141,1590,10,320,240,1.000,,Both,1406.356,643.981,305.345,-71.132,450.000,0.468274,-0.029457,0.883092,33.000,-54.000,-63.600,3.497,148.906,117.125,27.703,25.406,37.609,Auto,163.656,128.203,10,10,320,240,1.000
10,101893,78022803,,,,,,1311.254,565.383,2853.157,-206.178,5343.282,,Both,1312.405,633.027,241.074,-63.638,450.000,0.470730,-0.016554,0.882122,-33.000,-54.000,-63.600,3.901,150.484,140.297,30.906,26.609,44.750,Auto,163.375,155.156,1590,10,320,240,0.000,,Both,1404.110,643.669,303.808,-70.919,450.000,0.466213,-0.029126,0.884193,33.000,-54.000,-63.600,3.561,148.969,117.141,28.203,25.672,33.500,Auto,163.641,128.219,10,10,320,240,0.000
11,101894,78023553,,,,,,1310.927,563.200,4458.145,-294.733,8356.826,,Both,1312.078,632.921,240.851,-63.565,450.000,0.470432,-0.016432,0.882283,-33.000,-54.000,-63.600,3.863,150.563,140.344,30.594,26.625,46.828,Auto,163.438,155.203,1590,10,320,240,1.000,,Both,1409.158,645.748,307.262,-72.341,450.000,0.470812,-0.031485,0.881672,33.000,-54.000,-63.600,3.485,148.703,117.203,27.609,25.047,32.328,Auto,163.563,128.203,10,10,320,240,1.000
12,101895,78024303,,,,,,1311.776,564.115,4577.887,-313.828,8560.554,,Both,1313.042,634.625,241.510,-64.732,450.000,0.471297,-0.018425,0.881782,-33.000,-54.000,-63.600,3.796,150.531,140.438,30.063,26.453,45.453,Auto,163.438,155.219,1590,10,320,240,0.000,,Both,1408.783,645.662,307.005,-72.282,450.000,0.470470,-0.031390,0.881857,33.000,-54.000,-63.600,3.474,148.672,117.156,27.516,24.609,37.672,Auto,163.516,128.156,10,10,320,240,0.000
