番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,617272,464040420,,,,,,783.459,608.020,-121.100,-46.659,451.235,,Pupil,762.447,633.190,-135.143,-63.749,450.000,-0.194103,-0.018618,0.980804,-33.500,-54.000,-63.600,4.190,214.375,72.203,33.188,29.234,124.016,Auto,192.594,96.219,1590,10,320,240,1.000,,Pupil,782.992,606.297,-121.089,-45.353,450.000,-0.288180,0.016120,0.957440,33.500,-54.000,-63.600,3.628,190.938,91.000,28.734,23.641,138.547,Auto,167.953,112.813,10,10,320,240,1.000
2,617273,464041170,,,,,,783.997,608.031,-120.795,-46.691,451.474,,Pupil,763.536,632.568,-134.398,-63.324,450.000,-0.192737,-0.017811,0.981089,-33.500,-54.000,-63.600,4.227,214.250,72.141,33.484,29.203,118.969,Auto,192.516,96.266,1590,10,320,240,0.000,,Pupil,784.031,608.152,-120.378,-46.622,450.000,-0.286975,0.013760,0.957839,33.500,-54.000,-63.600,3.683,190.844,91.156,29.172,23.250,141.234,Auto,167.922,112.844,10,10,320,240,0.000
3,617274,464041920,,,,,,782.484,610.204,-121.733,-48.143,451.101,,Pupil,762.654,633.997,-135.001,-64.302,450.000,-0.193840,-0.019674,0.980836,-33.500,-54.000,-63.600,4.226,214.344,72.281,33.469,29.328,122.500,Auto,192.531,96.313,1590,10,320,240,1.000,,Pupil,781.976,608.313,-121.783,-46.732,450.000,-0.289378,0.013544,0.957119,33.500,-54.000,-63.600,3.780,191.047,91.188,29.938,24.750,139.250,Auto,167.891,112.859,10,10,320,240,1.000
4,617275,464042670,,,,,,783.357,610.117,-121.256,-48.131,451.552,,Pupil,764.048,633.320,-134.048,-63.839,450.000,-0.192089,-0.018796,0.981197,-33.500,-54.000,-63.600,4.149,214.172,72.219,32.859,28.797,123.078,Auto,192.500,96.328,1590,10,320,240,0.000,,Pupil,782.619,607.385,-121.344,-46.097,450.000,-0.288623,0.014731,0.957330,33.500,-54.000,-63.600,3.790,190.984,91.094,30.016,24.734,139.063,Auto,167.891,112.859,10,10,320,240,0.000
5,617276,464043420,,,,,,783.687,609.314,-120.716,-47.457,450.384,,Pupil,763.173,633.949,-134.646,-64.269,450.000,-0.193187,-0.019614,0.980966,-33.500,-54.000,-63.600,4.186,214.281,72.281,33.156,29.203,122.781,Auto,192.484,96.328,1590,10,320,240,1.000,,Pupil,783.519,608.694,-120.728,-46.992,450.000,-0.287576,0.013067,0.957669,33.500,-54.000,-63.600,3.652,190.891,91.203,28.922,23.234,138.438,Auto,167.891,112.875,10,10,320,240,1.000
6,617277,464044170,,,,,,783.082,609.456,-121.208,-47.585,450.675,,Pupil,763.127,633.397,-134.678,-63.891,450.000,-0.193248,-0.018893,0.980968,-33.500,-54.000,-63.600,4.227,214.297,72.219,33.484,29.297,120.438,Auto,192.484,96.344,1590,10,320,240,0.000,,Pupil,782.763,608.276,-121.245,-46.706,450.000,-0.288458,0.013596,0.957396,33.500,-54.000,-63.600,3.759,190.969,91.172,29.781,24.297,142.641,Auto,167.891,112.859,10,10,320,240,0.000
7,617278,464044920,,,,,,783.166,609.490,-121.213,-47.633,450.909,,Pupil,763.196,633.455,-134.630,-63.931,450.000,-0.193160,-0.018968,0.980984,-33.500,-54.000,-63.600,4.205,214.281,72.219,33.313,29.453,122.547,Auto,192.500,96.344,1590,10,320,240,1.000,,Pupil,782.750,607.950,-121.254,-46.483,450.000,-0.288472,0.014012,0.957386,33.500,-54.000,-63.600,3.638,190.969,91.156,28.813,23.359,138.750,Auto,167.891,112.891,10,10,320,240,1.000
8,617279,464045670,,,,,,782.915,610.344,-121.651,-48.324,451.896,,Pupil,762.961,634.311,-134.791,-64.517,450.000,-0.193452,-0.020086,0.980904,-33.500,-54.000,-63.600,4.221,214.313,72.313,33.438,29.469,123.203,Auto,192.516,96.328,1590,10,320,240,0.000,,Pupil,782.119,607.390,-121.685,-46.100,450.000,-0.289206,0.014722,0.957154,33.500,-54.000,-63.600,3.643,191.031,91.109,28.859,23.609,138.625,Auto,167.938,112.922,10,10,320,240,0.000
9,617280,464046420,,,,,,782.982,608.985,-121.410,-47.314,451.170,,Pupil,761.777,634.403,-135.601,-64.579,450.000,-0.194939,-0.020199,0.980607,-33.500,-54.000,-63.600,4.212,214.453,72.313,33.359,29.422,120.594,Auto,192.563,96.344,1590,10,320,240,1.000,,Pupil,783.008,609.081,-121.077,-47.257,450.000,-0.288175,0.012571,0.957495,33.500,-54.000,-63.600,3.642,190.938,91.250,28.844,23.531,138.375,Auto,167.969,112.969,10,10,320,240,1.000
10,617281,464047170,,,,,,781.699,610.173,-122.192,-48.090,450.808,,Pupil,761.410,634.478,-135.852,-64.631,450.000,-0.195400,-0.020296,0.980514,-33.500,-54.000,-63.600,4.217,214.500,72.328,33.406,29.484,124.750,Auto,192.625,96.359,1590,10,320,240,0.000,,Pupil,781.340,608.832,-122.218,-47.087,450.000,-0.290123,0.012880,0.956903,33.500,-54.000,-63.600,3.683,191.109,91.234,29.172,23.406,140.484,Auto,167.984,112.984,10,10,320,240,0.000
