番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,852998,640839126,,,,,,1033.931,592.598,1252.109,-890.820,11140.930,,Pupil,996.018,677.605,24.639,-94.133,450.000,0.112143,-0.077413,0.990672,-33.500,-54.000,-63.600,3.494,175.719,76.844,27.672,24.891,88.297,Auto,175.391,95.813,1590,10,320,240,1.000,,Pupil,1083.411,664.522,84.423,-85.184,450.000,0.098486,-0.060309,0.993309,33.500,-54.000,-63.600,3.188,151.844,100.938,25.250,23.453,100.875,Auto,150.750,117.578,10,10,320,240,1.000
2,852999,640839876,,,,,,1031.921,592.900,938.691,-690.442,8585.617,,Pupil,994.434,676.378,23.555,-93.294,450.000,0.110092,-0.075821,0.991025,-33.500,-54.000,-63.600,3.490,175.938,76.750,27.641,24.875,89.391,Auto,175.609,95.813,1590,10,320,240,0.000,,Pupil,1079.691,662.707,81.879,-83.942,450.000,0.093623,-0.057944,0.993920,33.500,-54.000,-63.600,3.301,152.250,100.797,26.156,23.891,103.484,Auto,150.969,117.469,10,10,320,240,0.000
3,853000,640840626,,,,,,1030.373,593.030,1142.226,-860.740,10677.048,,Pupil,992.386,677.164,22.155,-93.831,450.000,0.107413,-0.076874,0.991238,-33.500,-54.000,-63.600,3.475,176.203,76.828,27.531,25.000,88.484,Auto,175.828,95.813,1590,10,320,240,1.000,,Pupil,1078.515,663.657,81.074,-84.592,450.000,0.092072,-0.059205,0.993991,33.500,-54.000,-63.600,3.196,152.406,100.906,25.313,23.172,105.953,Auto,151.156,117.359,10,10,320,240,1.000
4,853001,640841376,,,,,,1028.749,593.418,1135.089,-881.964,10860.866,,Pupil,990.199,678.355,20.659,-94.646,450.000,0.104545,-0.078461,0.991420,-33.500,-54.000,-63.600,3.445,176.484,76.953,27.281,24.813,90.391,Auto,175.969,95.844,1590,10,320,240,0.000,,Pupil,1076.482,663.762,79.684,-84.664,450.000,0.089402,-0.059359,0.994225,33.500,-54.000,-63.600,3.439,152.641,100.922,27.234,24.922,98.516,Auto,151.375,117.359,10,10,320,240,0.000
5,853002,640842126,,,,,,1027.536,594.931,789.090,-641.809,7685.874,,Pupil,989.611,678.333,20.256,-94.632,450.000,0.103776,-0.078439,0.991503,-33.500,-54.000,-63.600,3.443,176.563,76.953,27.281,25.047,92.406,Auto,176.156,95.953,1590,10,320,240,1.000,,Pupil,1074.136,663.976,78.078,-84.810,450.000,0.086317,-0.059657,0.994480,33.500,-54.000,-63.600,3.295,152.922,100.953,26.094,23.563,99.563,Auto,151.531,117.391,10,10,320,240,1.000
6,853003,640842876,,,,,,1026.199,595.210,622.026,-518.764,6180.994,,Pupil,988.595,677.550,19.561,-94.096,450.000,0.102457,-0.077421,0.991720,-33.500,-54.000,-63.600,3.482,176.688,76.891,27.578,25.500,86.688,Auto,176.172,95.984,1590,10,320,240,0.000,,Pupil,1073.167,665.058,77.416,-85.550,450.000,0.085036,-0.061091,0.994503,33.500,-54.000,-63.600,3.257,153.031,101.063,25.797,23.828,102.953,Auto,151.578,117.313,10,10,320,240,0.000
7,853004,640843626,,,,,,1027.464,593.251,1089.520,-859.994,10623.521,,Pupil,988.680,678.286,19.619,-94.599,450.000,0.102560,-0.078387,0.991633,-33.500,-54.000,-63.600,3.558,176.672,76.953,28.172,25.969,85.422,Auto,176.047,96.016,1590,10,320,240,1.000,,Pupil,1073.985,662.005,77.976,-83.462,450.000,0.086132,-0.057056,0.994649,33.500,-54.000,-63.600,3.269,152.906,100.781,25.891,23.188,101.781,Auto,151.563,117.219,10,10,320,240,1.000
8,853005,640844376,,,,,,1029.211,596.096,612.007,-496.036,5816.833,,Pupil,992.031,678.508,21.912,-94.751,450.000,0.106935,-0.078641,0.991151,-33.500,-54.000,-63.600,3.512,176.250,76.953,27.813,25.781,90.047,Auto,175.938,96.031,1590,10,320,240,0.000,,Pupil,1074.258,662.699,78.162,-83.936,450.000,0.086487,-0.057971,0.994565,33.500,-54.000,-63.600,3.249,152.891,100.844,25.734,23.484,101.328,Auto,151.500,117.156,10,10,320,240,0.000
9,853006,640845126,,,,,,1030.475,595.745,910.599,-720.275,8499.526,,Pupil,992.753,679.695,22.406,-95.563,450.000,0.107863,-0.080191,0.990926,-33.500,-54.000,-63.600,3.506,176.156,77.063,27.781,25.547,85.672,Auto,175.797,96.266,1590,10,320,240,1.000,,Pupil,1076.471,663.506,79.676,-84.488,450.000,0.089389,-0.059020,0.994247,33.500,-54.000,-63.600,3.434,152.641,100.906,27.203,24.922,104.156,Auto,151.297,117.141,10,10,320,240,1.000
10,853007,640845876,,,,,,1031.913,596.266,1151.243,-900.752,10530.834,,Pupil,993.964,681.235,23.234,-96.617,450.000,0.109424,-0.082196,0.990591,-33.500,-54.000,-63.600,3.527,176.000,77.188,27.938,25.234,91.375,Auto,175.688,96.406,1590,10,320,240,0.000,,Pupil,1078.270,664.382,80.907,-85.088,450.000,0.091746,-0.060163,0.993963,33.500,-54.000,-63.600,3.184,152.438,100.969,25.219,22.844,99.344,Auto,151.141,117.141,10,10,320,240,0.000
