番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,645836,485841448,,,,,,1102.268,631.602,2550.726,-1642.335,11793.926,,Both,1075.805,722.773,79.220,-125.032,450.000,0.209737,-0.133951,0.968539,-32.000,-54.000,-63.600,5.036,152.688,162.953,39.891,37.797,171.000,Auto,156.469,169.344,1590,10,320,240,1.000,,Both,1160.484,711.577,137.148,-117.373,450.000,0.199118,-0.120009,0.972600,32.000,-54.000,-63.600,4.823,160.172,156.625,38.203,36.906,3.016,Auto,161.500,162.750,10,10,320,240,1.000
2,645837,485842198,,,,,,1103.174,633.168,2508.685,-1632.472,11526.146,,Both,1076.552,725.549,79.731,-126.931,450.000,0.210556,-0.137438,0.967872,-32.000,-54.000,-63.600,5.029,152.688,163.125,39.828,37.656,169.531,Auto,156.531,169.375,1590,10,320,240,0.000,,Both,1160.695,712.226,137.292,-117.817,450.000,0.199360,-0.120831,0.972448,32.000,-54.000,-63.600,4.912,160.141,156.719,38.906,37.734,176.484,Auto,161.484,162.813,10,10,320,240,0.000
3,645838,485842948,,,,,,1102.869,629.069,2569.982,-1602.209,11833.014,,Both,1075.839,722.124,79.244,-124.588,450.000,0.209803,-0.133127,0.968638,-32.000,-54.000,-63.600,5.124,153.000,163.047,40.578,38.156,175.078,Auto,156.797,169.469,1590,10,320,240,1.000,,Both,1161.573,709.299,137.893,-115.815,450.000,0.200542,-0.117066,0.972666,32.000,-54.000,-63.600,5.042,160.109,156.672,39.938,38.219,165.953,Auto,161.484,162.922,10,10,320,240,1.000
4,645839,485843698,,,,,,1102.963,635.219,2475.156,-1648.552,11388.926,,Both,1076.330,727.825,79.579,-128.488,450.000,0.210197,-0.140323,0.967537,-32.000,-54.000,-63.600,4.953,153.063,163.359,39.234,37.547,166.859,Auto,156.906,169.484,1590,10,320,240,0.000,,Both,1159.927,713.794,136.767,-118.889,450.000,0.198355,-0.122855,0.972400,32.000,-54.000,-63.600,4.896,160.203,156.938,38.781,37.656,173.250,Auto,161.500,162.953,10,10,320,240,0.000
5,645840,485844448,,,,,,1102.974,633.025,2476.826,-1611.536,11395.736,,Both,1075.630,727.789,79.101,-128.463,450.000,0.209336,-0.140304,0.967726,-32.000,-54.000,-63.600,4.994,153.063,163.281,39.547,37.859,168.656,Auto,156.859,169.406,1590,10,320,240,1.000,,Both,1160.366,711.924,137.067,-117.610,450.000,0.198960,-0.120455,0.972577,32.000,-54.000,-63.600,4.868,160.203,156.750,38.563,37.406,173.672,Auto,161.531,162.859,10,10,320,240,1.000
6,645841,485845198,,,,,,1103.292,633.916,2477.681,-1623.916,11374.332,,Both,1076.217,728.038,79.502,-128.634,450.000,0.210049,-0.140597,0.967529,-32.000,-54.000,-63.600,4.980,152.813,163.234,39.438,37.797,165.172,Auto,156.656,169.359,1590,10,320,240,0.000,,Both,1160.518,712.641,137.171,-118.101,450.000,0.199127,-0.121366,0.972429,32.000,-54.000,-63.600,4.862,160.203,156.719,38.516,37.313,1.156,Auto,161.547,162.781,10,10,320,240,0.000
7,645842,485845948,,,,,,1102.032,632.407,2527.863,-1644.643,11707.679,,Both,1075.263,724.629,78.849,-126.302,450.000,0.209001,-0.136321,0.968367,-32.000,-54.000,-63.600,5.015,152.750,163.094,39.719,37.766,173.469,Auto,156.516,169.391,1590,10,320,240,1.000,,Both,1160.071,712.277,136.865,-117.852,450.000,0.198582,-0.120916,0.972597,32.000,-54.000,-63.600,4.912,160.234,156.688,38.906,37.750,175.672,Auto,161.547,162.766,10,10,320,240,1.000
8,645843,485846698,,,,,,1103.789,634.956,2451.637,-1619.016,11215.876,,Both,1077.212,727.739,80.183,-128.429,450.000,0.211286,-0.140181,0.967320,-32.000,-54.000,-63.600,4.987,152.797,163.328,39.500,37.828,169.766,Auto,156.688,169.469,1590,10,320,240,0.000,,Both,1160.134,712.509,136.908,-118.011,450.000,0.198653,-0.121210,0.972546,32.000,-54.000,-63.600,5.007,160.234,156.781,39.656,38.203,173.078,Auto,161.547,162.859,10,10,320,240,0.000
9,645844,485847448,,,,,,1101.974,630.961,2477.153,-1587.076,11477.476,,Both,1074.935,723.877,78.625,-125.788,450.000,0.208624,-0.135382,0.968580,-32.000,-54.000,-63.600,5.088,153.172,163.297,40.297,37.969,171.156,Auto,156.906,169.625,1590,10,320,240,1.000,,Both,1159.281,709.657,136.325,-116.060,450.000,0.197678,-0.117593,0.973188,32.000,-54.000,-63.600,5.152,160.297,156.734,40.813,38.391,171.484,Auto,161.578,162.953,10,10,320,240,1.000
10,645845,485848198,,,,,,1099.476,628.813,2789.783,-1776.428,13157.512,,Both,1072.824,718.908,77.181,-122.388,450.000,0.206192,-0.129153,0.969951,-32.000,-54.000,-63.600,5.106,153.438,163.063,40.438,38.797,1.422,Auto,157.031,169.641,1590,10,320,240,0.000,,Both,1160.562,712.866,137.201,-118.255,450.000,0.199174,-0.121652,0.972384,32.000,-54.000,-63.600,5.028,160.297,156.953,39.828,38.438,175.469,Auto,161.641,163.000,10,10,320,240,0.000
11,645846,485848948,,,,,,1101.750,634.684,2458.307,-1642.067,11408.179,,Both,1075.477,725.380,78.996,-126.815,450.000,0.209237,-0.137264,0.968183,-32.000,-54.000,-63.600,5.039,153.250,163.359,39.906,37.875,167.250,Auto,157.031,169.609,1590,10,320,240,1.000,,Both,1158.303,712.828,135.656,-118.229,450.000,0.196363,-0.121674,0.972953,32.000,-54.000,-63.600,4.935,160.469,156.844,39.094,37.500,173.250,Auto,161.703,162.906,10,10,320,240,1.000
12,645847,485849698,,,,,,1100.167,630.092,2361.914,-1518.114,11084.600,,Both,1074.037,718.917,78.011,-122.394,450.000,0.207692,-0.129123,0.969635,-32.000,-54.000,-63.600,5.118,153.250,163.000,40.531,38.938,175.422,Auto,156.922,169.594,1590,10,320,240,0.000,,Both,1160.177,712.707,136.938,-118.146,450.000,0.198701,-0.121460,0.972505,32.000,-54.000,-63.600,4.985,160.422,156.750,39.484,37.719,177.813,Auto,161.750,162.828,10,10,320,240,0.000
13,645848,485850448,,,,,,1099.830,633.193,1405.833,-936.952,6613.575,,Both,1074.455,719.711,78.297,-122.937,450.000,0.208180,-0.130116,0.969397,-32.000,-54.000,-63.600,5.112,153.203,163.063,40.484,38.656,170.656,Auto,156.906,169.609,1590,10,320,240,1.000,,Both,1159.063,715.186,136.175,-119.842,450.000,0.197235,-0.124658,0.972398,32.000,-54.000,-63.600,4.791,160.516,156.891,37.953,36.844,1.453,Auto,161.781,162.828,10,10,320,240,1.000
