番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,693400,521514655,,,,,,1246.931,662.073,662.276,-281.761,1518.326,,Both,1242.809,725.772,193.465,-127.084,450.000,0.398594,-0.129203,0.907981,-32.000,-54.000,-63.600,4.417,130.797,159.344,34.984,28.688,24.500,Auto,144.344,167.422,1590,10,320,240,1.000,,Both,1307.379,728.653,237.636,-129.054,450.000,0.368322,-0.134433,0.919928,32.000,-54.000,-63.600,4.175,143.797,162.781,33.063,31.203,37.438,Auto,153.453,168.688,10,10,320,240,1.000
2,693401,521515405,,,,,,1244.590,675.545,508.929,-242.393,1176.363,,Both,1241.307,724.667,192.437,-126.328,450.000,0.397133,-0.127981,0.908794,-32.000,-54.000,-63.600,4.408,130.844,159.359,34.922,28.875,26.203,Auto,144.313,167.484,1590,10,320,240,0.000,,Both,1304.085,742.628,235.383,-138.614,450.000,0.363934,-0.151409,0.919036,32.000,-54.000,-63.600,4.429,144.000,163.453,35.078,32.922,7.188,Auto,153.406,168.672,10,10,320,240,0.000
3,693402,521516155,,,,,,1245.953,676.696,465.759,-222.650,1071.445,,Both,1243.048,721.558,193.628,-124.201,450.000,0.399095,-0.124172,0.908463,-32.000,-54.000,-63.600,4.404,130.750,159.266,34.891,28.609,25.984,Auto,144.328,167.547,1590,10,320,240,1.000,,Both,1303.291,741.311,234.840,-137.713,450.000,0.363178,-0.149886,0.919584,32.000,-54.000,-63.600,4.357,144.031,163.375,34.516,32.719,17.219,Auto,153.422,168.672,10,10,320,240,1.000
4,693403,521516905,,,,,,1246.717,655.657,791.679,-319.351,1816.351,,Both,1242.194,724.551,193.044,-126.249,450.000,0.398044,-0.127788,0.908422,-32.000,-54.000,-63.600,4.442,130.828,159.406,35.188,28.641,25.016,Auto,144.344,167.547,1590,10,320,240,0.000,,Both,1310.602,725.385,239.841,-126.819,450.000,0.371925,-0.130307,0.919071,32.000,-54.000,-63.600,4.219,143.547,162.578,33.422,31.000,36.891,Auto,153.375,168.641,10,10,320,240,0.000
5,693404,521517655,,,,,,1244.930,655.472,759.358,-307.740,1753.121,,Both,1240.364,722.312,191.792,-124.716,450.000,0.396314,-0.125232,0.909534,-32.000,-54.000,-63.600,4.437,130.922,159.328,35.141,28.953,25.391,Auto,144.359,167.563,1590,10,320,240,1.000,,Both,1309.071,725.662,238.794,-127.008,450.000,0.370292,-0.130731,0.919670,32.000,-54.000,-63.600,4.235,143.656,162.563,33.547,31.078,41.750,Auto,153.406,168.609,10,10,320,240,1.000
6,693405,521518405,,,,,,1241.874,670.751,551.353,-255.752,1286.702,,Both,1238.195,722.391,190.309,-124.771,450.000,0.394091,-0.125457,0.910468,-32.000,-54.000,-63.600,4.452,131.063,159.328,35.266,29.688,26.578,Auto,144.375,167.547,1590,10,320,240,0.000,,Both,1303.978,740.599,235.309,-137.226,450.000,0.363955,-0.148988,0.919423,32.000,-54.000,-63.600,4.415,143.984,163.250,34.969,32.875,13.156,Auto,153.406,168.578,10,10,320,240,0.000
7,693406,521519155,,,,,,1249.104,678.057,453.821,-216.715,1032.604,,Both,1246.403,722.993,195.924,-125.183,450.000,0.402412,-0.125677,0.906791,-32.000,-54.000,-63.600,4.418,130.672,159.313,34.984,27.906,25.328,Auto,144.422,167.563,1590,10,320,240,1.000,,Both,1303.973,739.695,235.307,-136.608,450.000,0.364011,-0.147906,0.919576,32.000,-54.000,-63.600,4.384,143.984,163.188,34.719,32.688,18.344,Auto,153.406,168.563,10,10,320,240,1.000
8,693407,521519905,,,,,,1240.427,669.587,586.671,-271.105,1376.189,,Both,1236.475,723.384,189.132,-125.450,450.000,0.392268,-0.126745,0.911077,-32.000,-54.000,-63.600,4.447,131.297,159.406,35.219,30.031,28.141,Auto,144.516,167.563,1590,10,320,240,0.000,,Both,1304.152,741.307,235.429,-137.711,450.000,0.364094,-0.149825,0.919232,32.000,-54.000,-63.600,4.307,144.031,163.313,34.109,32.313,14.391,Auto,153.453,168.594,10,10,320,240,0.000
9,693408,521520655,,,,,,1248.332,658.860,701.965,-289.373,1601.497,,Both,1244.200,724.497,194.416,-126.212,450.000,0.400086,-0.127601,0.907551,-32.000,-54.000,-63.600,4.377,131.000,159.422,34.672,28.234,24.172,Auto,144.625,167.563,1590,10,320,240,1.000,,Both,1309.548,725.817,239.120,-127.114,450.000,0.370787,-0.130889,0.919448,32.000,-54.000,-63.600,4.211,143.750,162.609,33.359,30.875,37.828,Auto,153.516,168.656,10,10,320,240,1.000
10,693409,521521405,,,,,,1248.999,667.529,558.160,-246.304,1270.474,,Both,1245.483,724.987,195.295,-126.547,450.000,0.401358,-0.128103,0.906918,-32.000,-54.000,-63.600,4.433,131.000,159.422,35.109,28.266,23.484,Auto,144.688,167.563,1590,10,320,240,0.000,,Both,1305.400,729.941,236.283,-129.935,450.000,0.366146,-0.136103,0.920551,32.000,-54.000,-63.600,4.246,144.031,162.875,33.641,31.766,30.781,Auto,153.578,168.703,10,10,320,240,0.000
