trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S02_1_1,S02,1,1,7,match,7,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,,,,,,,M_1_37_7_match_7_day_sun_empty_MODEL.jpg,Match,2026-01-06T16:18:36.198,0.0,0,0,,,7,7,None,0,Omission,無反応(不正解)
S02_1_2,S02,1,2,U,filler,2,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,,,,,,,M_1_4_U_filler_2_day_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:18:38.700,2.5018041133880615,150,300,2026-01-06 16:18:40.075300,1.3746514320373535,U,2,t,0,False Alarm,お手つき(スルー失敗)
S02_1_3,S02,1,3,G,filler,7,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,,,,,,,M_1_1_G_filler_7_day_sun_busy_ORIG.jpg,Ignore,2026-01-06T16:18:41.201,5.00245475769043,300,600,,,G,7,None,1,Correct Rejection,正解(スルー成功)
S02_1_4,S02,1,4,A,filler,3,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_1_8_A_filler_3_day_sun_empty_MODEL.jpg,Ignore,2026-01-06T16:18:43.732,7.533597469329834,452,904,,,A,3,None,1,Correct Rejection,正解(スルー成功)
S02_1_5,S02,1,5,F,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,,,,,,,M_1_27_F_filler_5_day_sun_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:18:46.207,10.008637189865112,601,1201,,,F,5,None,1,Correct Rejection,正解(スルー成功)
S02_1_6,S02,1,6,Q,filler,3,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,,,,,,,M_1_41_Q_filler_3_day_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:18:48.704,12.506027460098267,750,1501,,,Q,3,None,1,Correct Rejection,正解(スルー成功)
S02_1_7,S02,1,7,4,unmatch,5,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\5_day_rain_busy.jpg,,,,,,,M_1_30_4_unmatch_5_day_rain_busy_ORIG.jpg,Mismatch,2026-01-06T16:18:51.212,15.01335072517395,901,1802,,,4,5,None,0,Omission,無反応(不正解)
S02_1_8,S02,1,8,D,filler,9,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\9_day_sun_empty.jpg,,,,,,,M_1_29_D_filler_9_day_sun_empty_MODEL.jpg,Ignore,2026-01-06T16:18:53.720,17.521848917007446,1051,2103,2026-01-06 16:18:54.826682,1.1059885025024414,D,9,b,0,False Alarm,お手つき(スルー失敗)
S02_1_9,S02,1,9,6,match,6,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,,,,,,,M_1_23_6_match_6_day_rain_busy_MODEL.jpg,Match,2026-01-06T16:18:56.206,20.00771689414978,1200,2401,,,6,6,None,0,Omission,無反応(不正解)
S02_1_10,S02,1,10,J,filler,7,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,,,,,,,M_1_16_J_filler_7_day_sun_busy_ORIG.jpg,Ignore,2026-01-06T16:18:58.713,22.515050888061523,1351,2702,2026-01-06 16:18:59.875399,1.161503791809082,J,7,t,0,False Alarm,お手つき(スルー失敗)
S02_1_11,S02,1,11,E,filler,4,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\4_day_rain_busy.jpg,,,,,,,M_1_20_E_filler_4_day_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:19:01.212,25.013288021087646,1501,3002,,,E,4,None,1,Correct Rejection,正解(スルー成功)
S02_1_12,S02,1,12,1,unmatch,2,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,,,,,,,M_1_46_1_unmatch_2_day_sun_busy_MODEL.jpg,Mismatch,2026-01-06T16:19:03.723,27.52452778816223,1651,3303,,,1,2,None,0,Omission,無反応(不正解)
S02_1_13,S02,1,13,T,filler,9,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_1_6_T_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:19:06.199,30.000978231430054,1800,3600,2026-01-06 16:19:07.404813,1.2049906253814697,T,9,b,0,False Alarm,お手つき(スルー失敗)
