trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S01_5_1,S01,5,1,8,match,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_5_14_8_match_8_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-05T18:50:21.240,0.0,0,0,,,8,8,None,0,Omission,無反応(不正解)
S01_5_2,S01,5,2,L,filler,8,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,brightness,43.12,,,,,M_5_48_L_filler_8_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-05T18:50:23.758,2.5178563594818115,151,302,2026-01-05 18:50:24.890106,1.1320877075195312,L,8,b,0,False Alarm,お手つき(スルー失敗)
S01_5_3,S01,5,3,C,filler,3,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,,,,,,,M_5_38_C_filler_3_night_rain_empty_ORIG.jpg,Ignore,2026-01-05T18:50:26.242,5.002383232116699,300,600,,,C,3,None,1,Correct Rejection,正解(スルー成功)
S01_5_4,S01,5,4,0,unmatch,5,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_5_12_0_unmatch_5_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-05T18:50:28.765,7.525399923324585,452,903,,,0,5,None,0,Omission,無反応(不正解)
S01_5_5,S01,5,5,J,filler,9,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_5_19_J_filler_9_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-05T18:50:31.251,10.011222124099731,601,1201,2026-01-05 18:50:32.495053,1.2436683177947998,J,9,b,0,False Alarm,お手つき(スルー失敗)
S01_5_6,S01,5,6,7,unmatch,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_5_18_7_unmatch_6_night_sun_empty_ORIG.jpg,Mismatch,2026-01-05T18:50:33.732,12.492062091827393,750,1499,,,7,6,None,0,Omission,無反応(不正解)
S01_5_7,S01,5,7,R,filler,8,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,,,,,,,M_5_17_R_filler_8_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:50:36.284,15.044416904449463,903,1805,2026-01-05 18:50:37.260921,0.9763422012329102,R,8,b,0,False Alarm,お手つき(スルー失敗)
S01_5_8,S01,5,8,0,match,0,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_5_32_0_match_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-05T18:50:38.745,17.50524067878723,1050,2101,,,0,0,None,0,Omission,無反応(不正解)
S01_5_9,S01,5,9,Q,filler,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_5_2_Q_filler_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:50:41.238,19.998779296875,1200,2400,2026-01-05 18:50:42.222342,0.9834005832672119,Q,3,t,0,False Alarm,お手つき(スルー失敗)
S01_5_10,S01,5,10,B,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,brightness,46.88,,,,,M_5_15_B_filler_7_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:50:43.754,22.51423978805542,1351,2702,,,B,7,None,1,Correct Rejection,正解(スルー成功)
