番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
1,838826,630731430,,,,,,1126.856,563.341,4915.072,-687.563,19377.270,,Both,1093.747,673.763,91.494,-91.505,450.000,0.234982,-0.070791,0.969418,-33.000,-54.000,-63.600,4.346,157.969,151.813,34.422,33.250,34.734,Auto,162.344,160.531,1590,10,320,240,1.000,,Both,1199.798,646.861,164.042,-73.102,450.000,0.247064,-0.036014,0.968330,33.000,-54.000,-63.600,4.250,93.031,106.672,33.672,31.656,86.766,Auto,102.016,116.500,10,10,320,240,1.000
2,838827,630732180,,,,,,1073.414,590.023,2578.125,-1137.127,14953.451,,Both,1037.075,687.054,52.726,-100.597,450.000,0.163979,-0.089132,0.982429,-33.000,-54.000,-63.600,4.482,163.594,153.547,35.500,33.984,3.750,Auto,164.750,161.469,1590,10,320,240,0.000,,Both,1134.506,671.780,119.377,-90.149,450.000,0.165452,-0.069242,0.983784,33.000,-54.000,-63.600,4.299,99.531,108.922,34.047,33.266,152.016,Auto,105.047,117.469,10,10,320,240,0.000
3,838828,630732930,,,,,,1038.832,605.516,2366.592,-1966.825,19748.019,,Both,998.366,701.720,26.246,-110.630,450.000,0.113912,-0.108883,0.987506,-33.000,-54.000,-63.600,4.492,167.750,155.391,35.578,33.563,15.109,Auto,166.641,162.438,1590,10,320,240,1.000,,Pupil,1100.462,697.053,96.088,-107.437,450.000,0.121273,-0.102722,0.987290,33.000,-54.000,-63.600,4.331,104.359,111.234,34.297,32.719,174.859,Auto,,,10,10,320,240,1.000
4,838829,630733680,,,,,,1018.264,617.632,1750.536,-2332.443,19763.944,,Both,973.076,719.191,8.945,-122.581,450.000,0.080686,-0.131925,0.987970,-33.000,-54.000,-63.600,4.555,170.297,157.438,36.078,34.906,30.484,Auto,167.688,163.438,1590,10,320,240,0.000,,Both,1077.121,711.335,80.120,-117.207,450.000,0.090683,-0.121642,0.988423,33.000,-54.000,-63.600,4.240,106.672,112.875,33.578,32.766,179.125,Auto,109.031,119.313,10,10,320,240,0.000
5,838830,630734430,,,,,,1018.716,631.777,1386.239,-2166.803,15530.572,,Both,970.465,742.807,7.159,-138.737,450.000,0.076919,-0.162304,0.983738,-33.000,-54.000,-63.600,4.506,170.906,159.234,35.688,35.000,140.078,Auto,168.125,163.828,1590,10,320,240,1.000,,Both,1072.846,719.771,77.196,-122.979,450.000,0.084977,-0.132628,0.987517,33.000,-54.000,-63.600,4.420,107.313,113.578,35.016,33.766,168.719,Auto,109.438,119.563,10,10,320,240,1.000
6,838831,630735180,,,,,,1023.104,635.823,1007.775,-1530.290,10505.321,,Both,975.763,747.167,10.783,-141.720,450.000,0.083735,-0.167765,0.982264,-33.000,-54.000,-63.600,4.567,170.703,159.656,36.172,34.250,146.781,Auto,168.234,163.984,1590,10,320,240,0.000,,Both,1071.983,714.907,76.606,-119.651,450.000,0.083920,-0.126347,0.988430,33.000,-54.000,-63.600,4.435,107.031,113.313,35.125,33.156,173.031,Auto,109.109,119.563,10,10,320,240,0.000
7,838832,630735930,,,,,,1024.781,637.946,1007.860,-1523.848,10234.282,,Both,979.333,745.833,13.226,-140.807,450.000,0.088397,-0.166001,0.982156,-33.000,-54.000,-63.600,4.509,170.547,159.625,35.719,33.953,162.281,Auto,168.297,164.016,1590,10,320,240,1.000,,Both,1072.417,714.951,76.903,-119.681,450.000,0.084486,-0.126397,0.988375,33.000,-54.000,-63.600,4.496,106.797,113.406,35.609,33.484,174.391,Auto,108.891,119.656,10,10,320,240,1.000
8,838833,630736680,,,,,,,,,,,,Both,983.902,745.409,16.351,-140.517,450.000,0.094331,-0.165370,0.981710,-33.000,-54.000,-63.600,4.443,170.219,159.578,35.188,33.922,169.391,Auto,168.234,164.000,1590,10,320,240,0.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,0.000
9,838834,630737430,,,,,,1026.298,643.161,1030.595,-1603.613,10225.593,,Both,984.410,743.941,16.699,-139.513,450.000,0.095019,-0.163493,0.981958,-33.000,-54.000,-63.600,4.497,170.078,159.469,35.625,34.406,1.375,Auto,168.125,163.984,1590,10,320,240,1.000,,Both,1072.746,718.560,77.128,-122.150,450.000,0.084865,-0.131063,0.987735,33.000,-54.000,-63.600,4.378,106.406,113.844,34.672,33.156,169.297,Auto,108.516,119.906,10,10,320,240,1.000
10,838835,630738180,,,,,,1026.299,641.921,1014.803,-1560.050,10068.857,,Both,984.380,742.585,16.678,-138.585,450.000,0.095008,-0.161766,0.982245,-33.000,-54.000,-63.600,4.471,169.969,159.469,35.422,34.016,1.672,Auto,168.016,164.047,1590,10,320,240,0.000,,Both,1072.017,715.995,76.629,-120.395,450.000,0.083948,-0.127755,0.988247,33.000,-54.000,-63.600,4.396,106.297,113.781,34.813,32.781,170.953,Auto,108.359,119.969,10,10,320,240,0.000
